candidate,office,district,party,county,precinct,votes
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Dist 8,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Dist 8,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Dist 8,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Dist 8,
,Registered Voters,,D,Camden,Audubon Boro Mail-In Ballot,0
,Ballots Cast,,D,Camden,Audubon Boro Mail-In Ballot,239
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Mail-In Ballot,109
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Mail-In Ballot,116
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Mail-In Ballot,196
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Mail-In Ballot,20
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Mail-In Ballot,14
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Mail-In Ballot,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Mail-In Ballot,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Mail-In Ballot,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Mail-In Ballot,
,Registered Voters,,D,Camden,Audubon Boro Provisiona,0
,Ballots Cast,,D,Camden,Audubon Boro Provisiona,5
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Provisiona,5
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Provisiona,
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Provisiona,
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Provisiona,2
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Provisiona,1
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Provisiona,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Provisiona,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Provisiona,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Provisiona,
,Registered Voters,,D,Camden,Audubon Park Dist 1,450
,Ballots Cast,,D,Camden,Audubon Park Dist 1,94
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Park Dist 1,43
Robert Menendez,U.S. Senate,,D,Camden,Audubon Park Dist 1,38
Donald W Norcross,U.S. House,1,D,Camden,Audubon Park Dist 1,78
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Park Dist 1,3
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Park Dist 1,1
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Park Dist 1,
William Cunningham,U.S. House,2,D,Camden,Audubon Park Dist 1,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Park Dist 1,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Park Dist 1,
,Registered Voters,,D,Camden,Audubon Park Mail-In Ballot,0
,Ballots Cast,,D,Camden,Audubon Park Mail-In Ballot,24
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Park Mail-In Ballot,10
Robert Menendez,U.S. Senate,,D,Camden,Audubon Park Mail-In Ballot,11
Donald W Norcross,U.S. House,1,D,Camden,Audubon Park Mail-In Ballot,23
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Park Mail-In Ballot,1
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Park Mail-In Ballot,
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Park Mail-In Ballot,
William Cunningham,U.S. House,2,D,Camden,Audubon Park Mail-In Ballot,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Park Mail-In Ballot,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Park Mail-In Ballot,
,Registered Voters,,D,Camden,Audubon Park Provisional,0
,Ballots Cast,,D,Camden,Audubon Park Provisional,0
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Park Provisional,
Robert Menendez,U.S. Senate,,D,Camden,Audubon Park Provisional,
Donald W Norcross,U.S. House,1,D,Camden,Audubon Park Provisional,
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Park Provisional,
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Park Provisional,
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Park Provisional,
William Cunningham,U.S. House,2,D,Camden,Audubon Park Provisional,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Park Provisional,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Park Provisional,
,Registered Voters,,D,Camden,Barrington Dist 1,460
,Ballots Cast,,D,Camden,Barrington Dist 1,61
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Dist 1,33
Robert Menendez,U.S. Senate,,D,Camden,Barrington Dist 1,26
Donald W Norcross,U.S. House,1,D,Camden,Barrington Dist 1,45
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Dist 1,10
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Dist 1,3
Jeff Van Drew,U.S. House,2,D,Camden,Barrington Dist 1,
William Cunningham,U.S. House,2,D,Camden,Barrington Dist 1,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Barrington Dist 1,
Nate Kleinman,U.S. House,2,D,Camden,Barrington Dist 1,
,Registered Voters,,D,Camden,Barrington Dist 2,339
,Ballots Cast,,D,Camden,Barrington Dist 2,56
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Dist 2,27
Robert Menendez,U.S. Senate,,D,Camden,Barrington Dist 2,27
Donald W Norcross,U.S. House,1,D,Camden,Barrington Dist 2,41
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Dist 2,5
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Dist 2,6
Jeff Van Drew,U.S. House,2,D,Camden,Barrington Dist 2,
William Cunningham,U.S. House,2,D,Camden,Barrington Dist 2,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Barrington Dist 2,
Nate Kleinman,U.S. House,2,D,Camden,Barrington Dist 2,
,Registered Voters,,D,Camden,Barrington Dist 3,397
,Ballots Cast,,D,Camden,Barrington Dist 3,63
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Dist 3,28
Robert Menendez,U.S. Senate,,D,Camden,Barrington Dist 3,31
Donald W Norcross,U.S. House,1,D,Camden,Barrington Dist 3,43
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Dist 3,6
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Dist 3,8
Jeff Van Drew,U.S. House,2,D,Camden,Barrington Dist 3,
William Cunningham,U.S. House,2,D,Camden,Barrington Dist 3,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Barrington Dist 3,
Nate Kleinman,U.S. House,2,D,Camden,Barrington Dist 3,
,Registered Voters,,D,Camden,Barrington Dist 4,594
,Ballots Cast,,D,Camden,Barrington Dist 4,77
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Dist 4,37
Robert Menendez,U.S. Senate,,D,Camden,Barrington Dist 4,32
Donald W Norcross,U.S. House,1,D,Camden,Barrington Dist 4,63
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Dist 4,2
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Dist 4,4
Jeff Van Drew,U.S. House,2,D,Camden,Barrington Dist 4,
William Cunningham,U.S. House,2,D,Camden,Barrington Dist 4,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Barrington Dist 4,
Nate Kleinman,U.S. House,2,D,Camden,Barrington Dist 4,
,Registered Voters,,D,Camden,Barrington Dist 5,229
,Ballots Cast,,D,Camden,Barrington Dist 5,58
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Dist 5,24
Robert Menendez,U.S. Senate,,D,Camden,Barrington Dist 5,33
Donald W Norcross,U.S. House,1,D,Camden,Barrington Dist 5,49
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Dist 5,5
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Dist 5,3
Jeff Van Drew,U.S. House,2,D,Camden,Barrington Dist 5,
William Cunningham,U.S. House,2,D,Camden,Barrington Dist 5,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Barrington Dist 5,
Nate Kleinman,U.S. House,2,D,Camden,Barrington Dist 5,
,Registered Voters,,D,Camden,Barrington Mail-In Ballot,0
,Ballots Cast,,D,Camden,Barrington Mail-In Ballot,189
Lisa A MC Cormick,U.S. Senate,,D,Camden,Barrington Mail-In Ballot,76
Robert Menendez,U.S. Senate,,D,Camden,Barrington Mail-In Ballot,97
Donald W Norcross,U.S. House,1,D,Camden,Barrington Mail-In Ballot,156
Scot John Tomaszewski,U.S. House,1,D,Camden,Barrington Mail-In Ballot,14
Robert Lee Carlson,U.S. House,1,D,Camden,Barrington Mail-In Ballot,10
