candidate,office,district,party,county,precinct,votes
,Registered Voters,,D,Bergen,Allendale 1 - Election Day,408
,Ballots Cast,,D,Bergen,Allendale 1 - Election Day,132
Robert Menendez,US Senate,,D,Bergen,Allendale 1 - Election Day,74
Lisa A McCormick,US Senate,,D,Bergen,Allendale 1 - Election Day,53
Josh Gotthemer,US House,5,D,Bergen,Allendale 1 - Election Day,128
Albio Sires,US House,8,D,Bergen,Allendale 1 - Election Day,
Bill Pascrell Jr,US House,9,D,Bergen,Allendale 1 - Election Day,
William O Henry,US House,9,D,Bergen,Allendale 1 - Election Day,
Pedro Mejia,State Assembly,32,D,Bergen,Allendale 1 - Election Day,
Clinton Calabrese,State Assembly,36,D,Bergen,Allendale 1 - Election Day,
,Registered Voters,,R,Bergen,Allendale 1 - Election Day,560
,Ballots Cast,,R,Bergen,Allendale 1 - Election Day,169
Brian D Goldberg,US Senate,,R,Bergen,Allendale 1 - Election Day,27
Bob Hugin,US Senate,,R,Bergen,Allendale 1 - Election Day,120
Steven M Lonegan,US House,5,R,Bergen,Allendale 1 - Election Day,41
John J. McCann Jr.,US House,5,R,Bergen,Allendale 1 - Election Day,110
John R Muniz,US House,8,R,Bergen,Allendale 1 - Election Day,
Eric C Fisher,US House,9,R,Bergen,Allendale 1 - Election Day,
,Registered Voters,,D,Bergen,Allendale 2 - Election Day,191
,Ballots Cast,,D,Bergen,Allendale 2 - Election Day,63
Robert Menendez,US Senate,,D,Bergen,Allendale 2 - Election Day,34
Lisa A McCormick,US Senate,,D,Bergen,Allendale 2 - Election Day,25
Josh Gotthemer,US House,5,D,Bergen,Allendale 2 - Election Day,60
Albio Sires,US House,8,D,Bergen,Allendale 2 - Election Day,
Bill Pascrell Jr,US House,9,D,Bergen,Allendale 2 - Election Day,
William O Henry,US House,9,D,Bergen,Allendale 2 - Election Day,
Pedro Mejia,State Assembly,32,D,Bergen,Allendale 2 - Election Day,
Clinton Calabrese,State Assembly,36,D,Bergen,Allendale 2 - Election Day,
,Registered Voters,,R,Bergen,Allendale 2 - Election Day,294
,Ballots Cast,,R,Bergen,Allendale 2 - Election Day,57
Brian D Goldberg,US Senate,,R,Bergen,Allendale 2 - Election Day,14
Bob Hugin,US Senate,,R,Bergen,Allendale 2 - Election Day,40
Steven M Lonegan,US House,5,R,Bergen,Allendale 2 - Election Day,16
John J. McCann Jr.,US House,5,R,Bergen,Allendale 2 - Election Day,37
John R Muniz,US House,8,R,Bergen,Allendale 2 - Election Day,
Eric C Fisher,US House,9,R,Bergen,Allendale 2 - Election Day,
