county,office,district,party,candidate,votes
Atlantic,Registered Voters,,,,173498
Bergen,Registered Voters,,,,543008
Burlington,Registered Voters,,,,286875
Camden,Registered Voters,,,,354226
Cape May,Registered Voters,,,,67474
Cumberland,Registered Voters,,,,86614
Essex,Registered Voters,,,,489028
Gloucester,Registered Voters,,,,192140
Hudson,Registered Voters,,,,348578
Hunterdon,Registered Voters,,,,89390
Mercer,Registered Voters,,,,217368
Middlesex,Registered Voters,,,,471645
Monmouth,Registered Voters,,,,423546
Morris,Registered Voters,,,,321623
Ocean,Registered Voters,,,,376933
Passaic,Registered Voters,,,,293948
Salem,Registered Voters,,,,43646
Somerset,Registered Voters,,,,211729
Sussex,Registered Voters,,,,100520
Union,Registered Voters,,,,298852
Warren,Registered Voters,,,,69284
Total,Registered Voters,,,,5459925
Atlantic,Ballots Cast,,Democratic,,10331
Bergen,Ballots Cast,,Democratic,,16483
Burlington,Ballots Cast,,Democratic,,11442
Camden,Ballots Cast,,Democratic,,15659
Cape May,Ballots Cast,,Democratic,,1905
Cumberland,Ballots Cast,,Democratic,,2884
Essex,Ballots Cast,,Democratic,,36138
Gloucester,Ballots Cast,,Democratic,,6505
Hudson,Ballots Cast,,Democratic,,37803
Hunterdon,Ballots Cast,,Democratic,,1493
Mercer,Ballots Cast,,Democratic,,8488
Middlesex,Ballots Cast,,Democratic,,22468
Monmouth,Ballots Cast,,Democratic,,8232
Morris,Ballots Cast,,Democratic,,7401
Ocean,Ballots Cast,,Democratic,,8241
Passaic,Ballots Cast,,Democratic,,11802
Salem,Ballots Cast,,Democratic,,1890
Somerset,Ballots Cast,,Democratic,,4672
Sussex,Ballots Cast,,Democratic,,1521
Union,Ballots Cast,,Democratic,,29328
Warren,Ballots Cast,,Democratic,,1661
Total,Ballots Cast,,Democratic,,246347
Atlantic,Ballots Cast,,Republican,,11200
Bergen,Ballots Cast,,Republican,,20103
Burlington,Ballots Cast,,Republican,,16363
Camden,Ballots Cast,,Republican,,7930
Cape May,Ballots Cast,,Republican,,6218
Cumberland,Ballots Cast,,Republican,,2785
Essex,Ballots Cast,,Republican,,7314
Gloucester,Ballots Cast,,Republican,,6369
Hudson,Ballots Cast,,Republican,,4619
Hunterdon,Ballots Cast,,Republican,,8693
Mercer,Ballots Cast,,Republican,,5264
Middlesex,Ballots Cast,,Republican,,10417
Monmouth,Ballots Cast,,Republican,,19711
Morris,Ballots Cast,,Republican,,30312
Ocean,Ballots Cast,,Republican,,27114
Passaic,Ballots Cast,,Republican,,10698
Salem,Ballots Cast,,Republican,,1894
Somerset,Ballots Cast,,Republican,,10039
Sussex,Ballots Cast,,Republican,,11512
Union,Ballots Cast,,Republican,,8097
Warren,Ballots Cast,,Republican,,7518
Total,Ballots Cast,,Republican,,234170
Atlantic,Ballots Cast,,,,21531
Bergen,Ballots Cast,,,,36586
Burlington,Ballots Cast,,,,27805
Camden,Ballots Cast,,,,23589
Cape May,Ballots Cast,,,,8123
Cumberland,Ballots Cast,,,,5669
Essex,Ballots Cast,,,,43452
Gloucester,Ballots Cast,,,,12874
Hudson,Ballots Cast,,,,42422
Hunterdon,Ballots Cast,,,,10186
Mercer,Ballots Cast,,,,13752
Middlesex,Ballots Cast,,,,32885
Monmouth,Ballots Cast,,,,27943
Morris,Ballots Cast,,,,37713
Ocean,Ballots Cast,,,,35355
Passaic,Ballots Cast,,,,22500
Salem,Ballots Cast,,,,3784
Somerset,Ballots Cast,,,,14711
Sussex,Ballots Cast,,,,13033
Union,Ballots Cast,,,,37425
Warren,Ballots Cast,,,,9179
Total,Ballots Cast,,,,480517
Atlantic,Ballots Rejected,,,,125
Bergen,Ballots Rejected,,,,46
Burlington,Ballots Rejected,,,,166
Camden,Ballots Rejected,,,,551
Cape May,Ballots Rejected,,,,24
Cumberland,Ballots Rejected,,,,13
Essex,Ballots Rejected,,,,51
Gloucester,Ballots Rejected,,,,31
Hudson,Ballots Rejected,,,,70
Hunterdon,Ballots Rejected,,,,3
Mercer,Ballots Rejected,,,,23
Middlesex,Ballots Rejected,,,,129
Monmouth,Ballots Rejected,,,,31
Morris,Ballots Rejected,,,,64
Ocean,Ballots Rejected,,,,122
Passaic,Ballots Rejected,,,,87
Salem,Ballots Rejected,,,,5
Somerset,Ballots Rejected,,,,20
Sussex,Ballots Rejected,,,,12
Union,Ballots Rejected,,,,143
Warren,Ballots Rejected,,,,22
Total,Ballots Rejected,,,,1738
Atlantic,Governor,,Republican,CHRIS CHRISTIE (w) *,9326
Bergen,Governor,,Republican,CHRIS CHRISTIE (w) *,17889
Burlington,Governor,,Republican,CHRIS CHRISTIE (w) *,14594
