county,municipality,office,district,party,candidate,votes
Atlantic,Absecon City,President,,Democratic,Barack Obama,2172
Atlantic,Absecon City,President,,Republican,Mitt Romney,2063
Atlantic,Absecon City,President,,Libertarian Pary,Gary Johnson,23
Atlantic,Absecon City,President,,Green Party,Jill Stein,8
Atlantic,Absecon City,President,,Constitution Party,Virgil Goode,3
Atlantic,Absecon City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,5
Atlantic,Absecon City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Absecon City,President,,Socialist Workers Party,James Harris,1
Atlantic,Absecon City,President,,American Third Position,Merlin Miller,3
Atlantic,Absecon City,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Atlantic City,President,,Democratic,Barack Obama,9948
Atlantic,Atlantic City,President,,Republican,Mitt Romney,1548
Atlantic,Atlantic City,President,,Libertarian Pary,Gary Johnson,21
Atlantic,Atlantic City,President,,Green Party,Jill Stein,13
Atlantic,Atlantic City,President,,Constitution Party,Virgil Goode,4
Atlantic,Atlantic City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,3
Atlantic,Atlantic City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Atlantic City,President,,Socialist Workers Party,James Harris,3
Atlantic,Atlantic City,President,,American Third Position,Merlin Miller,3
Atlantic,Atlantic City,President,,Socialism and Liberation,Peta Lindsay,2
Atlantic,Brigantine City,President,,Democratic,Barack Obama,2068
Atlantic,Brigantine City,President,,Republican,Mitt Romney,2462
Atlantic,Brigantine City,President,,Libertarian Pary,Gary Johnson,26
Atlantic,Brigantine City,President,,Green Party,Jill Stein,12
Atlantic,Brigantine City,President,,Constitution Party,Virgil Goode,3
Atlantic,Brigantine City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,5
Atlantic,Brigantine City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Brigantine City,President,,Socialist Workers Party,James Harris,0
Atlantic,Brigantine City,President,,American Third Position,Merlin Miller,3
Atlantic,Brigantine City,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Buena Boro,President,,Democratic,Barack Obama,1011
Atlantic,Buena Boro,President,,Republican,Mitt Romney,847
Atlantic,Buena Boro,President,,Libertarian Pary,Gary Johnson,8
Atlantic,Buena Boro,President,,Green Party,Jill Stein,5
Atlantic,Buena Boro,President,,Constitution Party,Virgil Goode,0
Atlantic,Buena Boro,President,,NJ Justice Party,Ross C. (Rocky) Anderson,2
Atlantic,Buena Boro,President,,NSA DID 911,Jeff Boss,0
Atlantic,Buena Boro,President,,Socialist Workers Party,James Harris,0
Atlantic,Buena Boro,President,,American Third Position,Merlin Miller,3
Atlantic,Buena Boro,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Buena Vista Twp.,President,,Democratic,Barack Obama,1920
Atlantic,Buena Vista Twp.,President,,Republican,Mitt Romney,1483
Atlantic,Buena Vista Twp.,President,,Libertarian Pary,Gary Johnson,20
Atlantic,Buena Vista Twp.,President,,Green Party,Jill Stein,5
Atlantic,Buena Vista Twp.,President,,Constitution Party,Virgil Goode,6
Atlantic,Buena Vista Twp.,President,,NJ Justice Party,Ross C. (Rocky) Anderson,5
Atlantic,Buena Vista Twp.,President,,NSA DID 911,Jeff Boss,0
Atlantic,Buena Vista Twp.,President,,Socialist Workers Party,James Harris,0
Atlantic,Buena Vista Twp.,President,,American Third Position,Merlin Miller,0
Atlantic,Buena Vista Twp.,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Corbin City,President,,Democratic,Barack Obama,91
Atlantic,Corbin City,President,,Republican,Mitt Romney,138
Atlantic,Corbin City,President,,Libertarian Pary,Gary Johnson,2
Atlantic,Corbin City,President,,Green Party,Jill Stein,2
Atlantic,Corbin City,President,,Constitution Party,Virgil Goode,0
Atlantic,Corbin City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,0
Atlantic,Corbin City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Corbin City,President,,Socialist Workers Party,James Harris,2
Atlantic,Corbin City,President,,American Third Position,Merlin Miller,1
Atlantic,Corbin City,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Egg Harbor City,President,,Democratic,Barack Obama,1121
Atlantic,Egg Harbor City,President,,Republican,Mitt Romney,674
Atlantic,Egg Harbor City,President,,Libertarian Pary,Gary Johnson,12
Atlantic,Egg Harbor City,President,,Green Party,Jill Stein,2
Atlantic,Egg Harbor City,President,,Constitution Party,Virgil Goode,1
Atlantic,Egg Harbor City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,9
Atlantic,Egg Harbor City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Egg Harbor City,President,,Socialist Workers Party,James Harris,1
Atlantic,Egg Harbor City,President,,American Third Position,Merlin Miller,1
Atlantic,Egg Harbor City,President,,Socialism and Liberation,Peta Lindsay,1
Atlantic,Egg Harbor Twp,President,,Democratic,Barack Obama,9854
Atlantic,Egg Harbor Twp,President,,Republican,Mitt Romney,7989
Atlantic,Egg Harbor Twp,President,,Libertarian Pary,Gary Johnson,103
Atlantic,Egg Harbor Twp,President,,Green Party,Jill Stein,34
Atlantic,Egg Harbor Twp,President,,Constitution Party,Virgil Goode,8
Atlantic,Egg Harbor Twp,President,,NJ Justice Party,Ross C. (Rocky) Anderson,0
Atlantic,Egg Harbor Twp,President,,NSA DID 911,Jeff Boss,3
Atlantic,Egg Harbor Twp,President,,Socialist Workers Party,James Harris,3
Atlantic,Egg Harbor Twp,President,,American Third Position,Merlin Miller,7
Atlantic,Egg Harbor Twp,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Estell Manor City,President,,Democratic,Barack Obama,368
Atlantic,Estell Manor City,President,,Republican,Mitt Romney,525
Atlantic,Estell Manor City,President,,Libertarian Pary,Gary Johnson,3
Atlantic,Estell Manor City,President,,Green Party,Jill Stein,3
Atlantic,Estell Manor City,President,,Constitution Party,Virgil Goode,0
Atlantic,Estell Manor City,President,,NJ Justice Party,Ross C. (Rocky) Anderson,0
Atlantic,Estell Manor City,President,,NSA DID 911,Jeff Boss,0
Atlantic,Estell Manor City,President,,Socialist Workers Party,James Harris,0
Atlantic,Estell Manor City,President,,American Third Position,Merlin Miller,1
Atlantic,Estell Manor City,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Folsom Boro,President,,Democratic,Barack Obama,427
Atlantic,Folsom Boro,President,,Republican,Mitt Romney,442
Atlantic,Folsom Boro,President,,Libertarian Pary,Gary Johnson,4
Atlantic,Folsom Boro,President,,Green Party,Jill Stein,1
Atlantic,Folsom Boro,President,,Constitution Party,Virgil Goode,0
Atlantic,Folsom Boro,President,,NJ Justice Party,Ross C. (Rocky) Anderson,4
Atlantic,Folsom Boro,President,,NSA DID 911,Jeff Boss,0
Atlantic,Folsom Boro,President,,Socialist Workers Party,James Harris,0
Atlantic,Folsom Boro,President,,American Third Position,Merlin Miller,1
Atlantic,Folsom Boro,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Galloway Twp.,President,,Democratic,Barack Obama,8707
Atlantic,Galloway Twp.,President,,Republican,Mitt Romney,6935
Atlantic,Galloway Twp.,President,,Libertarian Pary,Gary Johnson,106
Atlantic,Galloway Twp.,President,,Green Party,Jill Stein,35
Atlantic,Galloway Twp.,President,,Constitution Party,Virgil Goode,11
Atlantic,Galloway Twp.,President,,NJ Justice Party,Ross C. (Rocky) Anderson,20
Atlantic,Galloway Twp.,President,,NSA DID 911,Jeff Boss,8
Atlantic,Galloway Twp.,President,,Socialist Workers Party,James Harris,4
Atlantic,Galloway Twp.,President,,American Third Position,Merlin Miller,4
Atlantic,Galloway Twp.,President,,Socialism and Liberation,Peta Lindsay,2
Atlantic,Hamilton Twp.,President,,Democratic,Barack Obama,6748
Atlantic,Hamilton Twp.,President,,Republican,Mitt Romney,4334
Atlantic,Hamilton Twp.,President,,Libertarian Pary,Gary Johnson,71
Atlantic,Hamilton Twp.,President,,Green Party,Jill Stein,21
Atlantic,Hamilton Twp.,President,,Constitution Party,Virgil Goode,8
Atlantic,Hamilton Twp.,President,,NJ Justice Party,Ross C. (Rocky) Anderson,10
Atlantic,Hamilton Twp.,President,,NSA DID 911,Jeff Boss,8
Atlantic,Hamilton Twp.,President,,Socialist Workers Party,James Harris,5
Atlantic,Hamilton Twp.,President,,American Third Position,Merlin Miller,7
Atlantic,Hamilton Twp.,President,,Socialism and Liberation,Peta Lindsay,0
Atlantic,Hammonton,President,,Democratic,Barack Obama,2777
Atlantic,Hammonton,President,,Republican,Mitt Romney,3420
Atlantic,Hammonton,President,,Libertarian Pary,Gary Johnson,34
Atlantic,Hammonton,President,,Green Party,Jill Stein,10
Atlantic,Hammonton,President,,Constitution Party,Virgil Goode,3
Atlantic,Hammonton,President,,NJ Justice Party,Ross C. (Rocky) Anderson,4
Atlantic,Hammonton,President,,NSA DID 911,Jeff Boss,1
Atlantic,Hammonton,President,,Socialist Workers Party,James Harris,0
Atlantic,Hammonton,President,,American Third Position,Merlin Miller,4
