county,precinct,office,district,party,candidate,votes,hand_counted,mail,provisional
Atlantic,Absecon 1,President,,DEM,Joe Biden,1360,6,1300,54
Atlantic,Absecon 2,President,,DEM,Joe Biden,1236,6,1150,80
Atlantic,Absecon 1,President,,REP,Donald Trump,1532,5,1483,44
Atlantic,Absecon 2,President,,REP,Donald Trump,1143,4,1073,66
Atlantic,Absecon 1,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Absecon 2,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Absecon 1,President,,UNITY,Bill Hammons,6,0,6,0
Atlantic,Absecon 2,President,,UNITY,Bill Hammons,0,0,0,0
Atlantic,Absecon 1,President,,LIB,Jo Jorgensen,21,0,19,2
Atlantic,Absecon 2,President,,LIB,Jo Jorgensen,13,0,13,0
Atlantic,Absecon 1,President,,AP,Rocky de la Fuente Guerra,1,0,1,0
Atlantic,Absecon 2,President,,AP,Rocky de la Fuente Guerra,0,0,0,0
Atlantic,Absecon 1,President,,CON,Don Blankenship,4,0,2,2
Atlantic,Absecon 2,President,,CON,Don Blankenship,5,0,4,1
Atlantic,Absecon 1,President,,GRN,Howie Hawkins,8,0,8,0
Atlantic,Absecon 2,President,,GRN,Howie Hawkins,9,0,8,1
Atlantic,Absecon 1,U.S. Senate,,REP,Rik Mehta,1468,3,1423,42
Atlantic,Absecon 2,U.S. Senate,,REP,Rik Mehta,1098,3,1035,60
Atlantic,Absecon 1,U.S. Senate,,DEM,Cory Booker,1365,6,1303,56
Atlantic,Absecon 2,U.S. Senate,,DEM,Cory Booker,1210,6,1131,73
Atlantic,Absecon 1,U.S. Senate,,OBF,Veronica Fernandez,30,1,29,0
Atlantic,Absecon 2,U.S. Senate,,OBF,Veronica Fernandez,11,1,10,0
Atlantic,Absecon 1,U.S. Senate,,LWR,Daniel Burke,7,0,7,0
Atlantic,Absecon 2,U.S. Senate,,LWR,Daniel Burke,10,0,10,0
Atlantic,Absecon 1,U.S. Senate,,GRN,Madelyn Hoffman,8,0,8,0
Atlantic,Absecon 2,U.S. Senate,,GRN,Madelyn Hoffman,5,0,5,0
Atlantic,Absecon 1,U.S. House,02,REP,Jeff Van Drew,1522,4,1474,44
Atlantic,Absecon 2,U.S. House,02,REP,Jeff Van Drew,1136,4,1065,67
Atlantic,Absecon 1,U.S. House,02,DEM,Amy Kennedy,1347,6,1288,53
Atlantic,Absecon 2,U.S. House,02,DEM,Amy Kennedy,1193,5,1118,70
Atlantic,Absecon 1,U.S. House,02,JMH,Jenna Harvey,26,0,23,3
Atlantic,Absecon 2,U.S. House,02,JMH,Jenna Harvey,10,0,9,1
Atlantic,Absecon 1,U.S. House,02,LIB,Jesse Ehrnstrom,6,0,5,1
Atlantic,Absecon 2,U.S. House,02,LIB,Jesse Ehrnstrom,10,0,9,1
Atlantic,Atlantic City 1,President,,DEM,Joe Biden,2543,18,2218,307
Atlantic,Atlantic City 2,President,,DEM,Joe Biden,336,3,298,35
Atlantic,Atlantic City 1,President,,REP,Donald Trump,8160,70,7314,776
Atlantic,Atlantic City 2,President,,REP,Donald Trump,1822,4,1666,152
Atlantic,Atlantic City 1,President,,SAL,Gloria La Riva,22,0,18,4
Atlantic,Atlantic City 2,President,,SAL,Gloria La Riva,5,0,5,0
Atlantic,Atlantic City 1,President,,UNITY,Bill Hammons,4,0,4,0
Atlantic,Atlantic City 2,President,,UNITY,Bill Hammons,1,0,1,0
Atlantic,Atlantic City 1,President,,LIB,Jo Jorgensen,34,1,33,0
Atlantic,Atlantic City 2,President,,LIB,Jo Jorgensen,4,0,4,0
Atlantic,Atlantic City 1,President,,AP,Rocky de la Fuente Guerra,3,0,3,0
Atlantic,Atlantic City 2,President,,AP,Rocky de la Fuente Guerra,0,0,0,0
