county,precinct,office,district,party,candidate,mail,provisional,votes
Monmouth,Aberdeen Township 1,Registered Voters,,,,,,1726
Monmouth,Aberdeen Township 2,Registered Voters,,,,,,1639
Monmouth,Aberdeen Township 3,Registered Voters,,,,,,921
Monmouth,Aberdeen Township 4,Registered Voters,,,,,,1536
Monmouth,Aberdeen Township 5,Registered Voters,,,,,,614
Monmouth,Aberdeen Township 6,Registered Voters,,,,,,799
Monmouth,Aberdeen Township 7,Registered Voters,,,,,,744
Monmouth,Aberdeen Township 8,Registered Voters,,,,,,1669
Monmouth,Aberdeen Township 9,Registered Voters,,,,,,916
Monmouth,Aberdeen Township 10,Registered Voters,,,,,,829
Monmouth,Aberdeen Township 11,Registered Voters,,,,,,574
Monmouth,Aberdeen Township 12,Registered Voters,,,,,,1317
Monmouth,Aberdeen Township 13,Registered Voters,,,,,,846
Monmouth,Allenhurst Borough 1,Registered Voters,,,,,,342
Monmouth,Allentown Borough 1,Registered Voters,,,,,,441
Monmouth,Allentown Borough 2,Registered Voters,,,,,,981
Monmouth,Asbury Park City 1,Registered Voters,,,,,,829
Monmouth,Asbury Park City 2,Registered Voters,,,,,,1061
Monmouth,Asbury Park City 3,Registered Voters,,,,,,1129
Monmouth,Asbury Park City 4,Registered Voters,,,,,,1437
Monmouth,Asbury Park City 5,Registered Voters,,,,,,1119
Monmouth,Asbury Park City 6,Registered Voters,,,,,,886
Monmouth,Asbury Park City 7,Registered Voters,,,,,,633
Monmouth,Asbury Park City 8,Registered Voters,,,,,,785
Monmouth,Asbury Park City 9,Registered Voters,,,,,,721
Monmouth,Atlantic Highlands Borough 1,Registered Voters,,,,,,1040
Monmouth,Atlantic Highlands Borough 2,Registered Voters,,,,,,1010
Monmouth,Atlantic Highlands Borough 3,Registered Voters,,,,,,746
Monmouth,Atlantic Highlands Borough 4,Registered Voters,,,,,,799
Monmouth,Avon Borough 1,Registered Voters,,,,,,805
Monmouth,Avon Borough 2,Registered Voters,,,,,,799
Monmouth,Belmar Borough 1,Registered Voters,,,,,,558
Monmouth,Belmar Borough 2,Registered Voters,,,,,,935
Monmouth,Belmar Borough 3,Registered Voters,,,,,,1120
Monmouth,Belmar Borough 4,Registered Voters,,,,,,1017
Monmouth,Belmar Borough 5,Registered Voters,,,,,,704
Monmouth,Bradley Beach Borough 1,Registered Voters,,,,,,855
Monmouth,Bradley Beach Borough 2,Registered Voters,,,,,,674
Monmouth,Bradley Beach Borough 3,Registered Voters,,,,,,707
Monmouth,Bradley Beach Borough 4,Registered Voters,,,,,,634
Monmouth,Brielle Borough 1,Registered Voters,,,,,,1660
Monmouth,Brielle Borough 2,Registered Voters,,,,,,1329
Monmouth,Brielle Borough 3,Registered Voters,,,,,,1237
Monmouth,Colts Neck Township 1,Registered Voters,,,,,,704
Monmouth,Colts Neck Township 2,Registered Voters,,,,,,1328
Monmouth,Colts Neck Township 3,Registered Voters,,,,,,887
Monmouth,Colts Neck Township 4,Registered Voters,,,,,,614
Monmouth,Colts Neck Township 5,Registered Voters,,,,,,786
Monmouth,Colts Neck Township 6,Registered Voters,,,,,,1191
Monmouth,Colts Neck Township 7,Registered Voters,,,,,,1713
Monmouth,Colts Neck Township 8,Registered Voters,,,,,,996
Monmouth,Deal Borough 1,Registered Voters,,,,,,499
Monmouth,Eatontown Borough 1,Registered Voters,,,,,,878
Monmouth,Eatontown Borough 2,Registered Voters,,,,,,950
Monmouth,Eatontown Borough 3,Registered Voters,,,,,,1001
Monmouth,Eatontown Borough 4,Registered Voters,,,,,,1186
Monmouth,Eatontown Borough 5,Registered Voters,,,,,,1047
Monmouth,Eatontown Borough 6,Registered Voters,,,,,,1095
Monmouth,Eatontown Borough 7,Registered Voters,,,,,,1396
Monmouth,Eatontown Borough 8,Registered Voters,,,,,,547
Monmouth,Eatontown Borough 9,Registered Voters,,,,,,581
Monmouth,Englishtown Borough 1,Registered Voters,,,,,,1476
Monmouth,Fair Haven Borough 1,Registered Voters,,,,,,748
Monmouth,Fair Haven Borough 2,Registered Voters,,,,,,827
Monmouth,Fair Haven Borough 3,Registered Voters,,,,,,800
Monmouth,Fair Haven Borough 4,Registered Voters,,,,,,780
Monmouth,Fair Haven Borough 5,Registered Voters,,,,,,640
Monmouth,Fair Haven Borough 6,Registered Voters,,,,,,974
Monmouth,Farmingdale Borough 1,Registered Voters,,,,,,1086
Monmouth,Freehold Borough 1,Registered Voters,,,,,,707
Monmouth,Freehold Borough 2,Registered Voters,,,,,,879
Monmouth,Freehold Borough 3,Registered Voters,,,,,,586
Monmouth,Freehold Borough 4,Registered Voters,,,,,,824
Monmouth,Freehold Borough 5,Registered Voters,,,,,,874
Monmouth,Freehold Borough 6,Registered Voters,,,,,,1038
Monmouth,Freehold Borough 7,Registered Voters,,,,,,746
Monmouth,Freehold Township 1,Registered Voters,,,,,,572
Monmouth,Freehold Township 2,Registered Voters,,,,,,948
Monmouth,Freehold Township 3,Registered Voters,,,,,,813
Monmouth,Freehold Township 4,Registered Voters,,,,,,694
Monmouth,Freehold Township 5,Registered Voters,,,,,,1117
Monmouth,Freehold Township 6,Registered Voters,,,,,,660
Monmouth,Freehold Township 7,Registered Voters,,,,,,1069
Monmouth,Freehold Township 8,Registered Voters,,,,,,903
Monmouth,Freehold Township 9,Registered Voters,,,,,,890
Monmouth,Freehold Township 10,Registered Voters,,,,,,1358
Monmouth,Freehold Township 11,Registered Voters,,,,,,1745
