county,precinct,office,district,candidate,party,votes,election_day,mail,military,provisional,emergency
Sussex,0001 ANDOVER BORO,Registered Voters,,,,451,,,,,
Sussex,0001 ANDOVER BORO,Ballots Cast,,,,356,0,346,0,10,0
Sussex,0001 ANDOVER BORO,President,,Biden / Harris,DEM,135,0,132,0,3,0
Sussex,0001 ANDOVER BORO,President,,Trump / Pence,REP,205,0,198,0,7,0
Sussex,0001 ANDOVER BORO,President,,La Riva / Freeman,SAL,1,0,1,0,0,0
Sussex,0001 ANDOVER BORO,President,,Blankenship / Mohr,CST,1,0,1,0,0,0
Sussex,0001 ANDOVER BORO,President,,Jorgensen / Cohen,LIB,3,0,3,0,0,0
Sussex,0001 ANDOVER BORO,President,,Hammons / Bodenstab,UPA,1,0,1,0,0,0
Sussex,0001 ANDOVER BORO,President,,Hawkins / Walker,GRN,2,0,2,0,0,0
Sussex,0001 ANDOVER BORO,President,,De La Fuente / Richardson,ALL,0,0,0,0,0,0
Sussex,0001 ANDOVER BORO,President,,Write-ins,,5,0,5,0,0,0
Sussex,0001 ANDOVER BORO,President,,Over Votes,,0,0,0,0,0,0
Sussex,0001 ANDOVER BORO,President,,Under Votes,,3,0,3,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Cory Booker,DEM,131,0,126,0,5,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,193,0,189,0,4,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Madelyn R. Hoffman,GRN,11,0,10,0,1,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Veronica Fernandez,OBF,11,0,11,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Daniel Burke,LWR,2,0,2,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Write-ins,,1,0,1,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Over Votes,,0,0,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,Under Votes,,7,0,7,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Josh Gottheimer,DEM,153,0,149,0,4,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Frank T. Pallotta,REP,188,0,182,0,6,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Louis A. Vellucci,AV,4,0,4,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Write-ins,,1,0,1,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Over Votes,,0,0,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,Under Votes,,10,0,10,0,0,0
Sussex,0001 ANDOVER BORO,FREEHOLDER,,Robert J. Slockbower,DEM,127,0,123,0,4,0
