county,precinct,office,district,party,candidate,election_day,mail,provisional,votes
Salem,Alloway District 1,Registered Voters,,,,,,,2653
Salem,Alloway District 1,Ballots Cast,,,,0,2028,85,2113
Salem,Alloway District 1,President,,REP,Donald J Trump,0,1322,54,1376
Salem,Alloway District 1,President,,DEM,Joseph R Biden,0,659,25,684
Salem,Alloway District 1,President,,UPA,Bill Hammons,0,3,0,3
Salem,Alloway District 1,President,,GRE,Howie Hawkins,0,4,1,5
Salem,Alloway District 1,President,,SAL,Gloria Estela La Riva,0,1,0,1
Salem,Alloway District 1,President,,CPN,Don Blankenship,0,1,0,1
Salem,Alloway District 1,President,,LIB,Jo Jorgensen,0,16,1,17
Salem,Alloway District 1,President,,ALI,"Roque ""Rocky""De La Fuente",0,0,0,0
Salem,Alloway District 1,President,,,Write-In,0,8,0,8
Salem,Alloway District 1,U.S. Senate,,REP,"Rikin ""Rik"" Mehta",0,1276,50,1326
Salem,Alloway District 1,U.S. Senate,,DEM,Cory Booker,0,649,27,676
Salem,Alloway District 1,U.S. Senate,,,Veronica Fernandez,0,17,1,18
Salem,Alloway District 1,U.S. Senate,,GRE,Madelyn R Hoffman,0,28,3,31
Salem,Alloway District 1,U.S. Senate,,,Daniel Burke,0,8,1,9
Salem,Alloway District 1,U.S. Senate,,,Write-In,0,4,0,4
Salem,Alloway District 1,U.S. House,2,REP,Jeff Van Drew,0,1278,54,1332
Salem,Alloway District 1,U.S. House,2,DEM,Amy Kennedy,0,658,27,685
Salem,Alloway District 1,U.S. House,2,,Jenna Harvey,0,27,1,28
Salem,Alloway District 1,U.S. House,2,,Jesse Ehrnstrom,0,26,1,27
Salem,Alloway District 1,U.S. House,2,,Write-In,0,3,0,3
Salem,Alloway District 2,Registered Voters,,,,,,,0
Salem,Alloway District 2,Ballots Cast,,,,0,0,0,0
Salem,Alloway District 2,President,,REP,Donald J Trump,0,0,0,0
Salem,Alloway District 2,President,,DEM,Joseph R Biden,0,0,0,0
Salem,Alloway District 2,President,,UPA,Bill Hammons,0,0,0,0
Salem,Alloway District 2,President,,GRE,Howie Hawkins,0,0,0,0
Salem,Alloway District 2,President,,SAL,Gloria Estela La Riva,0,0,0,0
Salem,Alloway District 2,President,,CPN,Don Blankenship,0,0,0,0
Salem,Alloway District 2,President,,LIB,Jo Jorgensen,0,0,0,0
Salem,Alloway District 2,President,,ALI,"Roque ""Rocky""De La Fuente",0,0,0,0
Salem,Alloway District 2,President,,,Write-In,0,0,0,0
Salem,Alloway District 2,U.S. Senate,,REP,"Rikin ""Rik"" Mehta",0,0,0,0
Salem,Alloway District 2,U.S. Senate,,DEM,Cory Booker,0,0,0,0
Salem,Alloway District 2,U.S. Senate,,,Veronica Fernandez,0,0,0,0
Salem,Alloway District 2,U.S. Senate,,GRE,Madelyn R Hoffman,0,0,0,0
Salem,Alloway District 2,U.S. Senate,,,Daniel Burke,0,0,0,0
Salem,Alloway District 2,U.S. Senate,,,Write-In,0,0,0,0
Salem,Alloway District 2,U.S. House,2,REP,Jeff Van Drew,0,0,0,0
Salem,Alloway District 2,U.S. House,2,DEM,Amy Kennedy,0,0,0,0
Salem,Alloway District 2,U.S. House,2,,Jenna Harvey,0,0,0,0
Salem,Alloway District 2,U.S. House,2,,Jesse Ehrnstrom,0,0,0,0
Salem,Alloway District 2,U.S. House,2,,Write-In,0,0,0,0
Salem,Carneys Point District 1,Registered Voters,,,,,,,6067
Salem,Carneys Point District 1,Ballots Cast,,,,0,3707,309,4016
Salem,Carneys Point District 1,President,,REP,Donald J Trump,0,0,0,0
Salem,Carneys Point District 1,President,,DEM,Joseph R Biden,0,0,0,0
Salem,Carneys Point District 1,President,,UPA,Bill Hammons,0,9,1,10
Salem,Carneys Point District 1,President,,GRE,Howie Hawkins,0,11,0,11
Salem,Carneys Point District 1,President,,SAL,Gloria Estela La Riva,0,3,0,3
Salem,Carneys Point District 1,President,,CPN,Don Blankenship,0,7,1,8
Salem,Carneys Point District 1,President,,LIB,Jo Jorgensen,0,38,2,40
Salem,Carneys Point District 1,President,,ALI,"Roque ""Rocky""De La Fuente",0,2,0,2
Salem,Carneys Point District 1,President,,,Write-In,0,9,1,10
Salem,Carneys Point District 1,U.S. Senate,,REP,"Rikin ""Rik"" Mehta",0,1541,99,1640
Salem,Carneys Point District 1,U.S. Senate,,DEM,Cory Booker,0,1963,179,2142
Salem,Carneys Point District 1,U.S. Senate,,,Veronica Fernandez,0,54,13,67
Salem,Carneys Point District 1,U.S. Senate,,GRE,Madelyn R Hoffman,0,61,6,67
Salem,Carneys Point District 1,U.S. Senate,,,Daniel Burke,0,25,6,31
Salem,Carneys Point District 1,U.S. Senate,,,Write-In,0,1,0,1
Salem,Carneys Point District 1,U.S. House,2,REP,Jeff Van Drew,0,1591,102,1693
Salem,Carneys Point District 1,U.S. House,2,DEM,Amy Kennedy,0,1937,183,2120
Salem,Carneys Point District 1,U.S. House,2,,Jenna Harvey,0,80,8,88
Salem,Carneys Point District 1,U.S. House,2,,Jesse Ehrnstrom,0,40,6,46
Salem,Carneys Point District 1,U.S. House,2,,Write-In,0,2,0,2
Salem,Carneys Point District 2,Registered Voters,,,,,,,0
Salem,Carneys Point District 2,Ballots Cast,,,,0,0,0,0
Salem,Carneys Point District 2,President,,REP,Donald J Trump,0,0,0,0
Salem,Carneys Point District 2,President,,DEM,Joseph R Biden,0,0,0,0
Salem,Carneys Point District 2,President,,UPA,Bill Hammons,0,0,0,0
Salem,Carneys Point District 2,President,,GRE,Howie Hawkins,0,0,0,0
Salem,Carneys Point District 2,President,,SAL,Gloria Estela La Riva,0,0,0,0
Salem,Carneys Point District 2,President,,CPN,Don Blankenship,0,0,0,0
Salem,Carneys Point District 2,President,,LIB,Jo Jorgensen,0,0,0,0
Salem,Carneys Point District 2,President,,ALI,"Roque ""Rocky""De La Fuente",0,0,0,0
Salem,Carneys Point District 2,President,,,Write-In,0,0,0,0
Salem,Carneys Point District 2,U.S. Senate,,REP,"Rikin ""Rik"" Mehta",0,0,0,0
Salem,Carneys Point District 2,U.S. Senate,,DEM,Cory Booker,0,0,0,0
Salem,Carneys Point District 2,U.S. Senate,,,Veronica Fernandez,0,0,0,0
Salem,Carneys Point District 2,U.S. Senate,,GRE,Madelyn R Hoffman,0,0,0,0
Salem,Carneys Point District 2,U.S. Senate,,,Daniel Burke,0,0,0,0
