county,precinct,office,district,candidate,party,votes,machine,mail,mail_48,federal,military,emergency,provisional
Middlesex,Borough of Carteret 01,Registered Voters,,,,15922,,,,,,,
Middlesex,Borough of Carteret 01,Ballots Cast Total,,,,9642,8,8023,0,4,0,0,1607
Middlesex,Borough of Carteret 01,Ballots Cast Blank,,,,21,0,6,0,0,0,0,15
Middlesex,Borough of Carteret 01,President,,Joseph R. Biden,DEM,6212,5,5203,0,3,0,0,1001
Middlesex,Borough of Carteret 01,President,,Donald J. Trump,REP,3065,2,2587,0,1,0,0,475
Middlesex,Borough of Carteret 01,President,,Jo Jorgensen,NPC,26,0,21,0,0,0,0,5
Middlesex,Borough of Carteret 01,President,,Don Blankenship,NPD,4,0,4,0,0,0,0,0
Middlesex,Borough of Carteret 01,President,,Howie Hawkins,NPE,15,0,12,0,0,0,0,3
Middlesex,Borough of Carteret 01,President,,Gloria Estela La Riva,NPF,9,0,8,0,0,0,0,1
Middlesex,Borough of Carteret 01,President,,"Roque ""Rocky"" De La Fuente",NPG,6,0,6,0,0,0,0,0
Middlesex,Borough of Carteret 01,President,,Bill Hammons,NPH,3,0,2,0,0,0,0,1
Middlesex,Borough of Carteret 01,President,,Write-In,,23,0,19,0,0,0,0,4
Middlesex,Borough of Carteret 01,President,,Overvotes,,140,0,96,0,0,0,0,44
Middlesex,Borough of Carteret 01,President,,Undervotes,,139,1,65,0,0,0,0,73
Middlesex,Borough of Carteret 01,U.S. Senate,,Cory Booker,DEM,6218,4,5224,0,4,0,0,986
Middlesex,Borough of Carteret 01,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,2578,3,2209,0,0,0,0,366
Middlesex,Borough of Carteret 01,U.S. Senate,,Daniel Burke,NPC,58,0,52,0,0,0,0,6
Middlesex,Borough of Carteret 01,U.S. Senate,,Veronica Fernandez,NPD,106,0,75,0,0,0,0,31
Middlesex,Borough of Carteret 01,U.S. Senate,,Madelyn R. Hoffman,,76,0,64,0,0,0,0,12
Middlesex,Borough of Carteret 01,U.S. Senate,,Write-In,,12,0,10,0,0,0,0,2
Middlesex,Borough of Carteret 01,U.S. Senate,,Overvotes,,115,0,84,0,0,0,0,31
Middlesex,Borough of Carteret 01,U.S. Senate,,Undervotes,,479,1,305,0,0,0,0,173
Middlesex,Borough of Carteret 01,U.S. House,6,Frank Pallone Jr.,DEM,6437,6,5434,0,3,0,0,994
Middlesex,Borough of Carteret 01,U.S. House,6,Christian Onuoha,REP,2548,2,2159,0,1,0,0,386
Middlesex,Borough of Carteret 01,U.S. House,6,Write-In,,9,0,9,0,0,0,0,0
Middlesex,Borough of Carteret 01,U.S. House,6,Overvotes,,38,0,33,0,0,0,0,5
Middlesex,Borough of Carteret 01,U.S. House,6,Undervotes,,610,0,388,0,0,0,0,222
Middlesex,Township of Cranbury 02,Registered Voters,,,,3365,,,,,,,
Middlesex,Township of Cranbury 02,Ballots Cast Total,,,,2561,1,2419,0,20,0,0,121
Middlesex,Township of Cranbury 02,Ballots Cast Blank,,,,1,0,1,0,0,0,0,0
