county,precinct,office,district,candidate,party,votes,election_day,mail,provisional,emergency
Camden,Audubon Boro Dist 1,Registered Voters,,,,7265,,,,
Camden,Audubon Boro Dist 1,Ballots Cast,,,,5591,11,5324,256,0
Camden,Audubon Boro Dist 1,President,,Donald J. Trump,REP,2141,8,2004,129,
Camden,Audubon Boro Dist 1,President,,Joseph R. Biden,DEM,3244,3,3133,108,
Camden,Audubon Boro Dist 1,President,,Gloria Estela La Riva,,4,,4,,
Camden,Audubon Boro Dist 1,President,,Jo Jorgensen,,59,,53,6,
Camden,Audubon Boro Dist 1,President,,Don Blankenship,,11,,10,1,
Camden,Audubon Boro Dist 1,President,,Bill Hammons,,3,,3,,
Camden,Audubon Boro Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Audubon Boro Dist 1,President,,Howie Hawkins,,23,,22,1,
Camden,Audubon Boro Dist 1,President,,Write-In,,28,,27,1,
Camden,Audubon Boro Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,2122,7,1994,121,
Camden,Audubon Boro Dist 1,U.S. Senate,,Cory Booker,DEM,3211,4,3093,114,
Camden,Audubon Boro Dist 1,U.S. Senate,,Daniel Burke,,3,,2,1,
Camden,Audubon Boro Dist 1,U.S. Senate,,Madelyn R. Hoffman,,38,,34,4,
Camden,Audubon Boro Dist 1,U.S. Senate,,Veronica Fernandez,,11,,9,2,
Camden,Audubon Boro Dist 1,U.S. Senate,,Write-In,,3,,3,,
Camden,Audubon Boro Dist 1,U.S. House,1,Claire H. Gustafson,REP,2201,7,2070,124,
Camden,Audubon Boro Dist 1,U.S. House,1,Donald W. Norcross,DEM,3154,4,3033,117,
Camden,Audubon Boro Dist 1,U.S. House,1,Write-In,,10,,10,,
Camden,Audubon Park Dist 1,Registered Voters,,,,852,,,,
Camden,Audubon Park Dist 1,Ballots Cast,,,,649,0,622,27,0
Camden,Audubon Park Dist 1,President,,Donald J. Trump,REP,292,,276,16,
Camden,Audubon Park Dist 1,President,,Joseph R. Biden,DEM,336,,326,10,
Camden,Audubon Park Dist 1,President,,Gloria Estela La Riva,,1,,1,,
Camden,Audubon Park Dist 1,President,,Jo Jorgensen,,4,,3,1,
Camden,Audubon Park Dist 1,President,,Don Blankenship,,0,,,,
Camden,Audubon Park Dist 1,President,,Bill Hammons,,0,,,,
Camden,Audubon Park Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Audubon Park Dist 1,President,,Howie Hawkins,,0,,,,
Camden,Audubon Park Dist 1,President,,Write-In,,3,,3,,
Camden,Audubon Park Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,254,,240,14,
Camden,Audubon Park Dist 1,U.S. Senate,,Cory Booker,DEM,349,,339,10,
Camden,Audubon Park Dist 1,U.S. Senate,,Daniel Burke,,2,,2,,
Camden,Audubon Park Dist 1,U.S. Senate,,Madelyn R. Hoffman,,6,,5,1,
Camden,Audubon Park Dist 1,U.S. Senate,,Veronica Fernandez,,2,,2,,
Camden,Audubon Park Dist 1,U.S. Senate,,Write-In,,0,,,,
Camden,Audubon Park Dist 1,U.S. House,1,Claire H. Gustafson,REP,250,,237,13,
Camden,Audubon Park Dist 1,U.S. House,1,Donald W. Norcross,DEM,363,,352,11,
Camden,Audubon Park Dist 1,U.S. House,1,Write-In,,1,,1,,
Camden,Barrington Dist 1,Registered Voters,,,,5495,,,,
Camden,Barrington Dist 1,Ballots Cast,,,,4098,15,3869,214,0
Camden,Barrington Dist 1,President,,Donald J. Trump,REP,1522,4,1429,89,
Camden,Barrington Dist 1,President,,Joseph R. Biden,DEM,2419,11,2298,110,
Camden,Barrington Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Barrington Dist 1,President,,Jo Jorgensen,,47,,46,1,
Camden,Barrington Dist 1,President,,Don Blankenship,,7,,6,1,
Camden,Barrington Dist 1,President,,Bill Hammons,,2,,2,,
Camden,Barrington Dist 1,President,,"Roque ""Rocky"" De La Fuente",,7,,7,,
Camden,Barrington Dist 1,President,,Howie Hawkins,,9,,8,1,
Camden,Barrington Dist 1,President,,Write-In,,24,,23,1,
Camden,Barrington Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1539,4,1444,91,
Camden,Barrington Dist 1,U.S. Senate,,Cory Booker,DEM,2370,11,2251,108,
Camden,Barrington Dist 1,U.S. Senate,,Daniel Burke,,7,,6,1,
Camden,Barrington Dist 1,U.S. Senate,,Madelyn R. Hoffman,,32,,32,,
Camden,Barrington Dist 1,U.S. Senate,,Veronica Fernandez,,9,,8,1,
Camden,Barrington Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Barrington Dist 1,U.S. House,1,Claire H. Gustafson,REP,1617,4,1523,90,
Camden,Barrington Dist 1,U.S. House,1,Donald W. Norcross,DEM,2336,11,2211,114,
Camden,Barrington Dist 1,U.S. House,1,Write-In,,7,,7,,
Camden,Bellmawr Dist 1,Registered Voters,,,,8741,,,,
Camden,Bellmawr Dist 1,Ballots Cast,,,,6288,9,5882,397,0
Camden,Bellmawr Dist 1,President,,Donald J. Trump,REP,2851,6,2637,208,
Camden,Bellmawr Dist 1,President,,Joseph R. Biden,DEM,3187,3,3016,168,
Camden,Bellmawr Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Bellmawr Dist 1,President,,Jo Jorgensen,,56,,53,3,
Camden,Bellmawr Dist 1,President,,Don Blankenship,,11,,11,,
Camden,Bellmawr Dist 1,President,,Bill Hammons,,4,,4,,
Camden,Bellmawr Dist 1,President,,"Roque ""Rocky"" De La Fuente",,3,,3,,
Camden,Bellmawr Dist 1,President,,Howie Hawkins,,26,,23,3,
Camden,Bellmawr Dist 1,President,,Write-In,,30,,29,1,
Camden,Bellmawr Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,2624,5,2434,185,
Camden,Bellmawr Dist 1,U.S. Senate,,Cory Booker,DEM,3243,4,3062,177,
Camden,Bellmawr Dist 1,U.S. Senate,,Daniel Burke,,14,,14,,
Camden,Bellmawr Dist 1,U.S. Senate,,Madelyn R. Hoffman,,51,,48,3,
Camden,Bellmawr Dist 1,U.S. Senate,,Veronica Fernandez,,23,,20,3,
Camden,Bellmawr Dist 1,U.S. Senate,,Write-In,,4,,4,,
Camden,Bellmawr Dist 1,U.S. House,1,Claire H. Gustafson,REP,2612,6,2414,192,
Camden,Bellmawr Dist 1,U.S. House,1,Donald W. Norcross,DEM,3387,3,3204,180,
Camden,Bellmawr Dist 1,U.S. House,1,Write-In,,8,,8,,
Camden,Berlin Boro Dist 1,Registered Voters,,,,6163,,,,
Camden,Berlin Boro Dist 1,Ballots Cast,,,,4623,10,4335,278,0
Camden,Berlin Boro Dist 1,President,,Donald J. Trump,REP,2214,5,2040,169,
Camden,Berlin Boro Dist 1,President,,Joseph R. Biden,DEM,2270,5,2165,100,
Camden,Berlin Boro Dist 1,President,,Gloria Estela La Riva,,5,,4,1,
Camden,Berlin Boro Dist 1,President,,Jo Jorgensen,,46,,43,3,
Camden,Berlin Boro Dist 1,President,,Don Blankenship,,3,,3,,
Camden,Berlin Boro Dist 1,President,,Bill Hammons,,6,,6,,
Camden,Berlin Boro Dist 1,President,,"Roque ""Rocky"" De La Fuente",,2,,1,1,
Camden,Berlin Boro Dist 1,President,,Howie Hawkins,,13,,12,1,
Camden,Berlin Boro Dist 1,President,,Write-In,,16,,15,1,
Camden,Berlin Boro Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,2195,4,2033,158,
Camden,Berlin Boro Dist 1,U.S. Senate,,Cory Booker,DEM,2212,6,2106,100,
Camden,Berlin Boro Dist 1,U.S. Senate,,Daniel Burke,,7,,5,2,
Camden,Berlin Boro Dist 1,U.S. Senate,,Madelyn R. Hoffman,,30,,28,2,
Camden,Berlin Boro Dist 1,U.S. Senate,,Veronica Fernandez,,11,,11,,
Camden,Berlin Boro Dist 1,U.S. Senate,,Write-In,,5,,5,,
Camden,Berlin Boro Dist 1,U.S. House,1,Claire H. Gustafson,REP,2194,4,2028,162,
Camden,Berlin Boro Dist 1,U.S. House,1,Donald W. Norcross,DEM,2229,6,2121,102,
Camden,Berlin Boro Dist 1,U.S. House,1,Write-In,,8,,8,,
Camden,Berlin Twp Dist 1,Registered Voters,,,,4616,,,,
Camden,Berlin Twp Dist 1,Ballots Cast,,,,3401,11,3212,178,0
