county,precinct,office,district,candidate,party,votes,election_day,mail,provisional,emergency
Camden,Berlin Twp Dist 1,President,,Donald J. Trump,REP,1453,7,1359,87,
Camden,Berlin Twp Dist 1,President,,Joseph R. Biden,DEM,1817,3,1737,77,
Camden,Berlin Twp Dist 1,President,,Gloria Estela La Riva,,4,,3,1,
Camden,Berlin Twp Dist 1,President,,Jo Jorgensen,,24,1,21,2,
Camden,Berlin Twp Dist 1,President,,Don Blankenship,,2,,2,,
Camden,Berlin Twp Dist 1,President,,Bill Hammons,,6,,6,,
Camden,Berlin Twp Dist 1,President,,"Roque ""Rocky"" De La Fuente",,4,,4,,
Camden,Berlin Twp Dist 1,President,,Howie Hawkins,,5,,5,,
Camden,Berlin Twp Dist 1,President,,Write-In,,10,,9,1,
Camden,Berlin Twp Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1376,7,1292,77,
Camden,Berlin Twp Dist 1,U.S. Senate,,Cory Booker,DEM,1856,4,1766,86,
Camden,Berlin Twp Dist 1,U.S. Senate,,Daniel Burke,,8,,7,1,
Camden,Berlin Twp Dist 1,U.S. Senate,,Madelyn R. Hoffman,,25,,24,1,
Camden,Berlin Twp Dist 1,U.S. Senate,,Veronica Fernandez,,3,,3,,
Camden,Berlin Twp Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Berlin Twp Dist 1,U.S. House,1,Claire H. Gustafson,REP,1386,6,1299,81,
Camden,Berlin Twp Dist 1,U.S. House,1,Donald W. Norcross,DEM,1889,5,1798,86,
Camden,Berlin Twp Dist 1,U.S. House,1,Write-In,,2,,2,,
Camden,Brooklawn Dist 1,Registered Voters,,,,1411,,,,
Camden,Brooklawn Dist 1,Ballots Cast,,,,912,10,803,99,0
Camden,Brooklawn Dist 1,President,,Donald J. Trump,REP,349,2,310,37,
Camden,Brooklawn Dist 1,President,,Joseph R. Biden,DEM,517,8,459,50,
Camden,Brooklawn Dist 1,President,,Gloria Estela La Riva,,0,,,,
Camden,Brooklawn Dist 1,President,,Jo Jorgensen,,14,,10,4,
Camden,Brooklawn Dist 1,President,,Don Blankenship,,0,,,,
Camden,Brooklawn Dist 1,President,,Bill Hammons,,0,,,,
Camden,Brooklawn Dist 1,President,,"Roque ""Rocky"" De La Fuente",,3,,3,,
Camden,Brooklawn Dist 1,President,,Howie Hawkins,,1,,1,,
Camden,Brooklawn Dist 1,President,,Write-In,,6,,6,,
Camden,Brooklawn Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,346,2,310,34,
Camden,Brooklawn Dist 1,U.S. Senate,,Cory Booker,DEM,512,8,454,50,
Camden,Brooklawn Dist 1,U.S. Senate,,Daniel Burke,,0,,,,
Camden,Brooklawn Dist 1,U.S. Senate,,Madelyn R. Hoffman,,13,,11,2,
Camden,Brooklawn Dist 1,U.S. Senate,,Veronica Fernandez,,3,,2,1,
Camden,Brooklawn Dist 1,U.S. Senate,,Write-In,,0,,,,
Camden,Brooklawn Dist 1,U.S. House,1,Claire H. Gustafson,REP,334,2,297,35,
Camden,Brooklawn Dist 1,U.S. House,1,Donald W. Norcross,DEM,553,8,488,57,
Camden,Brooklawn Dist 1,U.S. House,1,Write-In,,0,,,,
Camden,Camden City W1 D1,Registered Voters,,,,11989,,,,
Camden,Camden City W1 D1,Ballots Cast,,,,5398,32,4050,1316,0
Camden,Camden City W1 D1,President,,Donald J. Trump,REP,411,1,294,116,
Camden,Camden City W1 D1,President,,Joseph R. Biden,DEM,4438,25,3378,1035,
Camden,Camden City W1 D1,President,,Gloria Estela La Riva,,9,,8,1,
Camden,Camden City W1 D1,President,,Jo Jorgensen,,4,,2,2,
Camden,Camden City W1 D1,President,,Don Blankenship,,4,,4,,
Camden,Camden City W1 D1,President,,Bill Hammons,,1,,,1,
Camden,Camden City W1 D1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Camden City W1 D1,President,,Howie Hawkins,,5,,4,1,
Camden,Camden City W1 D1,President,,Write-In,,17,1,12,4,
Camden,Camden City W1 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,356,,265,91,
Camden,Camden City W1 D1,U.S. Senate,,Cory Booker,DEM,4516,23,3434,1059,
Camden,Camden City W1 D1,U.S. Senate,,Daniel Burke,,6,,5,1,
Camden,Camden City W1 D1,U.S. Senate,,Madelyn R. Hoffman,,16,,14,2,
Camden,Camden City W1 D1,U.S. Senate,,Veronica Fernandez,,31,,23,8,
Camden,Camden City W1 D1,U.S. Senate,,Write-In,,3,,2,1,
Camden,Camden City W1 D1,U.S. House,1,Claire H. Gustafson,REP,536,1,374,161,
Camden,Camden City W1 D1,U.S. House,1,Donald W. Norcross,DEM,4477,27,3414,1036,
Camden,Camden City W1 D1,U.S. House,1,Write-In,,17,,15,2,
Camden,Camden City W2 D1,Registered Voters,,,,12599,,,,
Camden,Camden City W2 D1,Ballots Cast,,,,5893,57,4441,1395,0
Camden,Camden City W2 D1,President,,Donald J. Trump,REP,282,2,192,88,
Camden,Camden City W2 D1,President,,Joseph R. Biden,DEM,4994,53,3809,1132,
Camden,Camden City W2 D1,President,,Gloria Estela La Riva,,5,,1,4,
Camden,Camden City W2 D1,President,,Jo Jorgensen,,2,,2,,
Camden,Camden City W2 D1,President,,Don Blankenship,,1,,,1,
Camden,Camden City W2 D1,President,,Bill Hammons,,6,,3,3,
Camden,Camden City W2 D1,President,,"Roque ""Rocky"" De La Fuente",,3,,3,,
Camden,Camden City W2 D1,President,,Howie Hawkins,,6,,6,,
Camden,Camden City W2 D1,President,,Write-In,,7,,5,2,
Camden,Camden City W2 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,240,3,166,71,
Camden,Camden City W2 D1,U.S. Senate,,Cory Booker,DEM,5082,49,3868,1165,
Camden,Camden City W2 D1,U.S. Senate,,Daniel Burke,,7,,5,2,
Camden,Camden City W2 D1,U.S. Senate,,Madelyn R. Hoffman,,13,,10,3,
Camden,Camden City W2 D1,U.S. Senate,,Veronica Fernandez,,23,1,21,1,
Camden,Camden City W2 D1,U.S. Senate,,Write-In,,4,,3,1,
Camden,Camden City W2 D1,U.S. House,1,Claire H. Gustafson,REP,434,3,309,122,
Camden,Camden City W2 D1,U.S. House,1,Donald W. Norcross,DEM,4977,42,3813,1122,
Camden,Camden City W2 D1,U.S. House,1,Write-In,,11,,11,,
Camden,Camden City W3 D1,Registered Voters,,,,11322,,,,
Camden,Camden City W3 D1,Ballots Cast,,,,5331,53,3970,1308,0
Camden,Camden City W3 D1,President,,Donald J. Trump,REP,673,12,420,241,
Camden,Camden City W3 D1,President,,Joseph R. Biden,DEM,4057,37,3100,920,
Camden,Camden City W3 D1,President,,Gloria Estela La Riva,,5,,4,1,
Camden,Camden City W3 D1,President,,Jo Jorgensen,,1,,1,,
Camden,Camden City W3 D1,President,,Don Blankenship,,1,,1,,
Camden,Camden City W3 D1,President,,Bill Hammons,,1,,1,,
Camden,Camden City W3 D1,President,,"Roque ""Rocky"" De La Fuente",,3,1,2,,
Camden,Camden City W3 D1,President,,Howie Hawkins,,9,1,7,1,
Camden,Camden City W3 D1,President,,Write-In,,2,,2,,
Camden,Camden City W3 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,567,12,373,182,
Camden,Camden City W3 D1,U.S. Senate,,Cory Booker,DEM,4082,36,3118,928,
Camden,Camden City W3 D1,U.S. Senate,,Daniel Burke,,4,,4,,
Camden,Camden City W3 D1,U.S. Senate,,Madelyn R. Hoffman,,24,,21,3,
Camden,Camden City W3 D1,U.S. Senate,,Veronica Fernandez,,34,,27,7,
Camden,Camden City W3 D1,U.S. Senate,,Write-In,,2,,2,,
Camden,Camden City W3 D1,U.S. House,1,Claire H. Gustafson,REP,712,13,464,235,
Camden,Camden City W3 D1,U.S. House,1,Donald W. Norcross,DEM,4231,36,3266,929,
Camden,Camden City W3 D1,U.S. House,1,Write-In,,15,,13,2,
Camden,Camden City W4 D1,Registered Voters,,,,12113,,,,
Camden,Camden City W4 D1,Ballots Cast,,,,5331,62,3884,1385,0
Camden,Camden City W4 D1,President,,Donald J. Trump,REP,628,11,440,177,
Camden,Camden City W4 D1,President,,Joseph R. Biden,DEM,4128,47,3054,1027,
Camden,Camden City W4 D1,President,,Gloria Estela La Riva,,6,,4,2,
Camden,Camden City W4 D1,President,,Jo Jorgensen,,14,1,13,,
Camden,Camden City W4 D1,President,,Don Blankenship,,1,,1,,
Camden,Camden City W4 D1,President,,Bill Hammons,,0,,,,
Camden,Camden City W4 D1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Camden City W4 D1,President,,Howie Hawkins,,5,,3,2,
Camden,Camden City W4 D1,President,,Write-In,,13,1,10,2,
Camden,Camden City W4 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,547,11,391,145,
Camden,Camden City W4 D1,U.S. Senate,,Cory Booker,DEM,4088,44,3032,1012,
Camden,Camden City W4 D1,U.S. Senate,,Daniel Burke,,6,,4,2,
Camden,Camden City W4 D1,U.S. Senate,,Madelyn R. Hoffman,,10,,10,,
Camden,Camden City W4 D1,U.S. Senate,,Veronica Fernandez,,63,,49,14,
Camden,Camden City W4 D1,U.S. Senate,,Write-In,,4,,4,,
Camden,Camden City W4 D1,U.S. House,1,Claire H. Gustafson,REP,698,10,509,179,
Camden,Camden City W4 D1,U.S. House,1,Donald W. Norcross,DEM,4189,43,3109,1037,
Camden,Camden City W4 D1,U.S. House,1,Write-In,,8,,8,,
Camden,Cherry Hill Dist 1,Registered Voters,,,,61005,,,,
Camden,Cherry Hill Dist 1,Ballots Cast,,,,45078,288,42084,2706,0
Camden,Cherry Hill Dist 1,President,,Donald J. Trump,REP,14036,76,12705,1255,
Camden,Cherry Hill Dist 1,President,,Joseph R. Biden,DEM,29541,199,28045,1297,
Camden,Cherry Hill Dist 1,President,,Gloria Estela La Riva,,27,,26,1,
Camden,Cherry Hill Dist 1,President,,Jo Jorgensen,,319,2,294,23,
Camden,Cherry Hill Dist 1,President,,Don Blankenship,,39,1,36,2,
Camden,Cherry Hill Dist 1,President,,Bill Hammons,,22,,22,,
Camden,Cherry Hill Dist 1,President,,"Roque ""Rocky"" De La Fuente",,16,,15,1,
Camden,Cherry Hill Dist 1,President,,Howie Hawkins,,123,3,109,11,
Camden,Cherry Hill Dist 1,President,,Write-In,,180,3,160,17,
Camden,Cherry Hill Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,14500,75,13220,1205,
Camden,Cherry Hill Dist 1,U.S. Senate,,Cory Booker,DEM,28640,196,27159,1285,
Camden,Cherry Hill Dist 1,U.S. Senate,,Daniel Burke,,39,,31,8,
Camden,Cherry Hill Dist 1,U.S. Senate,,Madelyn R. Hoffman,,270,4,246,20,
Camden,Cherry Hill Dist 1,U.S. Senate,,Veronica Fernandez,,91,1,86,4,
Camden,Cherry Hill Dist 1,U.S. Senate,,Write-In,,24,,22,2,
Camden,Cherry Hill Dist 1,U.S. House,1,Claire H. Gustafson,REP,15004,77,13691,1236,
Camden,Cherry Hill Dist 1,U.S. House,1,Donald W. Norcross,DEM,28237,196,26726,1315,
Camden,Cherry Hill Dist 1,U.S. House,1,Write-In,,76,,69,7,
Camden,Chesilhurst Dist 1,Registered Voters,,,,1259,,,,
Camden,Chesilhurst Dist 1,Ballots Cast,,,,834,1,752,81,0
Camden,Chesilhurst Dist 1,President,,Donald J. Trump,REP,254,,232,22,
Camden,Chesilhurst Dist 1,President,,Joseph R. Biden,DEM,552,1,497,54,
Camden,Chesilhurst Dist 1,President,,Gloria Estela La Riva,,1,,1,,
Camden,Chesilhurst Dist 1,President,,Jo Jorgensen,,5,,5,,
Camden,Chesilhurst Dist 1,President,,Don Blankenship,,1,,1,,
Camden,Chesilhurst Dist 1,President,,Bill Hammons,,0,,,,
Camden,Chesilhurst Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Chesilhurst Dist 1,President,,Howie Hawkins,,2,,1,1,
Camden,Chesilhurst Dist 1,President,,Write-In,,1,,1,,
Camden,Chesilhurst Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,236,,215,21,
Camden,Chesilhurst Dist 1,U.S. Senate,,Cory Booker,DEM,565,1,511,53,
Camden,Chesilhurst Dist 1,U.S. Senate,,Daniel Burke,,1,,1,,
Camden,Chesilhurst Dist 1,U.S. Senate,,Madelyn R. Hoffman,,2,,1,1,
Camden,Chesilhurst Dist 1,U.S. Senate,,Veronica Fernandez,,4,,3,1,
Camden,Chesilhurst Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Chesilhurst Dist 1,U.S. House,1,Claire H. Gustafson,REP,238,,215,23,
Camden,Chesilhurst Dist 1,U.S. House,1,Donald W. Norcross,DEM,560,1,504,55,
Camden,Chesilhurst Dist 1,U.S. House,1,Write-In,,0,,,,
Camden,Clementon Dist 1,Registered Voters,,,,3836,,,,
Camden,Clementon Dist 1,Ballots Cast,,,,2424,5,2173,246,0
Camden,Clementon Dist 1,President,,Donald J. Trump,REP,827,2,749,76,
Camden,Clementon Dist 1,President,,Joseph R. Biden,DEM,1473,3,1310,160,
Camden,Clementon Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Clementon Dist 1,President,,Jo Jorgensen,,23,,23,,
Camden,Clementon Dist 1,President,,Don Blankenship,,2,,2,,
Camden,Clementon Dist 1,President,,Bill Hammons,,1,,1,,
Camden,Clementon Dist 1,President,,"Roque ""Rocky"" De La Fuente",,0,,,,
Camden,Clementon Dist 1,President,,Howie Hawkins,,9,,8,1,
Camden,Clementon Dist 1,President,,Write-In,,11,,11,,
Camden,Clementon Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,799,2,730,67,
Camden,Clementon Dist 1,U.S. Senate,,Cory Booker,DEM,1477,3,1312,162,
Camden,Clementon Dist 1,U.S. Senate,,Daniel Burke,,4,,4,,
Camden,Clementon Dist 1,U.S. Senate,,Madelyn R. Hoffman,,28,,26,2,
Camden,Clementon Dist 1,U.S. Senate,,Veronica Fernandez,,12,,11,1,
Camden,Clementon Dist 1,U.S. Senate,,Write-In,,2,,2,,
Camden,Clementon Dist 1,U.S. House,1,Claire H. Gustafson,REP,790,2,719,69,
Camden,Clementon Dist 1,U.S. House,1,Donald W. Norcross,DEM,1546,2,1376,168,
Camden,Clementon Dist 1,U.S. House,1,Write-In,,3,,3,,
Camden,Collingswood Dist 1,Registered Voters,,,,11805,,,,
Camden,Collingswood Dist 1,Ballots Cast,,,,8599,44,8031,524,0
Camden,Collingswood Dist 1,President,,Donald J. Trump,REP,1721,1,1576,144,
Camden,Collingswood Dist 1,President,,Joseph R. Biden,DEM,6550,40,6180,330,
Camden,Collingswood Dist 1,President,,Gloria Estela La Riva,,17,,16,1,
Camden,Collingswood Dist 1,President,,Jo Jorgensen,,67,1,59,7,
Camden,Collingswood Dist 1,President,,Don Blankenship,,6,,6,,
Camden,Collingswood Dist 1,President,,Bill Hammons,,9,,8,1,
Camden,Collingswood Dist 1,President,,"Roque ""Rocky"" De La Fuente",,2,,2,,
Camden,Collingswood Dist 1,President,,Howie Hawkins,,48,1,43,4,
Camden,Collingswood Dist 1,President,,Write-In,,33,,29,4,
Camden,Collingswood Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,1806,1,1665,140,
Camden,Collingswood Dist 1,U.S. Senate,,Cory Booker,DEM,6451,38,6066,347,
Camden,Collingswood Dist 1,U.S. Senate,,Daniel Burke,,10,,10,,
Camden,Collingswood Dist 1,U.S. Senate,,Madelyn R. Hoffman,,103,1,95,7,
Camden,Collingswood Dist 1,U.S. Senate,,Veronica Fernandez,,19,1,17,1,
Camden,Collingswood Dist 1,U.S. Senate,,Write-In,,10,,9,1,
Camden,Collingswood Dist 1,U.S. House,1,Claire H. Gustafson,REP,1998,5,1827,166,
Camden,Collingswood Dist 1,U.S. House,1,Donald W. Norcross,DEM,6245,36,5878,331,
Camden,Collingswood Dist 1,U.S. House,1,Write-In,,41,,40,1,
Camden,Gibbsboro Dist 1,Registered Voters,,,,1869,,,,
Camden,Gibbsboro Dist 1,Ballots Cast,,,,1432,5,1344,83,0
Camden,Gibbsboro Dist 1,President,,Donald J. Trump,REP,601,,555,46,
Camden,Gibbsboro Dist 1,President,,Joseph R. Biden,DEM,787,5,751,31,
Camden,Gibbsboro Dist 1,President,,Gloria Estela La Riva,,2,,2,,
Camden,Gibbsboro Dist 1,President,,Jo Jorgensen,,13,,12,1,
Camden,Gibbsboro Dist 1,President,,Don Blankenship,,1,,1,,
Camden,Gibbsboro Dist 1,President,,Bill Hammons,,0,,,,
Camden,Gibbsboro Dist 1,President,,"Roque ""Rocky"" De La Fuente",,1,,1,,
Camden,Gibbsboro Dist 1,President,,Howie Hawkins,,3,,3,,
Camden,Gibbsboro Dist 1,President,,Write-In,,5,,5,,
Camden,Gibbsboro Dist 1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,588,,544,44,
Camden,Gibbsboro Dist 1,U.S. Senate,,Cory Booker,DEM,766,5,727,34,
Camden,Gibbsboro Dist 1,U.S. Senate,,Daniel Burke,,2,,2,,
Camden,Gibbsboro Dist 1,U.S. Senate,,Madelyn R. Hoffman,,10,,10,,
Camden,Gibbsboro Dist 1,U.S. Senate,,Veronica Fernandez,,1,,1,,
Camden,Gibbsboro Dist 1,U.S. Senate,,Write-In,,1,,1,,
Camden,Gibbsboro Dist 1,U.S. House,1,Claire H. Gustafson,REP,599,,551,48,
Camden,Gibbsboro Dist 1,U.S. House,1,Donald W. Norcross,DEM,767,5,731,31,
Camden,Gibbsboro Dist 1,U.S. House,1,Write-In,,1,,1,,
Camden,Gloucester City W1 D1,Registered Voters,,,,2592,,,,
Camden,Gloucester City W1 D1,Ballots Cast,,,,1572,5,1404,163,0
Camden,Gloucester City W1 D1,President,,Donald J. Trump,REP,674,1,605,68,
Camden,Gloucester City W1 D1,President,,Joseph R. Biden,DEM,827,4,740,83,
Camden,Gloucester City W1 D1,President,,Gloria Estela La Riva,,1,,,1,
Camden,Gloucester City W1 D1,President,,Jo Jorgensen,,9,,7,2,
Camden,Gloucester City W1 D1,President,,Don Blankenship,,3,,3,,
Camden,Gloucester City W1 D1,President,,Bill Hammons,,3,,3,,
Camden,Gloucester City W1 D1,President,,"Roque ""Rocky"" De La Fuente",,2,,1,1,
Camden,Gloucester City W1 D1,President,,Howie Hawkins,,10,,8,2,
Camden,Gloucester City W1 D1,President,,Write-In,,6,,5,1,
Camden,Gloucester City W1 D1,U.S. Senate,,"Rikin ""Rik"" Mehta",REP,627,1,567,59,
Camden,Gloucester City W1 D1,U.S. Senate,,Cory Booker,DEM,857,4,764,89,
Camden,Gloucester City W1 D1,U.S. Senate,,Daniel Burke,,2,,1,1,
Camden,Gloucester City W1 D1,U.S. Senate,,Madelyn R. Hoffman,,19,,18,1,
Camden,Gloucester City W1 D1,U.S. Senate,,Veronica Fernandez,,3,,3,,
Camden,Gloucester City W1 D1,U.S. Senate,,Write-In,,0,,,,
Camden,Gloucester City W1 D1,U.S. House,1,Claire H. Gustafson,REP,638,2,573,63,
Camden,Gloucester City W1 D1,U.S. House,1,Donald W. Norcross,DEM,870,3,778,89,
Camden,Gloucester City W1 D1,U.S. House,1,Write-In,,2,,2,,
Camden,Gloucester City W2 D1,Registered Voters,,,,2760,,,,
