county,office,district,party,candidate,votes
Atlantic,Registered Voters,,,,"161,672"
Bergen,Registered Voters,,,,"518,333"
Burlington,Registered Voters,,,,"277,270"
Camden,Registered Voters,,,,"335,202"
Cape May,Registered Voters,,,,"66,818"
Cumberland,Registered Voters,,,,"88,407"
Essex,Registered Voters,,,,"458,777"
Gloucester,Registered Voters,,,,"187,274"
Hudson,Registered Voters,,,,"315,271"
Hunterdon,Registered Voters,,,,"86,619"
Mercer,Registered Voters,,,,"210,615"
Middlesex,Registered Voters,,,,"439,734"
Monmouth,Registered Voters,,,,"409,024"
Morris,Registered Voters,,,,"310,691"
Ocean,Registered Voters,,,,"365,730"
Passaic,Registered Voters,,,,"267,657"
Salem,Registered Voters,,,,"42,786"
Somerset,Registered Voters,,,,"198,381"
Sussex,Registered Voters,,,,"98,408"
Union,Registered Voters,,,,"286,754"
Warren,Registered Voters,,,,"67,832"
Total,Registered Voters,,,,"5,193,255"
Atlantic,Ballots Cast,,Democratic,,"5,441"
Bergen,Ballots Cast,,Democratic,,"12,770"
Burlington,Ballots Cast,,Democratic,,"8,281"
Camden,Ballots Cast,,Democratic,,"14,309"
Cape May,Ballots Cast,,Democratic,,"1,450"
Cumberland,Ballots Cast,,Democratic,,"1,491"
Essex,Ballots Cast,,Democratic,,"30,362"
Gloucester,Ballots Cast,,Democratic,,"5,719"
Hudson,Ballots Cast,,Democratic,,"41,547"
Hunterdon,Ballots Cast,,Democratic,,"1,295"
Mercer,Ballots Cast,,Democratic,,"6,677"
Middlesex,Ballots Cast,,Democratic,,"19,607"
Monmouth,Ballots Cast,,Democratic,,"5,272"
Morris,Ballots Cast,,Democratic,,"7,692"
Ocean,Ballots Cast,,Democratic,,"7,509"
Passaic,Ballots Cast,,Democratic,,"8,019"
Salem,Ballots Cast,,Democratic,,"2,045"
Somerset,Ballots Cast,,Democratic,,"3,416"
Sussex,Ballots Cast,,Democratic,,942
Union,Ballots Cast,,Democratic,,"26,842"
Warren,Ballots Cast,,Democratic,,"1,012"
Total,Ballots Cast,,Democratic,,"211,698"
Atlantic,Ballots Cast,,Republican,,"6,665"
Bergen,Ballots Cast,,Republican,,"11,294"
Burlington,Ballots Cast,,Republican,,"10,216"
Camden,Ballots Cast,,Republican,,"4,325"
Cape May,Ballots Cast,,Republican,,"5,458"
Cumberland,Ballots Cast,,Republican,,"1,518"
Essex,Ballots Cast,,Republican,,"4,643"
Gloucester,Ballots Cast,,Republican,,"5,074"
Hudson,Ballots Cast,,Republican,,"2,714"
Hunterdon,Ballots Cast,,Republican,,"5,768"
Mercer,Ballots Cast,,Republican,,"2,872"
Middlesex,Ballots Cast,,Republican,,"5,405"
Monmouth,Ballots Cast,,Republican,,"8,093"
Morris,Ballots Cast,,Republican,,"29,273"
Ocean,Ballots Cast,,Republican,,"14,135"
Passaic,Ballots Cast,,Republican,,"11,233"
Salem,Ballots Cast,,Republican,,"1,287"
Somerset,Ballots Cast,,Republican,,"7,564"
Sussex,Ballots Cast,,Republican,,"5,585"
Union,Ballots Cast,,Republican,,"4,313"
Warren,Ballots Cast,,Republican,,"3,503"
Total,Ballots Cast,,Republican,,"150,938"
Atlantic,Ballots Cast,,,,"12,106"
Bergen,Ballots Cast,,,,"24,064"
Burlington,Ballots Cast,,,,"18,497"
Camden,Ballots Cast,,,,"18,634"
Cape May,Ballots Cast,,,,"6,908"
Cumberland,Ballots Cast,,,,"3,009"
