county,precinct,office,district,candidate,party,early_voting,election_day,mail,provisional,emergency,federal,votes
Mercer,East Windsor 1,Registered Voters,,,,,,,,,,1704
Mercer,East Windsor 1,Ballots Cast,,,,protected,504,244,0,0,0,1094
Mercer,East Windsor 2,Registered Voters,,,,,,,,,,1898
Mercer,East Windsor 2,Ballots Cast,,,,protected,550,288,0,0,0,1235
Mercer,East Windsor 3,Registered Voters,,,,,,,,,,635
Mercer,East Windsor 3,Ballots Cast,,,,protected,178,166,0,0,0,404
Mercer,East Windsor 4,Registered Voters,,,,,,,,,,1613
Mercer,East Windsor 4,Ballots Cast,,,,protected,313,410,0,0,0,1002
Mercer,East Windsor 5,Registered Voters,,,,,,,,,,1709
Mercer,East Windsor 5,Ballots Cast,,,,protected,480,283,0,0,0,1073
Mercer,East Windsor 6,Registered Voters,,,,,,,,,,1324
Mercer,East Windsor 6,Ballots Cast,,,,protected,387,238,0,0,0,873
Mercer,East Windsor 7,Registered Voters,,,,,,,,,,1087
Mercer,East Windsor 7,Ballots Cast,,,,protected,300,229,0,0,0,758
Mercer,East Windsor 8,Registered Voters,,,,,,,,,,1582
Mercer,East Windsor 8,Ballots Cast,,,,protected,437,267,0,0,0,1033
Mercer,East Windsor 9,Registered Voters,,,,,,,,,,1003
Mercer,East Windsor 9,Ballots Cast,,,,protected,344,100,0,0,0,535
Mercer,East Windsor 10,Registered Voters,,,,,,,,,,782
Mercer,East Windsor 10,Ballots Cast,,,,protected,237,87,0,0,0,421
Mercer,East Windsor 11,Registered Voters,,,,,,,,,,1441
Mercer,East Windsor 11,Ballots Cast,,,,protected,477,194,0,0,0,835
Mercer,East Windsor 12,Registered Voters,,,,,,,,,,958
Mercer,East Windsor 12,Ballots Cast,,,,protected,298,147,0,0,0,551
Mercer,East Windsor 13,Registered Voters,,,,,,,,,,1059
Mercer,East Windsor 13,Ballots Cast,,,,protected,321,113,0,0,0,593
Mercer,East Windsor 14,Registered Voters,,,,,,,,,,956
Mercer,East Windsor 14,Ballots Cast,,,,protected,275,87,0,0,0,519
Mercer,East Windsor 15,Registered Voters,,,,,,,,,,890
Mercer,East Windsor 15,Ballots Cast,,,,protected,313,109,0,0,0,532
Mercer,East Windsor 16,Registered Voters,,,,,,,,,,824
Mercer,East Windsor 16,Ballots Cast,,,,protected,273,112,0,0,0,485
Mercer,East Windsor 17,Registered Voters,,,,,,,,,,1043
Mercer,East Windsor 17,Ballots Cast,,,,protected,254,205,0,0,0,615
Mercer,East Windsor Provisional,Registered Voters,,,,,,,,,,0
Mercer,East Windsor Provisional,Ballots Cast,,,,protected,0,0,430,0,0,433
Mercer,Ewing Twp 1,Registered Voters,,,,,,,,,,716
Mercer,Ewing Twp 1,Ballots Cast,,,,protected,216,133,0,0,0,492
Mercer,Ewing Twp 2,Registered Voters,,,,,,,,,,807
Mercer,Ewing Twp 2,Ballots Cast,,,,protected,213,126,0,0,0,491
Mercer,Ewing Twp 3,Registered Voters,,,,,,,,,,782
Mercer,Ewing Twp 3,Ballots Cast,,,,protected,202,132,0,0,0,457
Mercer,Ewing Twp 4,Registered Voters,,,,,,,,,,1304
Mercer,Ewing Twp 4,Ballots Cast,,,,protected,343,242,0,0,0,790
Mercer,Ewing Twp 5,Registered Voters,,,,,,,,,,923
Mercer,Ewing Twp 5,Ballots Cast,,,,protected,237,124,0,0,0,523
Mercer,Ewing Twp 6,Registered Voters,,,,,,,,,,1042
Mercer,Ewing Twp 6,Ballots Cast,,,,protected,280,144,0,0,0,593
Mercer,Ewing Twp 7,Registered Voters,,,,,,,,,,1527
Mercer,Ewing Twp 7,Ballots Cast,,,,protected,387,258,0,0,0,925
Mercer,Ewing Twp 8,Registered Voters,,,,,,,,,,889
Mercer,Ewing Twp 8,Ballots Cast,,,,protected,254,194,0,0,0,626
Mercer,Ewing Twp 9,Registered Voters,,,,,,,,,,963
Mercer,Ewing Twp 9,Ballots Cast,,,,protected,251,113,0,0,0,520
Mercer,Ewing Twp 10,Registered Voters,,,,,,,,,,1045
Mercer,Ewing Twp 10,Ballots Cast,,,,protected,253,125,0,0,0,559
Mercer,Ewing Twp 11,Registered Voters,,,,,,,,,,1091
Mercer,Ewing Twp 11,Ballots Cast,,,,protected,320,211,0,0,0,743
Mercer,Ewing Twp 12,Registered Voters,,,,,,,,,,1434
Mercer,Ewing Twp 12,Ballots Cast,,,,protected,433,218,0,0,0,875
Mercer,Ewing Twp 13,Registered Voters,,,,,,,,,,1040
Mercer,Ewing Twp 13,Ballots Cast,,,,protected,272,173,0,0,0,675
Mercer,Ewing Twp 14,Registered Voters,,,,,,,,,,616
Mercer,Ewing Twp 14,Ballots Cast,,,,protected,167,151,0,0,0,439
Mercer,Ewing Twp 15,Registered Voters,,,,,,,,,,1113
Mercer,Ewing Twp 15,Ballots Cast,,,,protected,307,209,0,0,0,714
Mercer,Ewing Twp 16,Registered Voters,,,,,,,,,,676
Mercer,Ewing Twp 16,Ballots Cast,,,,protected,167,144,0,0,0,459
Mercer,Ewing Twp 17,Registered Voters,,,,,,,,,,975
Mercer,Ewing Twp 17,Ballots Cast,,,,protected,282,146,0,0,0,565
Mercer,Ewing Twp 18,Registered Voters,,,,,,,,,,822
Mercer,Ewing Twp 18,Ballots Cast,,,,protected,194,152,0,0,0,488
Mercer,Ewing Twp 19,Registered Voters,,,,,,,,,,1853
Mercer,Ewing Twp 19,Ballots Cast,,,,protected,580,289,0,0,0,1187
Mercer,Ewing Twp 20,Registered Voters,,,,,,,,,,542
Mercer,Ewing Twp 20,Ballots Cast,,,,protected,187,84,0,0,0,369
Mercer,Ewing Twp 21,Registered Voters,,,,,,,,,,1352
Mercer,Ewing Twp 21,Ballots Cast,,,,protected,330,249,0,0,0,857
Mercer,Ewing Twp 22,Registered Voters,,,,,,,,,,603
Mercer,Ewing Twp 22,Ballots Cast,,,,protected,162,111,0,0,0,400
Mercer,Ewing Twp 23,Registered Voters,,,,,,,,,,777
Mercer,Ewing Twp 23,Ballots Cast,,,,protected,216,89,0,0,0,423
Mercer,Ewing Twp 24,Registered Voters,,,,,,,,,,1988
Mercer,Ewing Twp 24,Ballots Cast,,,,protected,587,321,0,0,0,1243
Mercer,Ewing Twp 25,Registered Voters,,,,,,,,,,1040
Mercer,Ewing Twp 25,Ballots Cast,,,,protected,294,129,0,0,0,594
Mercer,Ewing Twp 26,Registered Voters,,,,,,,,,,982
Mercer,Ewing Twp 26,Ballots Cast,,,,protected,273,182,0,0,0,624
Mercer,Ewing Twp 27,Registered Voters,,,,,,,,,,1356
Mercer,Ewing Twp 27,Ballots Cast,,,,protected,340,231,0,0,0,776
Mercer,Ewing Twp Provisional,Registered Voters,,,,,,,,,,0
Mercer,Ewing Twp Provisional,Ballots Cast,,,,protected,0,0,486,0,0,486
Mercer,Hamilton Twp 1,Registered Voters,,,,,,,,,,1099
Mercer,Hamilton Twp 1,Ballots Cast,,,,protected,373,164,0,0,0,713
Mercer,Hamilton Twp 2,Registered Voters,,,,,,,,,,851
Mercer,Hamilton Twp 2,Ballots Cast,,,,protected,306,136,0,0,0,562
Mercer,Hamilton Twp 3,Registered Voters,,,,,,,,,,929
Mercer,Hamilton Twp 3,Ballots Cast,,,,protected,373,144,0,0,0,674
Mercer,Hamilton Twp 4,Registered Voters,,,,,,,,,,1019
Mercer,Hamilton Twp 4,Ballots Cast,,,,protected,324,110,0,0,0,537
Mercer,Hamilton Twp 5,Registered Voters,,,,,,,,,,1556
Mercer,Hamilton Twp 5,Ballots Cast,,,,protected,428,144,0,0,0,734
Mercer,Hamilton Twp 6,Registered Voters,,,,,,,,,,1261
Mercer,Hamilton Twp 6,Ballots Cast,,,,protected,341,161,0,0,0,720
Mercer,Hamilton Twp 7,Registered Voters,,,,,,,,,,2357
Mercer,Hamilton Twp 7,Ballots Cast,,,,protected,721,159,0,0,0,1064
Mercer,Hamilton Twp 8,Registered Voters,,,,,,,,,,703
Mercer,Hamilton Twp 8,Ballots Cast,,,,protected,259,107,0,0,0,443
Mercer,Hamilton Twp 9,Registered Voters,,,,,,,,,,1150
Mercer,Hamilton Twp 9,Ballots Cast,,,,protected,446,166,0,0,0,813
Mercer,Hamilton Twp 10,Registered Voters,,,,,,,,,,981
Mercer,Hamilton Twp 10,Ballots Cast,,,,protected,317,284,0,0,0,768
Mercer,Hamilton Twp 11,Registered Voters,,,,,,,,,,1105
Mercer,Hamilton Twp 11,Ballots Cast,,,,protected,324,126,0,0,0,549
Mercer,Hamilton Twp 12,Registered Voters,,,,,,,,,,1475
Mercer,Hamilton Twp 12,Ballots Cast,,,,protected,450,126,0,0,0,745
Mercer,Hamilton Twp 13,Registered Voters,,,,,,,,,,1425
Mercer,Hamilton Twp 13,Ballots Cast,,,,protected,394,151,0,0,0,729
Mercer,Hamilton Twp 14,Registered Voters,,,,,,,,,,1270
Mercer,Hamilton Twp 14,Ballots Cast,,,,protected,470,132,0,0,0,756
Mercer,Hamilton Twp 15,Registered Voters,,,,,,,,,,2071
Mercer,Hamilton Twp 15,Ballots Cast,,,,protected,537,259,0,0,0,1134
Mercer,Hamilton Twp 16,Registered Voters,,,,,,,,,,1075
Mercer,Hamilton Twp 16,Ballots Cast,,,,protected,361,120,0,0,0,627
Mercer,Hamilton Twp 17,Registered Voters,,,,,,,,,,1287
Mercer,Hamilton Twp 17,Ballots Cast,,,,protected,398,137,0,0,0,732
Mercer,Hamilton Twp 18,Registered Voters,,,,,,,,,,1040
Mercer,Hamilton Twp 18,Ballots Cast,,,,protected,395,108,0,0,0,613
Mercer,Hamilton Twp 19,Registered Voters,,,,,,,,,,658
Mercer,Hamilton Twp 19,Ballots Cast,,,,protected,250,124,0,0,0,480
Mercer,Hamilton Twp 20,Registered Voters,,,,,,,,,,845
Mercer,Hamilton Twp 20,Ballots Cast,,,,protected,324,157,0,0,0,591
Mercer,Hamilton Twp 21,Registered Voters,,,,,,,,,,661
Mercer,Hamilton Twp 21,Ballots Cast,,,,protected,231,100,0,0,0,433
Mercer,Hamilton Twp 22,Registered Voters,,,,,,,,,,660
Mercer,Hamilton Twp 22,Ballots Cast,,,,protected,242,102,0,0,0,447
Mercer,Hamilton Twp 23,Registered Voters,,,,,,,,,,1625
Mercer,Hamilton Twp 23,Ballots Cast,,,,protected,454,176,0,0,0,806
Mercer,Hamilton Twp 24,Registered Voters,,,,,,,,,,724
Mercer,Hamilton Twp 24,Ballots Cast,,,,protected,317,90,0,0,0,488
Mercer,Hamilton Twp 25,Registered Voters,,,,,,,,,,1346
