county,precinct,office,district,party,candidate,votes,early_voting,provisional,emergency,mail,election_day
Cumberland,Bridgeton W1 D1,President,,,Donald J. TRUMP - JD VANCE,90,22,0,0,8,60
Cumberland,Bridgeton W2 D1,President,,,Donald J. TRUMP - JD VANCE,21,3,0,0,6,12
Cumberland,Bridgeton W2 D2,President,,,Donald J. TRUMP - JD VANCE,42,2,0,0,1,39
Cumberland,Bridgeton W2 D3,President,,,Donald J. TRUMP - JD VANCE,27,5,0,0,2,20
Cumberland,Bridgeton W3 D1,President,,,Donald J. TRUMP - JD VANCE,157,71,0,0,23,63
Cumberland,Bridgeton W3 D2,President,,,Donald J. TRUMP - JD VANCE,90,23,0,0,21,46
Cumberland,Bridgeton W3 D3,President,,,Donald J. TRUMP - JD VANCE,71,20,0,0,15,36
Cumberland,Bridgeton W3 D4,President,,,Donald J. TRUMP - JD VANCE,111,30,0,0,19,62
Cumberland,Bridgeton W3 D5,President,,,Donald J. TRUMP - JD VANCE,84,28,0,0,6,50
Cumberland,Bridgeton W4 D1,President,,,Donald J. TRUMP - JD VANCE,144,47,0,0,21,76
Cumberland,Bridgeton W4 D2,President,,,Donald J. TRUMP - JD VANCE,118,47,0,0,25,46
Cumberland,Bridgeton W5 D1,President,,,Donald J. TRUMP - JD VANCE,102,31,0,0,12,59
Cumberland,Bridgeton Prov,President,,,Donald J. TRUMP - JD VANCE,38,0,38,0,0,0
Cumberland,Commercial 1,President,,,Donald J. TRUMP - JD VANCE,213,25,0,0,43,145
Cumberland,Commercial 2,President,,,Donald J. TRUMP - JD VANCE,288,76,0,0,33,179
Cumberland,Commercial 3,President,,,Donald J. TRUMP - JD VANCE,380,53,0,0,25,302
Cumberland,Commercial 4,President,,,Donald J. TRUMP - JD VANCE,283,48,0,0,41,194
Cumberland,Commercial Prov,President,,,Donald J. TRUMP - JD VANCE,27,0,27,0,0,0
Cumberland,Deerfield 1,President,,,Donald J. TRUMP - JD VANCE,922,278,0,0,136,508
Cumberland,Deerfield Prov,President,,,Donald J. TRUMP - JD VANCE,15,0,15,0,0,0
Cumberland,Downe 1,President,,,Donald J. TRUMP - JD VANCE,335,33,0,18,40,244
Cumberland,Downe 2,President,,,Donald J. TRUMP - JD VANCE,208,23,0,0,19,166
Cumberland,Downe Prov,President,,,Donald J. TRUMP - JD VANCE,10,0,10,0,0,0
Cumberland,Fairfield 1,President,,,Donald J. TRUMP - JD VANCE,207,51,0,0,33,123
Cumberland,Fairfield 2,President,,,Donald J. TRUMP - JD VANCE,71,15,0,2,13,41
Cumberland,Fairfield 3,President,,,Donald J. TRUMP - JD VANCE,351,110,0,0,70,171
Cumberland,Fairfield 4,President,,,Donald J. TRUMP - JD VANCE,47,6,0,0,9,32
Cumberland,Fairfield Prov,President,,,Donald J. TRUMP - JD VANCE,20,0,20,0,0,0
Cumberland,Greenwich 1,President,,,Donald J. TRUMP - JD VANCE,257,34,0,0,44,179
Cumberland,Greenwich Prov,President,,,Donald J. TRUMP - JD VANCE,7,0,7,0,0,0
Cumberland,Hopewell 1,President,,,Donald J. TRUMP - JD VANCE,482,138,0,0,64,280
Cumberland,Hopewell 2,President,,,Donald J. TRUMP - JD VANCE,424,109,0,0,72,243
Cumberland,Hopewell 3,President,,,Donald J. TRUMP - JD VANCE,477,138,0,0,70,269
Cumberland,Hopewell Prov,President,,,Donald J. TRUMP - JD VANCE,22,0,22,0,0,0
Cumberland,Lawrence 1,President,,,Donald J. TRUMP - JD VANCE,1077,259,0,0,153,665
Cumberland,Lawrence Prov,President,,,Donald J. TRUMP - JD VANCE,15,0,15,0,0,0
Cumberland,Maurice River 1,President,,,Donald J. TRUMP - JD VANCE,621,117,0,0,87,417
Cumberland,Maurice River 2,President,,,Donald J. TRUMP - JD VANCE,541,61,0,0,51,429
Cumberland,Maurice River Prov,President,,,Donald J. TRUMP - JD VANCE,21,0,21,0,0,0
Cumberland,Millville W1 D1,President,,,Donald J. TRUMP - JD VANCE,135,31,0,0,15,89
Cumberland,Millville W1 D2,President,,,Donald J. TRUMP - JD VANCE,249,66,0,0,52,131
Cumberland,Millville W1 D3,President,,,Donald J. TRUMP - JD VANCE,308,100,0,0,24,184
Cumberland,Millville W1 D4,President,,,Donald J. TRUMP - JD VANCE,626,236,0,0,85,305
Cumberland,Millville W2 D1,President,,,Donald J. TRUMP - JD VANCE,132,43,0,0,16,73
Cumberland,Millville W2 D2,President,,,Donald J. TRUMP - JD VANCE,149,45,0,0,21,83
