county,precinct,office,district,party,candidate,votes,early_voting,mail,provisional,election_day
Atlantic,Absecon W1 D1,President,,REP,Donald J. TRUMP,522,155,32,0,335
Atlantic,Absecon W1 D2,President,,REP,Donald J. TRUMP,476,163,42,5,266
Atlantic,Absecon W1 D3,President,,REP,Donald J. TRUMP,469,156,45,5,263
Atlantic,Absecon W2 D1,President,,REP,Donald J. TRUMP,410,97,36,9,268
Atlantic,Absecon W2 D2,President,,REP,Donald J. TRUMP,373,108,29,9,227
Atlantic,Absecon W2 D3,President,,REP,Donald J. TRUMP,503,148,43,2,310
Atlantic,Atlantic City W1 D1,President,,REP,Donald J. TRUMP,122,24,12,7,79
Atlantic,Atlantic City W1 D2,President,,REP,Donald J. TRUMP,98,25,10,5,58
Atlantic,Atlantic City W1 D3,President,,REP,Donald J. TRUMP,120,33,14,6,67
Atlantic,Atlantic City W1 D4,President,,REP,Donald J. TRUMP,45,11,4,3,27
Atlantic,Atlantic City W2 D1,President,,REP,Donald J. TRUMP,158,28,29,9,92
Atlantic,Atlantic City W2 D2,President,,REP,Donald J. TRUMP,91,8,11,12,60
Atlantic,Atlantic City W2 D3,President,,REP,Donald J. TRUMP,65,4,3,9,49
Atlantic,Atlantic City W3 D1,President,,REP,Donald J. TRUMP,53,12,5,5,31
Atlantic,Atlantic City W3 D2,President,,REP,Donald J. TRUMP,69,22,10,5,32
Atlantic,Atlantic City W3 D3,President,,REP,Donald J. TRUMP,29,8,2,2,17
Atlantic,Atlantic City W3 D4,President,,REP,Donald J. TRUMP,53,6,8,1,38
Atlantic,Atlantic City W4 D1,President,,REP,Donald J. TRUMP,189,46,22,24,97
Atlantic,Atlantic City W4 D2,President,,REP,Donald J. TRUMP,31,8,5,3,15
Atlantic,Atlantic City W4 D3,President,,REP,Donald J. TRUMP,80,19,7,2,52
Atlantic,Atlantic City W4 D4,President,,REP,Donald J. TRUMP,141,33,31,12,65
Atlantic,Atlantic City W6 D1,President,,REP,Donald J. TRUMP,284,66,36,17,165
Atlantic,Atlantic City W6 D2,President,,REP,Donald J. TRUMP,312,63,46,16,187
Atlantic,Atlantic City W6 D3,President,,REP,Donald J. TRUMP,181,33,19,10,119
Atlantic,Atlantic City W6 D4,President,,REP,Donald J. TRUMP,263,62,49,8,144
Atlantic,Brigantine Ward 01,President,,REP,Donald J. TRUMP,757,107,72,7,571
Atlantic,Brigantine Ward 02,President,,REP,Donald J. TRUMP,759,137,91,2,529
Atlantic,Brigantine Ward 03,President,,REP,Donald J. TRUMP,677,167,68,10,432
Atlantic,Brigantine Ward 04,President,,REP,Donald J. TRUMP,592,116,68,9,399
Atlantic,Buena Borough D01,President,,REP,Donald J. TRUMP,572,84,43,7,438
Atlantic,Buena Borough D02,President,,REP,Donald J. TRUMP,684,193,48,8,435
Atlantic,Buena Vista Township D01,President,,REP,Donald J. TRUMP,730,155,61,5,509
Atlantic,Buena Vista Township D02,President,,REP,Donald J. TRUMP,690,170,58,6,456
Atlantic,Buena Vista Township D03,President,,REP,Donald J. TRUMP,469,179,32,2,256
Atlantic,Buena Vista Township D04,President,,REP,Donald J. TRUMP,529,121,19,2,387
Atlantic,Corbin City,President,,REP,Donald J. TRUMP,228,35,10,2,181
Atlantic,Egg Harbor City W1 D1,President,,REP,Donald J. TRUMP,62,9,4,0,49
Atlantic,Egg Harbor City W1 D2,President,,REP,Donald J. TRUMP,131,22,8,1,100
Atlantic,Egg Harbor City W1 D3,President,,REP,Donald J. TRUMP,232,45,18,6,163
Atlantic,Egg Harbor City W2 D1,President,,REP,Donald J. TRUMP,152,16,18,2,116
Atlantic,Egg Harbor City W2 D2,President,,REP,Donald J. TRUMP,143,31,15,2,95
Atlantic,Egg Harbor City W2 D3,President,,REP,Donald J. TRUMP,153,28,13,2,110
Atlantic,Egg Harbor Township D01,President,,REP,Donald J. TRUMP,610,264,62,5,279
Atlantic,Egg Harbor Township D02,President,,REP,Donald J. TRUMP,542,181,41,3,317
Atlantic,Egg Harbor Township D03,President,,REP,Donald J. TRUMP,646,315,53,10,268
Atlantic,Egg Harbor Township D04,President,,REP,Donald J. TRUMP,737,267,56,5,409
Atlantic,Egg Harbor Township D05,President,,REP,Donald J. TRUMP,857,339,62,4,452
Atlantic,Egg Harbor Township D06,President,,REP,Donald J. TRUMP,571,211,36,9,315
Atlantic,Egg Harbor Township D07,President,,REP,Donald J. TRUMP,554,199,22,13,320
Atlantic,Egg Harbor Township D08,President,,REP,Donald J. TRUMP,444,115,26,11,292
Atlantic,Egg Harbor Township D09,President,,REP,Donald J. TRUMP,868,317,68,25,458
Atlantic,Egg Harbor Township D10,President,,REP,Donald J. TRUMP,540,189,42,15,294
Atlantic,Egg Harbor Township D11,President,,REP,Donald J. TRUMP,612,230,59,14,309
Atlantic,Egg Harbor Township D12,President,,REP,Donald J. TRUMP,292,92,34,7,159
Atlantic,Egg Harbor Township D13,President,,REP,Donald J. TRUMP,139,27,12,5,95
Atlantic,Egg Harbor Township D14,President,,REP,Donald J. TRUMP,118,20,5,4,89
Atlantic,Egg Harbor Township D15,President,,REP,Donald J. TRUMP,414,116,33,14,251
Atlantic,Egg Harbor Township D16,President,,REP,Donald J. TRUMP,348,91,21,7,229
Atlantic,Egg Harbor Township D17,President,,REP,Donald J. TRUMP,831,303,77,12,439
Atlantic,Egg Harbor Township D18,President,,REP,Donald J. TRUMP,717,244,55,9,409
Atlantic,Egg Harbor Township D19,President,,REP,Donald J. TRUMP,731,314,97,10,310
Atlantic,Egg Harbor Township D20,President,,REP,Donald J. TRUMP,550,160,43,10,337
Atlantic,Egg Harbor Township D21,President,,REP,Donald J. TRUMP,782,279,58,19,426
Atlantic,Egg Harbor Township D22,President,,REP,Donald J. TRUMP,521,199,34,12,276
Atlantic,Estell Manor,President,,REP,Donald J. TRUMP,780,144,67,8,561
Atlantic,Folsom,President,,REP,Donald J. TRUMP,649,125,44,5,475
Atlantic,Galloway Township D01,President,,REP,Donald J. TRUMP,726,307,45,12,362
Atlantic,Galloway Township D02,President,,REP,Donald J. TRUMP,853,285,81,11,476
Atlantic,Galloway Township D03,President,,REP,Donald J. TRUMP,744,405,44,11,284
Atlantic,Galloway Township D04,President,,REP,Donald J. TRUMP,518,107,51,5,355
Atlantic,Galloway Township D05,President,,REP,Donald J. TRUMP,476,191,52,9,224
Atlantic,Galloway Township D06,President,,REP,Donald J. TRUMP,599,233,41,16,309
Atlantic,Galloway Township D07,President,,REP,Donald J. TRUMP,329,152,27,3,147
Atlantic,Galloway Township D08,President,,REP,Donald J. TRUMP,616,214,24,6,372
Atlantic,Galloway Township D09,President,,REP,Donald J. TRUMP,639,289,63,7,280
Atlantic,Galloway Township D10,President,,REP,Donald J. TRUMP,266,78,28,12,148
Atlantic,Galloway Township D11,President,,REP,Donald J. TRUMP,338,109,18,14,197
Atlantic,Galloway Township D12,President,,REP,Donald J. TRUMP,714,298,49,12,355
Atlantic,Galloway Township D13,President,,REP,Donald J. TRUMP,437,218,54,3,162
Atlantic,Galloway Township D14,President,,REP,Donald J. TRUMP,649,315,67,4,263
Atlantic,Galloway Township D15,President,,REP,Donald J. TRUMP,574,183,38,13,340
Atlantic,Galloway Township D16,President,,REP,Donald J. TRUMP,624,264,31,25,304
Atlantic,Galloway Township D17,President,,REP,Donald J. TRUMP,686,309,95,13,269
Atlantic,Hamilton Township D01,President,,REP,Donald J. TRUMP,449,191,30,6,222
Atlantic,Hamilton Township D02,President,,REP,Donald J. TRUMP,690,162,37,3,488
Atlantic,Hamilton Township D03,President,,REP,Donald J. TRUMP,429,112,27,6,284
Atlantic,Hamilton Township D04,President,,REP,Donald J. TRUMP,290,99,20,6,165
Atlantic,Hamilton Township D05,President,,REP,Donald J. TRUMP,421,118,30,1,272
Atlantic,Hamilton Township D06,President,,REP,Donald J. TRUMP,625,159,19,4,443
Atlantic,Hamilton Township D07,President,,REP,Donald J. TRUMP,622,224,59,4,335
Atlantic,Hamilton Township D08,President,,REP,Donald J. TRUMP,562,197,44,3,318
Atlantic,Hamilton Township D09,President,,REP,Donald J. TRUMP,684,227,59,8,390
Atlantic,Hamilton Township D10,President,,REP,Donald J. TRUMP,556,159,64,10,323
Atlantic,Hamilton Township D11,President,,REP,Donald J. TRUMP,358,151,41,8,158
Atlantic,Hamilton Township D12,President,,REP,Donald J. TRUMP,489,240,51,5,193
Atlantic,Hamilton Township D13,President,,REP,Donald J. TRUMP,623,179,33,16,395
Atlantic,Hammonton D01,President,,REP,Donald J. TRUMP,892,314,88,7,483
Atlantic,Hammonton D02,President,,REP,Donald J. TRUMP,590,201,44,10,335
Atlantic,Hammonton D03,President,,REP,Donald J. TRUMP,740,249,82,11,398
Atlantic,Hammonton D04,President,,REP,Donald J. TRUMP,548,147,37,6,358
Atlantic,Hammonton D05,President,,REP,Donald J. TRUMP,703,272,72,13,346
Atlantic,Hammonton D06,President,,REP,Donald J. TRUMP,519,179,56,13,271
Atlantic,Hammonton D07,President,,REP,Donald J. TRUMP,705,297,79,5,324
Atlantic,Linwood W1 D1,President,,REP,Donald J. TRUMP,643,211,83,9,340
Atlantic,Linwood W1 D2,President,,REP,Donald J. TRUMP,479,125,47,3,304
Atlantic,Linwood W2 D1,President,,REP,Donald J. TRUMP,476,142,35,6,293
Atlantic,Linwood W2 D2,President,,REP,Donald J. TRUMP,363,147,25,2,189
Atlantic,Linwood W2 D3,President,,REP,Donald J. TRUMP,365,131,28,4,202
Atlantic,Longport,President,,REP,Donald J. TRUMP,330,74,53,0,203
Atlantic,Margate D01,President,,REP,Donald J. TRUMP,524,118,70,10,326
Atlantic,Margate D02,President,,REP,Donald J. TRUMP,560,134,84,6,336
Atlantic,Margate D03,President,,REP,Donald J. TRUMP,441,108,79,2,252
Atlantic,Margate D04,President,,REP,Donald J. TRUMP,301,96,37,4,164
Atlantic,Mullica Township D1,President,,REP,Donald J. TRUMP,467,83,29,9,346
Atlantic,Mullica Township D2,President,,REP,Donald J. TRUMP,722,157,52,6,507
Atlantic,Mullica Township D3,President,,REP,Donald J. TRUMP,893,219,64,1,609
Atlantic,Northfield W1 D1,President,,REP,Donald J. TRUMP,289,121,28,4,136
Atlantic,Northfield W1 D2,President,,REP,Donald J. TRUMP,332,132,28,4,168
Atlantic,Northfield W1 D3,President,,REP,Donald J. TRUMP,331,118,47,5,161
Atlantic,Northfield W1 D4,President,,REP,Donald J. TRUMP,299,104,25,4,166
Atlantic,Northfield W2 D1,President,,REP,Donald J. TRUMP,246,81,21,4,140
Atlantic,Northfield W2 D2,President,,REP,Donald J. TRUMP,326,102,30,1,193
Atlantic,Northfield W2 D3,President,,REP,Donald J. TRUMP,488,182,62,10,234
Atlantic,Northfield W2 D4,President,,REP,Donald J. TRUMP,340,84,27,9,220
Atlantic,Pleasantville W1 D1,President,,REP,Donald J. TRUMP,254,53,24,7,170
Atlantic,Pleasantville W1 D2,President,,REP,Donald J. TRUMP,145,22,12,9,102
Atlantic,Pleasantville W1 D3,President,,REP,Donald J. TRUMP,159,26,17,17,99
Atlantic,Pleasantville W1 D4,President,,REP,Donald J. TRUMP,161,31,21,6,103
Atlantic,Pleasantville W2 D1,President,,REP,Donald J. TRUMP,114,21,9,6,78
Atlantic,Pleasantville W2 D2,President,,REP,Donald J. TRUMP,127,28,14,10,75
Atlantic,Pleasantville W2 D3,President,,REP,Donald J. TRUMP,157,44,9,9,95
Atlantic,Pleasantville W2 D4,President,,REP,Donald J. TRUMP,156,45,11,5,95
Atlantic,Port Republic Ward 1,President,,REP,Donald J. TRUMP,208,35,15,4,154
Atlantic,Port Republic Ward 2,President,,REP,Donald J. TRUMP,271,48,13,2,208
Atlantic,Somers Point W1 D1,President,,REP,Donald J. TRUMP,449,110,32,4,303
Atlantic,Somers Point W1 D2,President,,REP,Donald J. TRUMP,407,103,31,3,270
Atlantic,Somers Point W1 D3,President,,REP,Donald J. TRUMP,218,55,5,2,156
Atlantic,Somers Point W1 D4,President,,REP,Donald J. TRUMP,422,113,31,4,274
Atlantic,Somers Point W2 D1,President,,REP,Donald J. TRUMP,258,51,37,1,169
Atlantic,Somers Point W2 D2,President,,REP,Donald J. TRUMP,233,41,18,2,172
Atlantic,Somers Point W2 D3,President,,REP,Donald J. TRUMP,283,61,14,2,206
Atlantic,Somers Point W2 D4,President,,REP,Donald J. TRUMP,422,85,40,6,291
Atlantic,Ventnor D01,President,,REP,Donald J. TRUMP,417,114,43,14,246
Atlantic,Ventnor D02,President,,REP,Donald J. TRUMP,404,78,41,8,277
Atlantic,Ventnor D03,President,,REP,Donald J. TRUMP,451,109,53,6,283
Atlantic,Ventnor D04,President,,REP,Donald J. TRUMP,537,94,38,7,398
Atlantic,Ventnor D05,President,,REP,Donald J. TRUMP,556,111,60,11,374
Atlantic,Weymouth D01,President,,REP,Donald J. TRUMP,442,82,24,4,332
Atlantic,Weymouth D02,President,,REP,Donald J. TRUMP,590,218,64,6,302
Atlantic,Atlantic City W5 D1,President,,REP,Donald J. TRUMP,288,94,78,17,99
Atlantic,Atlantic City W5 D2,President,,REP,Donald J. TRUMP,434,147,133,31,123
Atlantic,Absecon W1 D1,President,,DEM,Kamala D. HARRIS,354,109,55,2,188
Atlantic,Absecon W1 D2,President,,DEM,Kamala D. HARRIS,517,157,117,11,232
Atlantic,Absecon W1 D3,President,,DEM,Kamala D. HARRIS,251,78,48,2,123
Atlantic,Absecon W2 D1,President,,DEM,Kamala D. HARRIS,317,70,68,7,172
Atlantic,Absecon W2 D2,President,,DEM,Kamala D. HARRIS,453,111,77,20,245
Atlantic,Absecon W2 D3,President,,DEM,Kamala D. HARRIS,356,94,75,1,186
Atlantic,Atlantic City W1 D1,President,,DEM,Kamala D. HARRIS,513,100,126,18,269
Atlantic,Atlantic City W1 D2,President,,DEM,Kamala D. HARRIS,324,56,61,14,193
Atlantic,Atlantic City W1 D3,President,,DEM,Kamala D. HARRIS,479,87,73,22,297
Atlantic,Atlantic City W1 D4,President,,DEM,Kamala D. HARRIS,261,49,60,10,142
Atlantic,Atlantic City W2 D1,President,,DEM,Kamala D. HARRIS,284,35,52,26,171
Atlantic,Atlantic City W2 D2,President,,DEM,Kamala D. HARRIS,577,62,107,42,366
Atlantic,Atlantic City W2 D3,President,,DEM,Kamala D. HARRIS,290,22,29,41,198
Atlantic,Atlantic City W3 D1,President,,DEM,Kamala D. HARRIS,461,74,88,26,273
Atlantic,Atlantic City W3 D2,President,,DEM,Kamala D. HARRIS,155,35,26,11,83
Atlantic,Atlantic City W3 D3,President,,DEM,Kamala D. HARRIS,235,44,36,16,139
Atlantic,Atlantic City W3 D4,President,,DEM,Kamala D. HARRIS,498,65,119,38,276
Atlantic,Atlantic City W4 D1,President,,DEM,Kamala D. HARRIS,278,35,71,30,142
Atlantic,Atlantic City W4 D2,President,,DEM,Kamala D. HARRIS,241,23,30,13,175
Atlantic,Atlantic City W4 D3,President,,DEM,Kamala D. HARRIS,354,44,41,11,258
