county,precinct,office,district,party,candidate,early_voting,election_day,mail,provisional,overseas,votes,
Union,Berkeley Heights District 1,President,,DEM,DEM Kamala D. HARRIS,175,149,193,protected,protected,528,
Union,Berkeley Heights District 2,President,,DEM,DEM Kamala D. HARRIS,127,188,123,protected,protected,447,
Union,Berkeley Heights District 3,President,,DEM,DEM Kamala D. HARRIS,88,160,101,protected,protected,358,
Union,Berkeley Heights District 4,President,,DEM,DEM Kamala D. HARRIS,110,106,119,protected,protected,341,
Union,Berkeley Heights District 5,President,,DEM,DEM Kamala D. HARRIS,90,142,122,protected,protected,365,
Union,Berkeley Heights District 6,President,,DEM,DEM Kamala D. HARRIS,94,136,107,protected,protected,349,
Union,Berkeley Heights District 7,President,,DEM,DEM Kamala D. HARRIS,207,186,202,protected,protected,610,
Union,Berkeley Heights District 8,President,,DEM,DEM Kamala D. HARRIS,209,133,232,protected,protected,596,
Union,Berkeley Heights District 9,President,,DEM,DEM Kamala D. HARRIS,142,128,107,protected,protected,387,
Union,Berkeley Heights District 10,President,,DEM,DEM Kamala D. HARRIS,87,104,127,protected,protected,325,
Union,Berkeley Heights District 11,President,,DEM,DEM Kamala D. HARRIS,83,61,75,protected,protected,225,
Union,BH Provisional Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,0,
Union,BH Overseas Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,28,
Union,Clark Ward 1 District 1,President,,DEM,DEM Kamala D. HARRIS,41,102,35,protected,protected,181,
Union,Clark Ward 1 District 2,President,,DEM,DEM Kamala D. HARRIS,58,117,61,protected,protected,244,
Union,Clark Ward 1 District 3,President,,DEM,DEM Kamala D. HARRIS,58,102,78,protected,protected,243,
Union,Clark Ward 1 District 4,President,,DEM,DEM Kamala D. HARRIS,27,65,34,protected,protected,127,
Union,CL W1 Provisional Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,0,
Union,CL W1 Overseas Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,4,
Union,Clark Ward 2 District 1,President,,DEM,DEM Kamala D. HARRIS,41,125,68,protected,protected,243,
Union,Clark Ward 2 District 2,President,,DEM,DEM Kamala D. HARRIS,80,111,139,protected,protected,333,
Union,Clark Ward 2 District 3,President,,DEM,DEM Kamala D. HARRIS,37,107,43,protected,protected,189,
Union,Clark Ward 2 District 4,President,,DEM,DEM Kamala D. HARRIS,31,86,32,protected,protected,150,
Union,CL W2 Provisional Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,0,
Union,CL W2 Overseas Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,1,
Union,Clark Ward 3 District 1,President,,DEM,DEM Kamala D. HARRIS,54,68,56,protected,protected,182,
Union,Clark Ward 3 District 2,President,,DEM,DEM Kamala D. HARRIS,74,157,84,protected,protected,320,
Union,Clark Ward 3 District 3,President,,DEM,DEM Kamala D. HARRIS,25,80,55,protected,protected,165,
Union,Clark Ward 3 District 4,President,,DEM,DEM Kamala D. HARRIS,59,72,45,protected,protected,180,
Union,CL W3 Provisional Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,0,
Union,CL W3 Overseas Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,3,
Union,Clark Ward 4 District 1,President,,DEM,DEM Kamala D. HARRIS,40,96,60,protected,protected,197,
Union,Clark Ward 4 District 2,President,,DEM,DEM Kamala D. HARRIS,46,89,46,protected,protected,182,
Union,Clark Ward 4 District 3,President,,DEM,DEM Kamala D. HARRIS,40,114,45,protected,protected,201,
Union,Clark Ward 4 District 4,President,,DEM,DEM Kamala D. HARRIS,40,134,53,protected,protected,235,
Union,CL W4 Provisional Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,0,
Union,CL W4 Overseas Ballots,President,,DEM,DEM Kamala D. HARRIS,0,0,0,protected,protected,5,
Union,Cranford District 1,President,,DEM,DEM Kamala D. HARRIS,171,218,140,protected,protected,542,
Union,Cranford District 2,President,,DEM,DEM Kamala D. HARRIS,50,84,42,protected,protected,180,
Union,Cranford District 3,President,,DEM,DEM Kamala D. HARRIS,101,118,75,protected,protected,299,
Union,Cranford District 4,President,,DEM,DEM Kamala D. HARRIS,63,114,32,protected,protected,210,
Union,Cranford District 5,President,,DEM,DEM Kamala D. HARRIS,80,146,80,protected,protected,308,
Union,Cranford District 6,President,,DEM,DEM Kamala D. HARRIS,71,112,54,protected,protected,240,
Union,Cranford District 7,President,,DEM,DEM Kamala D. HARRIS,149,98,98,protected,protected,351,
Union,Cranford District 8,President,,DEM,DEM Kamala D. HARRIS,73,162,46,protected,protected,286,
Union,Cranford District 9,President,,DEM,DEM Kamala D. HARRIS,90,150,72,protected,protected,318,
Union,Cranford District 10,President,,DEM,DEM Kamala D. HARRIS,67,122,59,protected,protected,254,
Union,Cranford District 11,President,,DEM,DEM Kamala D. HARRIS,35,113,59,protected,protected,212,
Union,Cranford District 12,President,,DEM,DEM Kamala D. HARRIS,81,125,75,protected,protected,283,
Union,Cranford District 13,President,,DEM,DEM Kamala D. HARRIS,71,140,78,protected,protected,296,
Union,Cranford District 14,President,,DEM,DEM Kamala D. HARRIS,65,116,47,protected,protected,230,
Union,Cranford District 15,President,,DEM,DEM Kamala D. HARRIS,114,141,50,protected,protected,316,
Union,Cranford District 16,President,,DEM,DEM Kamala D. HARRIS,89,97,53,protected,protected,245,
Union,Cranford District 17,President,,DEM,DEM Kamala D. HARRIS,79,79,52,protected,protected,211,
Union,Cranford District 18,President,,DEM,DEM Kamala D. HARRIS,86,85,54,protected,protected,229,
Union,Cranford District 19,President,,DEM,DEM Kamala D. HARRIS,100,60,45,protected,protected,210,
Union,Cranford District 20,President,,DEM,DEM Kamala D. HARRIS,100,126,68,protected,protected,301,
Union,Cranford District 21,President,,DEM,DEM Kamala D. HARRIS,112,175,58,protected,protected,352,
Union,Cranford District 22,President,,DEM,DEM Kamala D. HARRIS,110,119,58,protected,protected,288,
Union,Cranford District 23,President,,DEM,DEM Kamala D. HARRIS,100,132,57,protected,protected,301,
Union,Cranford District 24,President,,DEM,DEM Kamala D. HARRIS,84,101,54,protected,protected,242,
Union,Cranford District 25,President,,DEM,DEM Kamala D. HARRIS,66,85,42,protected,protected,195,
Union,Cranford District 26,President,,DEM,DEM Kamala D. HARRIS,115,126,95,protected,protected,345,
Union,Cranford District 27,President,,DEM,DEM Kamala D. HARRIS,57,141,85,protected,protected,291,
Union,Cranford District 28,President,,DEM,DEM Kamala D. HARRIS,95,119,34,protected,protected,250,
Union,Cranford District 29,President,,DEM,DEM Kamala D. HARRIS,40,158,79,protected,protected,280,
