county,precinct,office,district,party,candidate,votes,early_voting,election_day_icp,election_day_icx,mail,provisional
Burlington,Bass River Township Election District 1,President,,REP,Donald J. Trump and JD Vance,601,77,494,0,30,0
Burlington,Beverly City Election District 1,President,,REP,Donald J. Trump and JD Vance,170,31,129,0,10,0
Burlington,Beverly City Election District 2,President,,REP,Donald J. Trump and JD Vance,76,4,69,0,3,0
Burlington,Beverly City Election District 3,President,,REP,Donald J. Trump and JD Vance,97,20,70,0,7,0
Burlington,Bordentown City Election District: Ward 1 - District 1,President,,REP,Donald J. Trump and JD Vance,81,20,51,0,10,0
Burlington,Bordentown City Election District: Ward 1 - District 2,President,,REP,Donald J. Trump and JD Vance,119,28,77,0,14,0
Burlington,Bordentown City Election District: Ward 2 - District 1,President,,REP,Donald J. Trump and JD Vance,79,13,61,0,5,0
Burlington,Bordentown City Election District: Ward 2 - District 2,President,,REP,Donald J. Trump and JD Vance,110,27,74,0,9,0
Burlington,Bordentown City Election District: Ward 3 - District 1,President,,REP,Donald J. Trump and JD Vance,109,17,67,0,25,0
Burlington,Bordentown City Election District: Ward 3 - District 2,President,,REP,Donald J. Trump and JD Vance,100,24,62,0,14,0
Burlington,Bordentown Township Election District 1,President,,REP,Donald J. Trump and JD Vance,449,135,260,0,54,0
Burlington,Bordentown Township Election District 2,President,,REP,Donald J. Trump and JD Vance,297,70,204,0,23,0
Burlington,Bordentown Township Election District 3,President,,REP,Donald J. Trump and JD Vance,277,60,187,0,30,0
Burlington,Bordentown Township Election District 4,President,,REP,Donald J. Trump and JD Vance,200,59,119,0,22,0
Burlington,Bordentown Township Election District 5,President,,REP,Donald J. Trump and JD Vance,197,71,104,0,22,0
Burlington,Bordentown Township Election District 6,President,,REP,Donald J. Trump and JD Vance,398,100,250,0,48,0
Burlington,Bordentown Township Election District 7,President,,REP,Donald J. Trump and JD Vance,223,82,125,0,16,0
Burlington,Bordentown Township Election District 8,President,,REP,Donald J. Trump and JD Vance,534,198,277,0,59,0
Burlington,Burlington City Election District: Ward 1 - District 1,President,,REP,Donald J. Trump and JD Vance,70,9,56,0,5,0
Burlington,Burlington City Election District: Ward 1 - District 2,President,,REP,Donald J. Trump and JD Vance,106,13,84,0,9,0
Burlington,Burlington City Election District: Ward 2 - District 1,President,,REP,Donald J. Trump and JD Vance,74,18,47,0,9,0
Burlington,Burlington City Election District: Ward 2 - District 2,President,,REP,Donald J. Trump and JD Vance,105,15,78,0,12,0
Burlington,Burlington City Election District: Ward 2 - District 3,President,,REP,Donald J. Trump and JD Vance,128,20,96,0,12,0
Burlington,Burlington City Election District: Ward 3 - District 1,President,,REP,Donald J. Trump and JD Vance,125,8,105,0,12,0
Burlington,Burlington City Election District: Ward 3 - District 2,President,,REP,Donald J. Trump and JD Vance,172,16,137,0,19,0
Burlington,Burlington City Election District: Ward 3 - District 3,President,,REP,Donald J. Trump and JD Vance,95,20,62,0,13,0
Burlington,Burlington City Election District: Ward 4 - District 1,President,,REP,Donald J. Trump and JD Vance,132,26,91,0,15,0
Burlington,Burlington City Election District: Ward 4 - District 2,President,,REP,Donald J. Trump and JD Vance,63,12,47,0,4,0
Burlington,Burlington City Election District: Ward 4 - District 3,President,,REP,Donald J. Trump and JD Vance,184,38,126,0,20,0
Burlington,Burlington Township Election District 1,President,,REP,Donald J. Trump and JD Vance,140,25,99,0,16,0
Burlington,Burlington Township Election District 2,President,,REP,Donald J. Trump and JD Vance,257,51,185,0,21,0
Burlington,Burlington Township Election District 3,President,,REP,Donald J. Trump and JD Vance,161,53,92,0,16,0
Burlington,Burlington Township Election District 4,President,,REP,Donald J. Trump and JD Vance,147,39,95,0,13,0
Burlington,Burlington Township Election District 5,President,,REP,Donald J. Trump and JD Vance,151,30,108,0,13,0
Burlington,Burlington Township Election District 6,President,,REP,Donald J. Trump and JD Vance,101,21,64,0,16,0
Burlington,Burlington Township Election District 7,President,,REP,Donald J. Trump and JD Vance,209,49,128,0,32,0
Burlington,Burlington Township Election District 8,President,,REP,Donald J. Trump and JD Vance,218,27,145,0,46,0
Burlington,Burlington Township Election District 9,President,,REP,Donald J. Trump and JD Vance,186,29,106,0,51,0
Burlington,Burlington Township Election District 10,President,,REP,Donald J. Trump and JD Vance,197,52,127,0,18,0
Burlington,Burlington Township Election District 11,President,,REP,Donald J. Trump and JD Vance,74,7,56,0,11,0
Burlington,Burlington Township Election District 12,President,,REP,Donald J. Trump and JD Vance,83,14,62,0,7,0
Burlington,Burlington Township Election District 13,President,,REP,Donald J. Trump and JD Vance,326,64,215,0,47,0
Burlington,Burlington Township Election District 14,President,,REP,Donald J. Trump and JD Vance,224,63,138,0,23,0
