county,municipality,office,district,party,candidate,votes
Salem,Alloway,U.S. House,2,Republican,Frank A. LoBiondo,792
Salem,Carneys Point,U.S. House,2,Republican,Frank A. LoBiondo,1209
Salem,Elmer,U.S. House,2,Republican,Frank A. LoBiondo,290
Salem,Elsinboro,U.S. House,2,Republican,Frank A. LoBiondo,314
Salem,Lower Alloways Creek,U.S. House,2,Republican,Frank A. LoBiondo,556
Salem,Mannington,U.S. House,2,Republican,Frank A. LoBiondo,325
Salem,Oldmans,U.S. House,2,Republican,Frank A. LoBiondo,406
Salem,Penns Grove,U.S. House,2,Republican,Frank A. LoBiondo,235
Salem,Pennsville,U.S. House,2,Republican,Frank A. LoBiondo,2625
Salem,Pilesgrove,U.S. House,2,Republican,Frank A. LoBiondo,1103
Salem,Pittsgrove,U.S. House,2,Republican,Frank A. LoBiondo,1670
Salem,Quinton,U.S. House,2,Republican,Frank A. LoBiondo,539
Salem,Salem Eastward,U.S. House,2,Republican,Frank A. LoBiondo,153
Salem,Salem Westward,U.S. House,2,Republican,Frank A. LoBiondo,161
Salem,Upper Pittsgrove,U.S. House,2,Republican,Frank A. LoBiondo,908
Salem,Woodstown,U.S. House,2,Republican,Frank A. LoBiondo,686
Salem,Total,U.S. House,2,Republican,Frank A. LoBiondo,11972
Salem,Alloway,U.S. House,2,Democratic,William J. Hughes Jr.,250
Salem,Carneys Point,U.S. House,2,Democratic,William J. Hughes Jr.,848
Salem,Elmer,U.S. House,2,Democratic,William J. Hughes Jr.,94
Salem,Elsinboro,U.S. House,2,Democratic,William J. Hughes Jr.,107
Salem,Lower Alloways Creek,U.S. House,2,Democratic,William J. Hughes Jr.,179
Salem,Mannington,U.S. House,2,Democratic,William J. Hughes Jr.,134
Salem,Oldmans,U.S. House,2,Democratic,William J. Hughes Jr.,178
Salem,Penns Grove,U.S. House,2,Democratic,William J. Hughes Jr.,476
Salem,Pennsville,U.S. House,2,Democratic,William J. Hughes Jr.,1025
Salem,Pilesgrove,U.S. House,2,Democratic,William J. Hughes Jr.,403
Salem,Pittsgrove,U.S. House,2,Democratic,William J. Hughes Jr.,768
Salem,Quinton,U.S. House,2,Democratic,William J. Hughes Jr.,220
Salem,Salem Eastward,U.S. House,2,Democratic,William J. Hughes Jr.,355
Salem,Salem Westward,U.S. House,2,Democratic,William J. Hughes Jr.,291
Salem,Upper Pittsgrove,U.S. House,2,Democratic,William J. Hughes Jr.,219
Salem,Woodstown,U.S. House,2,Democratic,William J. Hughes Jr.,394
Salem,Total,U.S. House,2,Democratic,William J. Hughes Jr.,5941
Salem,Alloway,U.S. House,2,D-R Party,Alexander H. Spano,1
Salem,Carneys Point,U.S. House,2,D-R Party,Alexander H. Spano,2
Salem,Elmer,U.S. House,2,D-R Party,Alexander H. Spano,1
Salem,Elsinboro,U.S. House,2,D-R Party,Alexander H. Spano,1
Salem,Lower Alloways Creek,U.S. House,2,D-R Party,Alexander H. Spano,1
Salem,Mannington,U.S. House,2,D-R Party,Alexander H. Spano,0
Salem,Oldmans,U.S. House,2,D-R Party,Alexander H. Spano,0
Salem,Penns Grove,U.S. House,2,D-R Party,Alexander H. Spano,4
