county,municipality,office,district,party,candidate,votes
Morris,Chester Boro,U.S. House,7,Republican,Leonard Lance,324
Morris,Chester Twp,U.S. House,7,Republican,Leonard Lance,1560
Morris,Dover,U.S. House,7,Republican,Leonard Lance,602
Morris,Long Hill Twp,U.S. House,7,Republican,Leonard Lance,1436
Morris,Mine Hill Twp,U.S. House,7,Republican,Leonard Lance,444
Morris,Mount Arlington,U.S. House,7,Republican,Leonard Lance,842
Morris,Mount Olive Twp,U.S. House,7,Republican,Leonard Lance,2867
Morris,Netcong,U.S. House,7,Republican,Leonard Lance,354
Morris,Roxbury Twp,U.S. House,7,Republican,Leonard Lance,3329
Morris,Washington Twp,U.S. House,7,Republican,Leonard Lance,3282
Morris,Wharton Boro,U.S. House,7,Republican,Leonard Lance,658
Morris,Federal Overseas,U.S. House,7,Republican,Leonard Lance,0
Morris,Total,U.S. House,7,Republican,Leonard Lance,15698
Morris,Chester Boro,U.S. House,7,Democratic,Janice Kovach,138
Morris,Chester Twp,U.S. House,7,Democratic,Janice Kovach,551
Morris,Dover,U.S. House,7,Democratic,Janice Kovach,990
Morris,Long Hill Twp,U.S. House,7,Democratic,Janice Kovach,799
Morris,Mine Hill Twp,U.S. House,7,Democratic,Janice Kovach,313
Morris,Mount Arlington,U.S. House,7,Democratic,Janice Kovach,438
Morris,Mount Olive Twp,U.S. House,7,Democratic,Janice Kovach,1697
Morris,Netcong,U.S. House,7,Democratic,Janice Kovach,170
Morris,Roxbury Twp,U.S. House,7,Democratic,Janice Kovach,1727
Morris,Washington Twp,U.S. House,7,Democratic,Janice Kovach,1517
Morris,Wharton Boro,U.S. House,7,Democratic,Janice Kovach,499
Morris,Federal Overseas,U.S. House,7,Democratic,Janice Kovach,4
Morris,Total,U.S. House,7,Democratic,Janice Kovach,8843
Morris,Chester Boro,U.S. House,7,Libertarian Party,James Gawron,7
Morris,Chester Twp,U.S. House,7,Libertarian Party,James Gawron,35
Morris,Dover,U.S. House,7,Libertarian Party,James Gawron,27
Morris,Long Hill Twp,U.S. House,7,Libertarian Party,James Gawron,30
Morris,Mine Hill Twp,U.S. House,7,Libertarian Party,James Gawron,14
Morris,Mount Arlington,U.S. House,7,Libertarian Party,James Gawron,20
Morris,Mount Olive Twp,U.S. House,7,Libertarian Party,James Gawron,94
Morris,Netcong,U.S. House,7,Libertarian Party,James Gawron,9
Morris,Roxbury Twp,U.S. House,7,Libertarian Party,James Gawron,83
Morris,Washington Twp,U.S. House,7,Libertarian Party,James Gawron,87
Morris,Wharton Boro,U.S. House,7,Libertarian Party,James Gawron,16
Morris,Federal Overseas,U.S. House,7,Libertarian Party,James Gawron,0
Morris,Total,U.S. House,7,Libertarian Party,James Gawron,422
Morris,Boonton Town of,U.S. House,11,Republican,Rodney P. Frelinghuyen,1148
Morris,Boonton Twp,U.S. House,11,Republican,Rodney P. Frelinghuyen,867
