county,municipality,office,district,party,candidate,votes
Somerset,Bedminster,U.S. House,7,Republican,Leonard Lance,1435
Somerset,Bernards,U.S. House,7,Republican,Leonard Lance,5039
Somerset,Bemardsville,U.S. House,7,Republican,Leonard Lance,1708
Somerset,Branchburg,U.S. House,7,Republican,Leonard Lance,2428
Somerset,Bridgewater,U.S. House,7,Republican,Leonard Lance,6390
Somerset,Far Hills,U.S. House,7,Republican,Leonard Lance,236
Somerset,Greenbrook,U.S. House,7,Republican,Leonard Lance,925
Somerset,Hillsborough,U.S. House,7,Republican,Leonard Lance,5388
Somerset,Millstone,U.S. House,7,Republican,Leonard Lance,76
Somerset,Montgomery,U.S. House,7,Republican,Leonard Lance,2873
Somerset,North Plainfield,U.S. House,7,Republican,Leonard Lance,1066
Somerset,Peapack-Gladstone,U.S. House,7,Republican,Leonard Lance,497
Somerset,Raritan,U.S. House,7,Republican,Leonard Lance,815
Somerset,Rocky Hill,U.S. House,7,Republican,Leonard Lance,114
Somerset,Somerville,U.S. House,7,Republican,Leonard Lance,1149
Somerset,Warren,U.S. House,7,Republican,Leonard Lance,2536
Somerset,Watchung,U.S. House,7,Republican,Leonard Lance,1018
Somerset,Total,U.S. House,7,Republican,Leonard Lance,33693
Somerset,Bedminster,U.S. House,7,Democratic,Janice Kovach,863
Somerset,Bernards,U.S. House,7,Democratic,Janice Kovach,2493
Somerset,Bemardsville,U.S. House,7,Democratic,Janice Kovach,794
Somerset,Branchburg,U.S. House,7,Democratic,Janice Kovach,1146
Somerset,Bridgewater,U.S. House,7,Democratic,Janice Kovach,3960
Somerset,Far Hills,U.S. House,7,Democratic,Janice Kovach,66
Somerset,Greenbrook,U.S. House,7,Democratic,Janice Kovach,595
Somerset,Hillsborough,U.S. House,7,Democratic,Janice Kovach,3703
Somerset,Millstone,U.S. House,7,Democratic,Janice Kovach,49
Somerset,Montgomery,U.S. House,7,Democratic,Janice Kovach,2616
Somerset,North Plainfield,U.S. House,7,Democratic,Janice Kovach,1952
Somerset,Peapack-Gladstone,U.S. House,7,Democratic,Janice Kovach,209
Somerset,Raritan,U.S. House,7,Democratic,Janice Kovach,611
Somerset,Rocky Hill,U.S. House,7,Democratic,Janice Kovach,172
Somerset,Somerville,U.S. House,7,Democratic,Janice Kovach,1373
Somerset,Warren,U.S. House,7,Democratic,Janice Kovach,1100
Somerset,Watchung,U.S. House,7,Democratic,Janice Kovach,539
Somerset,Total,U.S. House,7,Democratic,Janice Kovach,22241
Somerset,Bedminster,U.S. House,7,Libertarian Party,James Gawron,27
Somerset,Bernards,U.S. House,7,Libertarian Party,James Gawron,90
Somerset,Bemardsville,U.S. House,7,Libertarian Party,James Gawron,27
Somerset,Branchburg,U.S. House,7,Libertarian Party,James Gawron,60
Somerset,Bridgewater,U.S. House,7,Libertarian Party,James Gawron,161
Somerset,Far Hills,U.S. House,7,Libertarian Party,James Gawron,9
Somerset,Greenbrook,U.S. House,7,Libertarian Party,James Gawron,18
Somerset,Hillsborough,U.S. House,7,Libertarian Party,James Gawron,156
Somerset,Millstone,U.S. House,7,Libertarian Party,James Gawron,4
Somerset,Montgomery,U.S. House,7,Libertarian Party,James Gawron,74
Somerset,North Plainfield,U.S. House,7,Libertarian Party,James Gawron,41
Somerset,Peapack-Gladstone,U.S. House,7,Libertarian Party,James Gawron,10
Somerset,Raritan,U.S. House,7,Libertarian Party,James Gawron,20
Somerset,Rocky Hill,U.S. House,7,Libertarian Party,James Gawron,4
Somerset,Somerville,U.S. House,7,Libertarian Party,James Gawron,45
