county,municipality,office,district,party,candidate,votes
Gloucester,Deptford,U.S. House,1,Democratic,Donald W. Norcross,3924
Gloucester,East Greenwich,U.S. House,1,Democratic,Donald W. Norcross,970
Gloucester,Glassboro,U.S. House,1,Democratic,Donald W. Norcross,2044
Gloucester,Greenwich,U.S. House,1,Democratic,Donald W. Norcross,916
Gloucester,Logan,U.S. House,1,Democratic,Donald W. Norcross,766
Gloucester,Monroe,U.S. House,1,Democratic,Donald W. Norcross,4604
Gloucester,National Park,U.S. House,1,Democratic,Donald W. Norcross,365
Gloucester,Paulsboro,U.S. House,1,Democratic,Donald W. Norcross,875
Gloucester,Washington,U.S. House,1,Democratic,Donald W. Norcross,5472
Gloucester,Wenonah,U.S. House,1,Democratic,Donald W. Norcross,404
Gloucester,West Deptford,U.S. House,1,Democratic,Donald W. Norcross,3252
Gloucester,Westville,U.S. House,1,Democratic,Donald W. Norcross,411
Gloucester,Woodbury,U.S. House,1,Democratic,Donald W. Norcross,1438
Gloucester,Woodbury Heights,U.S. House,1,Democratic,Donald W. Norcross,568
Gloucester,Federal Overseas,U.S. House,1,Democratic,Donald W. Norcross,6
Gloucester,Total,U.S. House,1,Democratic,Donald W. Norcross,26015
Gloucester,Deptford,U.S. House,1,Republican,Garry W. Cobb,2533
Gloucester,East Greenwich,U.S. House,1,Republican,Garry W. Cobb,1233
Gloucester,Glassboro,U.S. House,1,Republican,Garry W. Cobb,1232
Gloucester,Greenwich,U.S. House,1,Republican,Garry W. Cobb,770
Gloucester,Logan,U.S. House,1,Republican,Garry W. Cobb,557
Gloucester,Monroe,U.S. House,1,Republican,Garry W. Cobb,3935
Gloucester,National Park,U.S. House,1,Republican,Garry W. Cobb,223
Gloucester,Paulsboro,U.S. House,1,Republican,Garry W. Cobb,258
Gloucester,Washington,U.S. House,1,Republican,Garry W. Cobb,6291
Gloucester,Wenonah,U.S. House,1,Republican,Garry W. Cobb,482
Gloucester,West Deptford,U.S. House,1,Republican,Garry W. Cobb,2845
Gloucester,Westville,U.S. House,1,Republican,Garry W. Cobb,371
Gloucester,Woodbury,U.S. House,1,Republican,Garry W. Cobb,995
Gloucester,Woodbury Heights,U.S. House,1,Republican,Garry W. Cobb,436
Gloucester,Federal Overseas,U.S. House,1,Republican,Garry W. Cobb,0
Gloucester,Total,U.S. House,1,Republican,Garry W. Cobb,22161
Gloucester,Deptford,U.S. House,1,We Deserve Better,Scot John Tomaszewski,35
Gloucester,East Greenwich,U.S. House,1,We Deserve Better,Scot John Tomaszewski,14
Gloucester,Glassboro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,12
Gloucester,Greenwich,U.S. House,1,We Deserve Better,Scot John Tomaszewski,15
Gloucester,Logan,U.S. House,1,We Deserve Better,Scot John Tomaszewski,8
Gloucester,Monroe,U.S. House,1,We Deserve Better,Scot John Tomaszewski,37
Gloucester,National Park,U.S. House,1,We Deserve Better,Scot John Tomaszewski,4
Gloucester,Paulsboro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,5
Gloucester,Washington,U.S. House,1,We Deserve Better,Scot John Tomaszewski,53
Gloucester,Wenonah,U.S. House,1,We Deserve Better,Scot John Tomaszewski,9
Gloucester,West Deptford,U.S. House,1,We Deserve Better,Scot John Tomaszewski,28
Gloucester,Westville,U.S. House,1,We Deserve Better,Scot John Tomaszewski,7
Gloucester,Woodbury,U.S. House,1,We Deserve Better,Scot John Tomaszewski,5
Gloucester,Woodbury Heights,U.S. House,1,We Deserve Better,Scot John Tomaszewski,5
Gloucester,Federal Overseas,U.S. House,1,We Deserve Better,Scot John Tomaszewski,0
Gloucester,Total,U.S. House,1,We Deserve Better,Scot John Tomaszewski,237
Gloucester,Deptford,U.S. House,1,Stop Boss Politics,Robert Shapiro,27
Gloucester,East Greenwich,U.S. House,1,Stop Boss Politics,Robert Shapiro,6
Gloucester,Glassboro,U.S. House,1,Stop Boss Politics,Robert Shapiro,18
Gloucester,Greenwich,U.S. House,1,Stop Boss Politics,Robert Shapiro,3
Gloucester,Logan,U.S. House,1,Stop Boss Politics,Robert Shapiro,6
Gloucester,Monroe,U.S. House,1,Stop Boss Politics,Robert Shapiro,35
Gloucester,National Park,U.S. House,1,Stop Boss Politics,Robert Shapiro,3
Gloucester,Paulsboro,U.S. House,1,Stop Boss Politics,Robert Shapiro,3
Gloucester,Washington,U.S. House,1,Stop Boss Politics,Robert Shapiro,44
Gloucester,Wenonah,U.S. House,1,Stop Boss Politics,Robert Shapiro,10
Gloucester,West Deptford,U.S. House,1,Stop Boss Politics,Robert Shapiro,20
Gloucester,Westville,U.S. House,1,Stop Boss Politics,Robert Shapiro,2
Gloucester,Woodbury,U.S. House,1,Stop Boss Politics,Robert Shapiro,15
Gloucester,Woodbury Heights,U.S. House,1,Stop Boss Politics,Robert Shapiro,1
Gloucester,Federal Overseas,U.S. House,1,Stop Boss Politics,Robert Shapiro,0
Gloucester,Total,U.S. House,1,Stop Boss Politics,Robert Shapiro,193
Gloucester,Deptford,U.S. House,1,Change is Needed,Margaret M. Chapman,75
Gloucester,East Greenwich,U.S. House,1,Change is Needed,Margaret M. Chapman,9
Gloucester,Glassboro,U.S. House,1,Change is Needed,Margaret M. Chapman,31
Gloucester,Greenwich,U.S. House,1,Change is Needed,Margaret M. Chapman,21
Gloucester,Logan,U.S. House,1,Change is Needed,Margaret M. Chapman,13
Gloucester,Monroe,U.S. House,1,Change is Needed,Margaret M. Chapman,62
Gloucester,National Park,U.S. House,1,Change is Needed,Margaret M. Chapman,4
Gloucester,Paulsboro,U.S. House,1,Change is Needed,Margaret M. Chapman,12
Gloucester,Washington,U.S. House,1,Change is Needed,Margaret M. Chapman,75
Gloucester,Wenonah,U.S. House,1,Change is Needed,Margaret M. Chapman,10
Gloucester,West Deptford,U.S. House,1,Change is Needed,Margaret M. Chapman,51
Gloucester,Westville,U.S. House,1,Change is Needed,Margaret M. Chapman,7
Gloucester,Woodbury,U.S. House,1,Change is Needed,Margaret M. Chapman,32
Gloucester,Woodbury Heights,U.S. House,1,Change is Needed,Margaret M. Chapman,9
Gloucester,Federal Overseas,U.S. House,1,Change is Needed,Margaret M. Chapman,0
Gloucester,Total,U.S. House,1,Change is Needed,Margaret M. Chapman,411
Gloucester,Deptford,U.S. House,1,Of The People,Mike Berman,65
Gloucester,East Greenwich,U.S. House,1,Of The People,Mike Berman,16
Gloucester,Glassboro,U.S. House,1,Of The People,Mike Berman,25
Gloucester,Greenwich,U.S. House,1,Of The People,Mike Berman,16
Gloucester,Logan,U.S. House,1,Of The People,Mike Berman,20
Gloucester,Monroe,U.S. House,1,Of The People,Mike Berman,68
Gloucester,National Park,U.S. House,1,Of The People,Mike Berman,7
Gloucester,Paulsboro,U.S. House,1,Of The People,Mike Berman,8
Gloucester,Washington,U.S. House,1,Of The People,Mike Berman,63
Gloucester,Wenonah,U.S. House,1,Of The People,Mike Berman,7
Gloucester,West Deptford,U.S. House,1,Of The People,Mike Berman,36
Gloucester,Westville,U.S. House,1,Of The People,Mike Berman,17
Gloucester,Woodbury,U.S. House,1,Of The People,Mike Berman,19
Gloucester,Woodbury Heights,U.S. House,1,Of The People,Mike Berman,4
Gloucester,Federal Overseas,U.S. House,1,Of The People,Mike Berman,0
Gloucester,Total,U.S. House,1,Of The People,Mike Berman,371
Gloucester,Deptford,U.S. House,1,D-R Party,Donald E. Letton,18
Gloucester,East Greenwich,U.S. House,1,D-R Party,Donald E. Letton,3
Gloucester,Glassboro,U.S. House,1,D-R Party,Donald E. Letton,7
Gloucester,Greenwich,U.S. House,1,D-R Party,Donald E. Letton,2
Gloucester,Logan,U.S. House,1,D-R Party,Donald E. Letton,1
Gloucester,Monroe,U.S. House,1,D-R Party,Donald E. Letton,11
Gloucester,National Park,U.S. House,1,D-R Party,Donald E. Letton,0
Gloucester,Paulsboro,U.S. House,1,D-R Party,Donald E. Letton,1
Gloucester,Washington,U.S. House,1,D-R Party,Donald E. Letton,15
Gloucester,Wenonah,U.S. House,1,D-R Party,Donald E. Letton,0
Gloucester,West Deptford,U.S. House,1,D-R Party,Donald E. Letton,13
Gloucester,Westville,U.S. House,1,D-R Party,Donald E. Letton,1
Gloucester,Woodbury,U.S. House,1,D-R Party,Donald E. Letton,1
Gloucester,Woodbury Heights,U.S. House,1,D-R Party,Donald E. Letton,1
Gloucester,Federal Overseas,U.S. House,1,D-R Party,Donald E. Letton,0
Gloucester,Total,U.S. House,1,D-R Party,Donald E. Letton,74
Gloucester,Clayton,U.S. House,2,Republican,Frank A. LoBiondo,901
Gloucester,East Greenwich,U.S. House,2,Republican,Frank A. LoBiondo,299
Gloucester,Elk,U.S. House,2,Republican,Frank A. LoBiondo,833
Gloucester,Franklin,U.S. House,2,Republican,Frank A. LoBiondo,2706
Gloucester,Harrison,U.S. House,2,Republican,Frank A. LoBiondo,2064
Gloucester,Mantua,U.S. House,2,Republican,Frank A. LoBiondo,2332
Gloucester,Newfield,U.S. House,2,Republican,Frank A. LoBiondo,405
Gloucester,Pitman,U.S. House,2,Republican,Frank A. LoBiondo,1708
Gloucester,South Harrison,U.S. House,2,Republican,Frank A. LoBiondo,591
Gloucester,Swedesboro,U.S. House,2,Republican,Frank A. LoBiondo,299
Gloucester,Woolwich,U.S. House,2,Republican,Frank A. LoBiondo,1513
Gloucester,Federal Overseas,U.S. House,2,Republican,Frank A. LoBiondo,0
Gloucester,Total,U.S. House,2,Republican,Frank A. LoBiondo,13651
Gloucester,Clayton,U.S. House,2,Democratic,William J. Hughes Jr.,836
Gloucester,East Greenwich,U.S. House,2,Democratic,William J. Hughes Jr.,145
Gloucester,Elk,U.S. House,2,Democratic,William J. Hughes Jr.,475
Gloucester,Franklin,U.S. House,2,Democratic,William J. Hughes Jr.,1356
Gloucester,Harrison,U.S. House,2,Democratic,William J. Hughes Jr.,787
Gloucester,Mantua,U.S. House,2,Democratic,William J. Hughes Jr.,1445
Gloucester,Newfield,U.S. House,2,Democratic,William J. Hughes Jr.,155
Gloucester,Pitman,U.S. House,2,Democratic,William J. Hughes Jr.,958
Gloucester,South Harrison,U.S. House,2,Democratic,William J. Hughes Jr.,216
Gloucester,Swedesboro,U.S. House,2,Democratic,William J. Hughes Jr.,204
Gloucester,Woolwich,U.S. House,2,Democratic,William J. Hughes Jr.,872
Gloucester,Federal Overseas,U.S. House,2,Democratic,William J. Hughes Jr.,2
Gloucester,Total,U.S. House,2,Democratic,William J. Hughes Jr.,7451
Gloucester,Clayton,U.S. House,2,D-R Party,Alexander H. Spano,9
Gloucester,East Greenwich,U.S. House,2,D-R Party,Alexander H. Spano,2
Gloucester,Elk,U.S. House,2,D-R Party,Alexander H. Spano,11
Gloucester,Franklin,U.S. House,2,D-R Party,Alexander H. Spano,24
Gloucester,Harrison,U.S. House,2,D-R Party,Alexander H. Spano,22
Gloucester,Mantua,U.S. House,2,D-R Party,Alexander H. Spano,19
Gloucester,Newfield,U.S. House,2,D-R Party,Alexander H. Spano,1
Gloucester,Pitman,U.S. House,2,D-R Party,Alexander H. Spano,5
Gloucester,South Harrison,U.S. House,2,D-R Party,Alexander H. Spano,1
Gloucester,Swedesboro,U.S. House,2,D-R Party,Alexander H. Spano,3
Gloucester,Woolwich,U.S. House,2,D-R Party,Alexander H. Spano,17
Gloucester,Federal Overseas,U.S. House,2,D-R Party,Alexander H. Spano,0
Gloucester,Total,U.S. House,2,D-R Party,Alexander H. Spano,114
Gloucester,Clayton,U.S. House,2,Independent,Gary Stein,3
Gloucester,East Greenwich,U.S. House,2,Independent,Gary Stein,0
Gloucester,Elk,U.S. House,2,Independent,Gary Stein,3
Gloucester,Franklin,U.S. House,2,Independent,Gary Stein,11
Gloucester,Harrison,U.S. House,2,Independent,Gary Stein,7
Gloucester,Mantua,U.S. House,2,Independent,Gary Stein,8
Gloucester,Newfield,U.S. House,2,Independent,Gary Stein,2
Gloucester,Pitman,U.S. House,2,Independent,Gary Stein,5
Gloucester,South Harrison,U.S. House,2,Independent,Gary Stein,1
Gloucester,Swedesboro,U.S. House,2,Independent,Gary Stein,1
Gloucester,Woolwich,U.S. House,2,Independent,Gary Stein,9
Gloucester,Federal Overseas,U.S. House,2,Independent,Gary Stein,0
Gloucester,Total,U.S. House,2,Independent,Gary Stein,50
Gloucester,Clayton,U.S. House,2,American Labor Party,Constantino Rozzo,4
Gloucester,East Greenwich,U.S. House,2,American Labor Party,Constantino Rozzo,1
Gloucester,Elk,U.S. House,2,American Labor Party,Constantino Rozzo,5
Gloucester,Franklin,U.S. House,2,American Labor Party,Constantino Rozzo,10
Gloucester,Harrison,U.S. House,2,American Labor Party,Constantino Rozzo,3
Gloucester,Mantua,U.S. House,2,American Labor Party,Constantino Rozzo,15
Gloucester,Newfield,U.S. House,2,American Labor Party,Constantino Rozzo,2
Gloucester,Pitman,U.S. House,2,American Labor Party,Constantino Rozzo,10
Gloucester,South Harrison,U.S. House,2,American Labor Party,Constantino Rozzo,2
Gloucester,Swedesboro,U.S. House,2,American Labor Party,Constantino Rozzo,3
Gloucester,Woolwich,U.S. House,2,American Labor Party,Constantino Rozzo,5
Gloucester,Federal Overseas,U.S. House,2,American Labor Party,Constantino Rozzo,0
Gloucester,Total,U.S. House,2,American Labor Party,Constantino Rozzo,60
Gloucester,Clayton,U.S. House,2,Independent,Bayode Olabisi,7
Gloucester,East Greenwich,U.S. House,2,Independent,Bayode Olabisi,0
Gloucester,Elk,U.S. House,2,Independent,Bayode Olabisi,2
Gloucester,Franklin,U.S. House,2,Independent,Bayode Olabisi,11
Gloucester,Harrison,U.S. House,2,Independent,Bayode Olabisi,7
Gloucester,Mantua,U.S. House,2,Independent,Bayode Olabisi,8
Gloucester,Newfield,U.S. House,2,Independent,Bayode Olabisi,0
Gloucester,Pitman,U.S. House,2,Independent,Bayode Olabisi,3
Gloucester,South Harrison,U.S. House,2,Independent,Bayode Olabisi,2
Gloucester,Swedesboro,U.S. House,2,Independent,Bayode Olabisi,1
Gloucester,Woolwich,U.S. House,2,Independent,Bayode Olabisi,3
Gloucester,Federal Overseas,U.S. House,2,Independent,Bayode Olabisi,0
Gloucester,Total,U.S. House,2,Independent,Bayode Olabisi,44
Gloucester,Clayton Boro,U.S. Senate,,Democratic,Cory Booker,1033
Gloucester,Deptford Twp,U.S. Senate,,Democratic,Cory Booker,4057
Gloucester,East Greenwich Twp,U.S. Senate,,Democratic,Cory Booker,1189
Gloucester,Elk Twp,U.S. Senate,,Democratic,Cory Booker,611
Gloucester,Franklin Twp,U.S. Senate,,Democratic,Cory Booker,1825
Gloucester,Glassboro Boro,U.S. Senate,,Democratic,Cory Booker,2185
