county,municipality,office,district,party,candidate,votes
Burlington,Maple Shade Twp,U.S. House,1,Democratic,Donald W. Norcross,1983
Burlington,Maple Shade Twp,U.S. House,1,Republican,Garry W. Cobb,1409
Burlington,Maple Shade Twp,U.S. House,1,We Deserve Better,Scot John Tomaszewski,32
Burlington,Maple Shade Twp,U.S. House,1,Stop Boss Politics,Robert Shapiro,10
Burlington,Maple Shade Twp,U.S. House,1,Change is Needed,Margaret M. Chapman,6
Burlington,Maple Shade Twp,U.S. House,1,Of The People,Mike Berman,7
Burlington,Maple Shade Twp,U.S. House,1,D-R Party,Donald E. Letton,2
Burlington,Palmyra Boro,U.S. House,1,Democratic,Donald W. Norcross,1165
Burlington,Palmyra Boro,U.S. House,1,Republican,Garry W. Cobb,835
Burlington,Palmyra Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,8
Burlington,Palmyra Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,11
Burlington,Palmyra Boro,U.S. House,1,Change is Needed,Margaret M. Chapman,14
Burlington,Palmyra Boro,U.S. House,1,Of The People,Mike Berman,2
Burlington,Palmyra Boro,U.S. House,1,D-R Party,Donald E. Letton,5
Camden,Audubon Boro,U.S. House,1,Democratic,Donald W. Norcross,1141
Camden,Audubon Boro,U.S. House,1,Republican,Garry W. Cobb,973
Camden,Audubon Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,37
Camden,Audubon Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,21
Camden,Audubon Boro,U.S. House,1,Change is Needed,Margaret M. Chapman,7
Camden,Audubon Boro,U.S. House,1,Of The People,Mike Berman,11
Camden,Audubon Boro,U.S. House,1,D-R Party,Donald E. Letton,8
Camden,Audubon Park Boro,U.S. House,1,Democratic,Donald W. Norcross,199
Camden,Audubon Park Boro,U.S. House,1,Republican,Garry W. Cobb,88
Camden,Audubon Park Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,8
