county,precinct,office,district,candidate,party,votes
Atlantic,Absecon 1-1,President,,Hillary Clinton,DEM,255
Atlantic,Absecon 1-2,President,,Hillary Clinton,DEM,231
Atlantic,Absecon 1-3,President,,Hillary Clinton,DEM,346
Atlantic,Absecon 2-1,President,,Hillary Clinton,DEM,272
Atlantic,Absecon 2-2,President,,Hillary Clinton,DEM,429
Atlantic,Absecon 2-3,President,,Hillary Clinton,DEM,229
Atlantic,Absecon vbm,President,,Hillary Clinton,DEM,145
Atlantic,Absecon prov,President,,Hillary Clinton,DEM,16
Atlantic,Absecon hand,President,,Hillary Clinton,DEM,26
Atlantic,Absecon,President,,Hillary Clinton,DEM,1949
Atlantic,Atlantic City 1-1,President,,Hillary Clinton,DEM,585
Atlantic,Atlantic City 1-2,President,,Hillary Clinton,DEM,408
Atlantic,Atlantic City 1-3,President,,Hillary Clinton,DEM,338
Atlantic,Atlantic City 1-4,President,,Hillary Clinton,DEM,326
Atlantic,Atlantic City 2-1,President,,Hillary Clinton,DEM,460
Atlantic,Atlantic City 2-2,President,,Hillary Clinton,DEM,624
Atlantic,Atlantic City 2-3,President,,Hillary Clinton,DEM,469
Atlantic,Atlantic City 3-1,President,,Hillary Clinton,DEM,615
Atlantic,Atlantic City 3-2,President,,Hillary Clinton,DEM,184
Atlantic,Atlantic City 3-3,President,,Hillary Clinton,DEM,316
Atlantic,Atlantic City 3-4,President,,Hillary Clinton,DEM,669
Atlantic,Atlantic City 4-1,President,,Hillary Clinton,DEM,292
Atlantic,Atlantic City 4-2,President,,Hillary Clinton,DEM,310
Atlantic,Atlantic City 4-3,President,,Hillary Clinton,DEM,390
Atlantic,Atlantic City 4-4,President,,Hillary Clinton,DEM,248
Atlantic,Atlantic City 5-1,President,,Hillary Clinton,DEM,439
Atlantic,Atlantic City 5-2,President,,Hillary Clinton,DEM,441
Atlantic,Atlantic City 6-1,President,,Hillary Clinton,DEM,353
Atlantic,Atlantic City 6-2,President,,Hillary Clinton,DEM,373
Atlantic,Atlantic City 6-3,President,,Hillary Clinton,DEM,332
Atlantic,Atlantic City 6-4,President,,Hillary Clinton,DEM,246
Atlantic,Atlantic City vbm,President,,Hillary Clinton,DEM,497
Atlantic,Atlantic City prov,President,,Hillary Clinton,DEM,447
Atlantic,Atlantic City hand,President,,Hillary Clinton,DEM,45
Atlantic,Atlantic City,President,,Hillary Clinton,DEM,9407
Atlantic,Brigantine W-1,President,,Hillary Clinton,DEM,411
Atlantic,Brigantine W-2,President,,Hillary Clinton,DEM,358
Atlantic,Brigantine W-3,President,,Hillary Clinton,DEM,415
Atlantic,Brigantine W-4,President,,Hillary Clinton,DEM,436
