county,municipality,office,district,party,candidate,votes
Gloucester,Westville Boro,State Senate,5,NJ Tea Party,Christopher J. Weag,40
Gloucester,Woodbury City,State Senate,5,Democrat,Donald W. Norcross,1371
Gloucester,Woodbury City,State Senate,5,Republican,Harry E. Trout,1384
Gloucester,Woodbury City,State Senate,5,NJ Tea Party,Christopher J. Weag,75
Gloucester,Woodbury Heights Boro,State Senate,5,Democrat,Donald W. Norcross,591
Gloucester,Woodbury Heights Boro,State Senate,5,Republican,Harry E. Trout,568
Gloucester,Woodbury Heights Boro,State Senate,5,NJ Tea Party,Christopher J. Weag,37
Mercer,Hamilton Twp.,State Senate,14,Democrat,Linda R. Greenstein,12750
Mercer,Hamilton Twp.,State Senate,14,Republican,Thomas Goodwin,13119
Mercer,West Windsor Twp.,State Senate,14,Democrat,Linda R. Greenstein,4539
Mercer,West Windsor Twp.,State Senate,14,Republican,Thomas Goodwin,3458
Middlesex,Cranbury Twp.,State Senate,14,Democrat,Linda R. Greenstein,731
Middlesex,Cranbury Twp.,State Senate,14,Republican,Thomas Goodwin,828
Middlesex,Jamesburg Boro,State Senate,14,Democrat,Linda R. Greenstein,603
Middlesex,Jamesburg Boro,State Senate,14,Republican,Thomas Goodwin,570
Middlesex,Monroe Twp.,State Senate,14,Democrat,Linda R. Greenstein,8488
Middlesex,Monroe Twp.,State Senate,14,Republican,Thomas Goodwin,6957
Middlesex,Plainsboro Twp.,State Senate,14,Democrat,Linda R. Greenstein,2985
Middlesex,Plainsboro Twp.,State Senate,14,Republican,Thomas Goodwin,1703
Middlesex,South Brunswick Twp.,State Senate,14,Democrat,Linda R. Greenstein,6315
Middlesex,South Brunswick Twp.,State Senate,14,Republican,Thomas Goodwin,4676
Camden,Audubon Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1250
Camden,Audubon Boro,General Assembly,5,Republican,Barbara A. Gallagher,1254
Camden,Barrington Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,999
Camden,Barrington Boro,General Assembly,5,Republican,Barbara A. Gallagher,1055
Camden,Bellmawr Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1580
Camden,Bellmawr Boro,General Assembly,5,Republican,Barbara A. Gallagher,1320
Camden,Brooklawn Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,270
Camden,Brooklawn Boro,General Assembly,5,Republican,Barbara A. Gallagher,223
Camden,Camden City,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,10176
Camden,Camden City,General Assembly,5,Republican,Barbara A. Gallagher,470
Camden,Gloucester city,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1402
Camden,Gloucester city,General Assembly,5,Republican,Barbara A. Gallagher,930
Camden,Haddon Heights Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1282
Camden,Haddon Heights Boro,General Assembly,5,Republican,Barbara A. Gallagher,1642
Camden,Hi-Nella Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,113
Camden,Hi-Nella Boro,General Assembly,5,Republican,Barbara A. Gallagher,66
Camden,Lawnside Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1130
Camden,Lawnside Boro,General Assembly,5,Republican,Barbara A. Gallagher,56
Camden,Magnolia Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,699
Camden,Magnolia Boro,General Assembly,5,Republican,Barbara A. Gallagher,407
Camden,Mount Ephraim Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,570
Camden,Mount Ephraim Boro,General Assembly,5,Republican,Barbara A. Gallagher,495
Camden,Runnemede Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1094
Camden,Runnemede Boro,General Assembly,5,Republican,Barbara A. Gallagher,864
Camden,Somerdale Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,905
Camden,Somerdale Boro,General Assembly,5,Republican,Barbara A. Gallagher,425
Camden,Stratford Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,959
Camden,Stratford Boro,General Assembly,5,Republican,Barbara A. Gallagher,1010
Camden,Woodlynne Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,396
Camden,Woodlynne Boro,General Assembly,5,Republican,Barbara A. Gallagher,74
Gloucester,Deptford Twp.,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,3904
Gloucester,Deptford Twp.,General Assembly,5,Republican,Barbara A. Gallagher,3314
Gloucester,Westville Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,463
Gloucester,Westville Boro,General Assembly,5,Republican,Barbara A. Gallagher,501
Gloucester,Woodbury City,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,1497
Gloucester,Woodbury City,General Assembly,5,Republican,Barbara A. Gallagher,1278
Gloucester,Woodbury Heights Boro,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,591
Gloucester,Woodbury Heights Boro,General Assembly,5,Republican,Barbara A. Gallagher,588
Hudson,Bayonne City,General Assembly,31,Democrat,Jason O'Donnell,5610
Hudson,Bayonne City,General Assembly,31,Republican,Joseph Turula,2090
Hudson,Bayonne City,General Assembly,31,Unbought and Unbossed,Robert Mays,384
Hudson,Bayonne City,General Assembly,31,For The People,Denis F. Wilbeck,2044
Hudson,Jersey City,General Assembly,31,Democrat,Jason O'Donnell,13882
Hudson,Jersey City,General Assembly,31,Republican,Joseph Turula,3056
Hudson,Jersey City,General Assembly,31,Unbought and Unbossed,Robert Mays,2132
Hudson,Jersey City,General Assembly,31,For The People,Denis F. Wilbeck,419
