county,office,district,party,candidate,votes
Camden,State Senate,5,Democrat,Donald W. Norcross,22464
Camden,State Senate,5,Republican,Harry E. Trout,9554
Camden,State Senate,5,NJ Tea Party,Christopher J. Weag,1193
Gloucester,State Senate,5,Democrat,Donald W. Norcross,6337
Gloucester,State Senate,5,Republican,Harry E. Trout,5487
Gloucester,State Senate,5,NJ Tea Party,Christopher J. Weag,453
Mercer,State Senate,14,Democrat,Linda R. Greenstein,17289
Mercer,State Senate,14,Republican,Thomas Goodwin,16577
Middlesex,State Senate,14,Democrat,Linda R. Greenstein,19122
Middlesex,State Senate,14,Republican,Thomas Goodwin,14734
Camden,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,22825
Camden,General Assembly,5,Republican,Barbara A. Gallagher,10291
Gloucester,General Assembly,5,Democrat,Gilbert 'Whip' Wilson,6455
Gloucester,General Assembly,5,Republican,Barbara A. Gallagher,5681
Hudson,General Assembly,31,Democrat,Jason O'Donnell,19492
Hudson,General Assembly,31,Republican,Joseph Turula,5146
Hudson,General Assembly,31,Unbought and Unbossed,Robert Mays,2516
Hudson,General Assembly,31,For The People,Denis F. Wilbeck,2463
