county,municipality,office,district,candidate,party,votes
ATLANTIC,Corbin City,General Assembly,1,Bob Andrzejczak,Democratic,67
ATLANTIC,Estell Manor,General Assembly,1,Bob Andrzejczak,Democratic,259
ATLANTIC,Weymouth,General Assembly,1,Bob Andrzejczak,Democratic,366
ATLANTIC,COUNTY TOTAL,General Assembly,1,Bob Andrzejczak,Democratic,692
ATLANTIC,Corbin City,General Assembly,1,R. Bruce Land,Democratic,62
ATLANTIC,Estell Manor,General Assembly,1,R. Bruce Land,Democratic,237
ATLANTIC,Weymouth,General Assembly,1,R. Bruce Land,Democratic,340
ATLANTIC,COUNTY TOTAL,General Assembly,1,R. Bruce Land,Democratic,639
ATLANTIC,Corbin City,General Assembly,1,Sam Fiocchi,Republican,81
ATLANTIC,Estell Manor,General Assembly,1,Sam Fiocchi,Republican,287
ATLANTIC,Weymouth,General Assembly,1,Sam Fiocchi,Republican,348
ATLANTIC,COUNTY TOTAL,General Assembly,1,Sam Fiocchi,Republican,716
ATLANTIC,Corbin City,General Assembly,1,Jim Sauro,Republican,85
ATLANTIC,Estell Manor,General Assembly,1,Jim Sauro,Republican,276
ATLANTIC,Weymouth,General Assembly,1,Jim Sauro,Republican,349
ATLANTIC,COUNTY TOTAL,General Assembly,1,Jim Sauro,Republican,710
CAPE MAY,Avalon Boro,General Assembly,1,Bob Andrzejczak,Democratic,188
CAPE MAY,Cape May City,General Assembly,1,Bob Andrzejczak,Democratic,481
CAPE MAY,Cape May Point Boro,General Assembly,1,Bob Andrzejczak,Democratic,75
CAPE MAY,Dennis Twp.,General Assembly,1,Bob Andrzejczak,Democratic,890
CAPE MAY,Lower Twp.,General Assembly,1,Bob Andrzejczak,Democratic,"2,354"
CAPE MAY,Middle Twp.,General Assembly,1,Bob Andrzejczak,Democratic,"2,308"
CAPE MAY,North Wildwood City,General Assembly,1,Bob Andrzejczak,Democratic,436
CAPE MAY,Ocean City,General Assembly,1,Bob Andrzejczak,Democratic,"1,084"
CAPE MAY,Sea Isle City,General Assembly,1,Bob Andrzejczak,Democratic,310
CAPE MAY,Stone Harbor Boro,General Assembly,1,Bob Andrzejczak,Democratic,78
CAPE MAY,Upper Twp.,General Assembly,1,Bob Andrzejczak,Democratic,"1,163"
CAPE MAY,West Cape May Boro,General Assembly,1,Bob Andrzejczak,Democratic,222
CAPE MAY,West Wildwood Boro,General Assembly,1,Bob Andrzejczak,Democratic,89
CAPE MAY,Wildwood City,General Assembly,1,Bob Andrzejczak,Democratic,554
CAPE MAY,Wildwood Crest Boro,General Assembly,1,Bob Andrzejczak,Democratic,365
CAPE MAY,Woodbine Boro,General Assembly,1,Bob Andrzejczak,Democratic,203
CAPE MAY,COUNTY TOTAL,General Assembly,1,Bob Andrzejczak,Democratic,"10,800"
CAPE MAY,Avalon Boro,General Assembly,1,R. Bruce Land,Democratic,180
CAPE MAY,Cape May City,General Assembly,1,R. Bruce Land,Democratic,445
CAPE MAY,Cape May Point Boro,General Assembly,1,R. Bruce Land,Democratic,69
CAPE MAY,Dennis Twp.,General Assembly,1,R. Bruce Land,Democratic,817
CAPE MAY,Lower Twp.,General Assembly,1,R. Bruce Land,Democratic,"2,205"
CAPE MAY,Middle Twp.,General Assembly,1,R. Bruce Land,Democratic,"2,089"
CAPE MAY,North Wildwood City,General Assembly,1,R. Bruce Land,Democratic,396
CAPE MAY,Ocean City,General Assembly,1,R. Bruce Land,Democratic,"1,000"
CAPE MAY,Sea Isle City,General Assembly,1,R. Bruce Land,Democratic,271
CAPE MAY,Stone Harbor Boro,General Assembly,1,R. Bruce Land,Democratic,77
CAPE MAY,Upper Twp.,General Assembly,1,R. Bruce Land,Democratic,"1,061"
CAPE MAY,West Cape May Boro,General Assembly,1,R. Bruce Land,Democratic,213
CAPE MAY,West Wildwood Boro,General Assembly,1,R. Bruce Land,Democratic,82
CAPE MAY,Wildwood City,General Assembly,1,R. Bruce Land,Democratic,511
CAPE MAY,Wildwood Crest Boro,General Assembly,1,R. Bruce Land,Democratic,332
CAPE MAY,Woodbine Boro,General Assembly,1,R. Bruce Land,Democratic,173
CAPE MAY,COUNTY TOTAL,General Assembly,1,R. Bruce Land,Democratic,"9,921"
CAPE MAY,Avalon Boro,General Assembly,1,Sam Fiocchi,Republican,368
CAPE MAY,Cape May City,General Assembly,1,Sam Fiocchi,Republican,364
CAPE MAY,Cape May Point Boro,General Assembly,1,Sam Fiocchi,Republican,42
CAPE MAY,Dennis Twp.,General Assembly,1,Sam Fiocchi,Republican,638
CAPE MAY,Lower Twp.,General Assembly,1,Sam Fiocchi,Republican,"1,514"
CAPE MAY,Middle Twp.,General Assembly,1,Sam Fiocchi,Republican,"1,703"
CAPE MAY,North Wildwood City,General Assembly,1,Sam Fiocchi,Republican,585
CAPE MAY,Ocean City,General Assembly,1,Sam Fiocchi,Republican,"1,434"
CAPE MAY,Sea Isle City,General Assembly,1,Sam Fiocchi,Republican,389
CAPE MAY,Stone Harbor Boro,General Assembly,1,Sam Fiocchi,Republican,155
CAPE MAY,Upper Twp.,General Assembly,1,Sam Fiocchi,Republican,"1,154"
CAPE MAY,West Cape May Boro,General Assembly,1,Sam Fiocchi,Republican,87
CAPE MAY,West Wildwood Boro,General Assembly,1,Sam Fiocchi,Republican,71
CAPE MAY,Wildwood City,General Assembly,1,Sam Fiocchi,Republican,435
CAPE MAY,Wildwood Crest Boro,General Assembly,1,Sam Fiocchi,Republican,425
CAPE MAY,Woodbine Boro,General Assembly,1,Sam Fiocchi,Republican,131
CAPE MAY,COUNTY TOTAL,General Assembly,1,Sam Fiocchi,Republican,"9,495"
CAPE MAY,Avalon Boro,General Assembly,1,Jim Sauro,Republican,337
CAPE MAY,Cape May City,General Assembly,1,Jim Sauro,Republican,327
CAPE MAY,Cape May Point Boro,General Assembly,1,Jim Sauro,Republican,31
CAPE MAY,Dennis Twp.,General Assembly,1,Jim Sauro,Republican,598
CAPE MAY,Lower Twp.,General Assembly,1,Jim Sauro,Republican,"1,415"
CAPE MAY,Middle Twp.,General Assembly,1,Jim Sauro,Republican,"1,571"
CAPE MAY,North Wildwood City,General Assembly,1,Jim Sauro,Republican,552
CAPE MAY,Ocean City,General Assembly,1,Jim Sauro,Republican,"1,364"
CAPE MAY,Sea Isle City,General Assembly,1,Jim Sauro,Republican,361
CAPE MAY,Stone Harbor Boro,General Assembly,1,Jim Sauro,Republican,153
CAPE MAY,Upper Twp.,General Assembly,1,Jim Sauro,Republican,"1,081"
CAPE MAY,West Cape May Boro,General Assembly,1,Jim Sauro,Republican,76
CAPE MAY,West Wildwood Boro,General Assembly,1,Jim Sauro,Republican,60
CAPE MAY,Wildwood City,General Assembly,1,Jim Sauro,Republican,376
CAPE MAY,Wildwood Crest Boro,General Assembly,1,Jim Sauro,Republican,389
CAPE MAY,Woodbine Boro,General Assembly,1,Jim Sauro,Republican,110
CAPE MAY,COUNTY TOTAL,General Assembly,1,Jim Sauro,Republican,"8,801"
CUMBERLAND,Commercial Twp.,General Assembly,1,Bob Andrzejczak,Democratic,390
CUMBERLAND,Downe Twp.,General Assembly,1,Bob Andrzejczak,Democratic,144
CUMBERLAND,Fairfield Twp,General Assembly,1,Bob Andrzejczak,Democratic,502
CUMBERLAND,Greenwich Twp.,General Assembly,1,Bob Andrzejczak,Democratic,127
CUMBERLAND,Hopewell Twp.,General Assembly,1,Bob Andrzejczak,Democratic,403
CUMBERLAND,Lawrence Twp.,General Assembly,1,Bob Andrzejczak,Democratic,218
CUMBERLAND,Maurice River Twp.,General Assembly,1,Bob Andrzejczak,Democratic,342
CUMBERLAND,Millville City,General Assembly,1,Bob Andrzejczak,Democratic,"2,334"
CUMBERLAND,Shiloh Boro,General Assembly,1,Bob Andrzejczak,Democratic,41
CUMBERLAND,Stow Creek Twp.,General Assembly,1,Bob Andrzejczak,Democratic,101
CUMBERLAND,Vineland City,General Assembly,1,Bob Andrzejczak,Democratic,"4,137"
CUMBERLAND,COUNTY TOTAL,General Assembly,1,Bob Andrzejczak,Democratic,"8,739"
CUMBERLAND,Commercial Twp.,General Assembly,1,R. Bruce Land,Democratic,385
CUMBERLAND,Downe Twp.,General Assembly,1,R. Bruce Land,Democratic,135
CUMBERLAND,Fairfield Twp,General Assembly,1,R. Bruce Land,Democratic,484
CUMBERLAND,Greenwich Twp.,General Assembly,1,R. Bruce Land,Democratic,119
CUMBERLAND,Hopewell Twp.,General Assembly,1,R. Bruce Land,Democratic,402
CUMBERLAND,Lawrence Twp.,General Assembly,1,R. Bruce Land,Democratic,201
CUMBERLAND,Maurice River Twp.,General Assembly,1,R. Bruce Land,Democratic,336
CUMBERLAND,Millville City,General Assembly,1,R. Bruce Land,Democratic,"2,328"
CUMBERLAND,Shiloh Boro,General Assembly,1,R. Bruce Land,Democratic,45
CUMBERLAND,Stow Creek Twp.,General Assembly,1,R. Bruce Land,Democratic,97
