county,municipality,office,district,party,candidate,votes
Camden,Audubon Boro,General Assembly,5,Democratic,William W. Spearman,2328
Camden,Audubon Park Boro,General Assembly,5,Democratic,William W. Spearman,252
Camden,Barrington Boro,General Assembly,5,Democratic,William W. Spearman,1636
Camden,Bellmawr Boro,General Assembly,5,Democratic,William W. Spearman,2358
Camden,Brooklawn Boro,General Assembly,5,Democratic,William W. Spearman,379
Camden,Camden City,General Assembly,5,Democratic,William W. Spearman,12250
Camden,Gloucester City,General Assembly,5,Democratic,William W. Spearman,1808
Camden,Haddon Heights Boro,General Assembly,5,Democratic,William W. Spearman,2415
Camden,Lawnside Boro,General Assembly,5,Democratic,William W. Spearman,1200
Camden,Magnolia Boro,General Assembly,5,Democratic,William W. Spearman,1063
Camden,Mount Ephraim Boro,General Assembly,5,Democratic,William W. Spearman,1006
Camden,Runnemede Boro,General Assembly,5,Democratic,William W. Spearman,1658
Camden,Woodlynne Boro,General Assembly,5,Democratic,William W. Spearman,500
Camden,Total,General Assembly,5,Democratic,William W. Spearman,28853
Gloucester,Deptford Twp,General Assembly,5,Democratic,William W. Spearman,6642
Gloucester,Harrison Twp,General Assembly,5,Democratic,William W. Spearman,2549
Gloucester,Mantua Twp,General Assembly,5,Democratic,William W. Spearman,3397
Gloucester,Wenonah Boro,General Assembly,5,Democratic,William W. Spearman,729
Gloucester,Westville Boro,General Assembly,5,Democratic,William W. Spearman,664
Gloucester,Woodbury City,General Assembly,5,Democratic,William W. Spearman,2291
Gloucester,Total,General Assembly,5,Democratic,William W. Spearman,16272
,Total,General Assembly,5,Democratic,William W. Spearman,45125
Camden,Audubon Boro,General Assembly,5,Republican,Nicholas Kush,1470
Camden,Audubon Park Boro,General Assembly,5,Republican,Nicholas Kush,178
Camden,Barrington Boro,General Assembly,5,Republican,Nicholas Kush,1072
Camden,Bellmawr Boro,General Assembly,5,Republican,Nicholas Kush,1552
Camden,Brooklawn Boro,General Assembly,5,Republican,Nicholas Kush,217
Camden,Camden City,General Assembly,5,Republican,Nicholas Kush,638
Camden,Gloucester City,General Assembly,5,Republican,Nicholas Kush,1077
Camden,Haddon Heights Boro,General Assembly,5,Republican,Nicholas Kush,1520
Camden,Lawnside Boro,General Assembly,5,Republican,Nicholas Kush,32
Camden,Magnolia Boro,General Assembly,5,Republican,Nicholas Kush,526
