county,precinct,office,district,party,candidate,votes,election_day,mail,military,provisional,emergency
Sussex,0001 ANDOVER BORO,,,,Registered Voters,405,,,,,
Sussex,0001 ANDOVER BORO,,,,Ballots Cast,237,209,28,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,REP,Bob Hugin,137,125,12,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,DEM,Robert Menendez,82,67,15,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,LIB,Murray Sabrin,3,3,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,MIS,Kevin Kimple,1,1,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,NDN,Tricia Flanagan,1,1,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,FTP,Natalie Lynn Rivera,4,3,1,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,ECG,Hank Schroeder,0,0,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,GRN,Madelyn R. Hoffman,8,8,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. Senate,,,Write-ins,1,1,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,REP,"John J. McCann, Jr.",119,111,8,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,DEM,Josh Gottheimer,113,93,20,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,THE,Wendy W. Goetz,4,4,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,LIB,James Tosone,1,1,0,0,0,0
Sussex,0001 ANDOVER BORO,U.S. House,5,,Write-ins,0,0,0,0,0,0
Sussex,0002 ANDOVER TWP 1,,,,Registered Voters,945,,,,,
Sussex,0002 ANDOVER TWP 1,,,,Ballots Cast,506,415,88,0,3,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,REP,Bob Hugin,299,262,36,0,1,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,DEM,Robert Menendez,173,132,39,0,2,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,LIB,Murray Sabrin,7,4,3,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,MIS,Kevin Kimple,5,3,2,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,NDN,Tricia Flanagan,5,4,1,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,FTP,Natalie Lynn Rivera,3,3,0,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,ECG,Hank Schroeder,1,1,0,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,GRN,Madelyn R. Hoffman,8,4,4,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. Senate,,,Write-ins,1,1,0,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. House,5,REP,"John J. McCann, Jr.",251,219,31,0,1,0
Sussex,0002 ANDOVER TWP 1,U.S. House,5,DEM,Josh Gottheimer,235,188,45,0,2,0
Sussex,0002 ANDOVER TWP 1,U.S. House,5,THE,Wendy W. Goetz,11,6,5,0,0,0
Sussex,0002 ANDOVER TWP 1,U.S. House,5,LIB,James Tosone,5,1,4,0,0,0
