county,precinct,office,district,party,candidate,votes,trump,clinton,castle,johnson,la riva,de la fuente,moorehead,stein,kennedy,write-in
Camden,Audubon Boro Dist 1,President,,,Registered Voters,759,,,,,,,,,,
Camden,Audubon Boro Dist 2,President,,,Registered Voters,627,,,,,,,,,,
Camden,Audubon Boro Dist 3,President,,,Registered Voters,970,,,,,,,,,,
Camden,Audubon Boro Dist 4,President,,,Registered Voters,620,,,,,,,,,,
Camden,Audubon Boro Dist 5,President,,,Registered Voters,927,,,,,,,,,,
Camden,Audubon Boro Dist 6,President,,,Registered Voters,1091,,,,,,,,,,
Camden,Audubon Boro Dist 7,President,,,Registered Voters,681,,,,,,,,,,
Camden,Audubon Boro Dist 8,President,,,Registered Voters,857,,,,,,,,,,
Camden,Audubon Boro Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Boro Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Boro Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Borough,President,,,Registered Voters,6532,,,,,,,,,,
Camden,Audubon Park Dist 1,President,,,Registered Voters,773,,,,,,,,,,
Camden,Audubon Park Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Park Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Park Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Audubon Park Borough,President,,,Registered Voters,773,,,,,,,,,,
Camden,Barrington Dist 1,President,,,Registered Voters,1187,,,,,,,,,,
Camden,Barrington Dist 2,President,,,Registered Voters,825,,,,,,,,,,
Camden,Barrington Dist 3,President,,,Registered Voters,1366,,,,,,,,,,
Camden,Barrington Dist 4,President,,,Registered Voters,1366,,,,,,,,,,
Camden,Barrington Dist 5,President,,,Registered Voters,535,,,,,,,,,,
Camden,Barrington Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Barrington Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Barrington Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Barrington Borough,President,,,Registered Voters,5279,,,,,,,,,,
Camden,Bellmawr Dist 1,President,,,Registered Voters,1334,,,,,,,,,,
Camden,Bellmawr Dist 2,President,,,Registered Voters,1113,,,,,,,,,,
Camden,Bellmawr Dist 3,President,,,Registered Voters,978,,,,,,,,,,
Camden,Bellmawr Dist 4,President,,,Registered Voters,978,,,,,,,,,,
Camden,Bellmawr Dist 5,President,,,Registered Voters,957,,,,,,,,,,
Camden,Bellmawr Dist 6,President,,,Registered Voters,1092,,,,,,,,,,
Camden,Bellmawr Dist 7,President,,,Registered Voters,913,,,,,,,,,,
Camden,Bellmawr Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Bellmawr Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Bellmawr Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Bellmawr Borough,President,,,Registered Voters,7365,,,,,,,,,,
Camden,Berlin Boro Dist 1,President,,,Registered Voters,870,,,,,,,,,,
Camden,Berlin Boro Dist 2,President,,,Registered Voters,1265,,,,,,,,,,
Camden,Berlin Boro Dist 3,President,,,Registered Voters,1317,,,,,,,,,,
Camden,Berlin Boro Dist 4,President,,,Registered Voters,1241,,,,,,,,,,
Camden,Berlin Boro Dist 5,President,,,Registered Voters,631,,,,,,,,,,
Camden,Berlin Boro Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Boro Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Boro Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Borough,President,,,Registered Voters,5324,,,,,,,,,,
Camden,Berlin Twp Dist 1,President,,,Registered Voters,1308,,,,,,,,,,
Camden,Berlin Twp Dist 2,President,,,Registered Voters,618,,,,,,,,,,
Camden,Berlin Twp Dist 3,President,,,Registered Voters,615,,,,,,,,,,
Camden,Berlin Twp Dist 4,President,,,Registered Voters,1177,,,,,,,,,,
Camden,Berlin Twp Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Twp Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Twp Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Berlin Twp,President,,,Registered Voters,3718,,,,,,,,,,
Camden,Brooklawn Dist 1,President,,,Registered Voters,1255,,,,,,,,,,
Camden,Brooklawn Mail-In Ballot,President,,,Registered Voters,0,,,,,,,,,,
Camden,Brooklawn Provisional,President,,,Registered Voters,0,,,,,,,,,,
Camden,Brooklawn Emergency Ballots,President,,,Registered Voters,0,,,,,,,,,,
Camden,Brooklawn Borough,President,,,Registered Voters,1255,,,,,,,,,,
Camden,Camden City W1 D1,President,,,Registered Voters,611,,,,,,,,,,
Camden,Camden City W1 D2,President,,,Registered Voters,1267,,,,,,,,,,
Camden,Camden City W1 D3,President,,,Registered Voters,1003,,,,,,,,,,
Camden,Camden City W1 D4,President,,,Registered Voters,856,,,,,,,,,,
Camden,Camden City W1 D5,President,,,Registered Voters,1182,,,,,,,,,,
Camden,Camden City W1 D6,President,,,Registered Voters,1081,,,,,,,,,,
Camden,Camden City W1 D7,President,,,Registered Voters,838,,,,,,,,,,
Camden,Camden City W1 D8,President,,,Registered Voters,918,,,,,,,,,,
Camden,Camden City W1 D9,President,,,Registered Voters,1602,,,,,,,,,,
Camden,Camden City W1 D10,President,,,Registered Voters,819,,,,,,,,,,
Camden,Camden City Ward 1 Mail-In,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden CIty Ward 1,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W1 Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W2 D1,President,,,Registered Voters,677,,,,,,,,,,
Camden,Camden City W2 D2,President,,,Registered Voters,888,,,,,,,,,,
Camden,Camden City W2 D3,President,,,Registered Voters,980,,,,,,,,,,
Camden,Camden City W2 D4,President,,,Registered Voters,769,,,,,,,,,,
Camden,Camden City W2 D5,President,,,Registered Voters,822,,,,,,,,,,
Camden,Camden City W2 D6,President,,,Registered Voters,1443,,,,,,,,,,
Camden,Camden City W2 D7,President,,,Registered Voters,1055,,,,,,,,,,
Camden,Camden City W2 D8,President,,,Registered Voters,1536,,,,,,,,,,
Camden,Camden City W2 D9,President,,,Registered Voters,1382,,,,,,,,,,
Camden,Camden City W2 D10,President,,,Registered Voters,820,,,,,,,,,,
Camden,Camden City W2 D11,President,,,Registered Voters,729,,,,,,,,,,
Camden,Camden City Ward 2 Mail-In,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City Ward 2,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W2 Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W3 D1,President,,,Registered Voters,1004,,,,,,,,,,
Camden,Camden City W3 D2,President,,,Registered Voters,1311,,,,,,,,,,
Camden,Camden City W3 D3,President,,,Registered Voters,858,,,,,,,,,,
Camden,Camden City W3 D4,President,,,Registered Voters,1040,,,,,,,,,,
Camden,Camden City W3 D5,President,,,Registered Voters,894,,,,,,,,,,
Camden,Camden City W3 D6,President,,,Registered Voters,1126,,,,,,,,,,
Camden,Camden City W3 D7,President,,,Registered Voters,1128,,,,,,,,,,
Camden,Camden City W3 D8,President,,,Registered Voters,1200,,,,,,,,,,
Camden,Camden City W3 D9,President,,,Registered Voters,1348,,,,,,,,,,
Camden,Camden City Ward 3 Mail-In,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City Ward 3,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W3 Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W4 D1,President,,,Registered Voters,895,,,,,,,,,,
Camden,Camden City W4 D2,President,,,Registered Voters,1004,,,,,,,,,,
Camden,Camden City W4 D3,President,,,Registered Voters,1086,,,,,,,,,,
Camden,Camden City W4 D4,President,,,Registered Voters,1181,,,,,,,,,,
Camden,Camden City W4 D5,President,,,Registered Voters,910,,,,,,,,,,
Camden,Camden City W4 D6,President,,,Registered Voters,1191,,,,,,,,,,
Camden,Camden City W4 D7,President,,,Registered Voters,1075,,,,,,,,,,
Camden,Camden City W4 D8,President,,,Registered Voters,1153,,,,,,,,,,
Camden,Camden City W4 D9,President,,,Registered Voters,1143,,,,,,,,,,
Camden,Camden City W4 D10,President,,,Registered Voters,1030,,,,,,,,,,
Camden,Camden City Ward 4 Mail-In,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City Ward 4,President,,,Registered Voters,0,,,,,,,,,,
Camden,Camden City W4 Emergency,President,,,Registered Voters,0,,,,,,,,,,
Camden,City of Camden,President,,,Registered Voters,41855,,,,,,,,,,
Camden,Cherry Hill Dist 1,President,,,Registered Voters,1043,,,,,,,,,,
Camden,Cherry Hill Dist 2,President,,,Registered Voters,1185,,,,,,,,,,
Camden,Cherry Hill Dist 3,President,,,Registered Voters,1506,,,,,,,,,,
Camden,Cherry Hill Dist 4,President,,,Registered Voters,1248,,,,,,,,,,
Camden,Cherry Hill Dist 5,President,,,Registered Voters,1175,,,,,,,,,,
Camden,Cherry Hill Dist 6,President,,,Registered Voters,921,,,,,,,,,,
Camden,Cherry Hill Dist 7,President,,,Registered Voters,968,,,,,,,,,,
Camden,Cherry Hill Dist 8,President,,,Registered Voters,1164,,,,,,,,,,
Camden,Cherry Hill Dist 9,President,,,Registered Voters,1380,,,,,,,,,,
Camden,Cherry Hill Dist 10,President,,,Registered Voters,1380,,,,,,,,,,
Camden,Cherry Hill Dist 11,President,,,Registered Voters,1234,,,,,,,,,,
Camden,Cherry Hill Dist 12,President,,,Registered Voters,1241,,,,,,,,,,
Camden,Cherry Hill Dist 13,President,,,Registered Voters,1023,,,,,,,,,,
Camden,Cherry Hill Dist 14,President,,,Registered Voters,845,,,,,,,,,,
Camden,Cherry Hill Dist 15,President,,,Registered Voters,1277,,,,,,,,,,
Camden,Cherry Hill Dist 16,President,,,Registered Voters,794,,,,,,,,,,
Camden,Cherry Hill Dist 17,President,,,Registered Voters,1235,,,,,,,,,,
Camden,Cherry Hill Dist 18,President,,,Registered Voters,871,,,,,,,,,,
Camden,Cherry Hill Dist 19,President,,,Registered Voters,960,,,,,,,,,,
Camden,Cherry Hill Dist 20,President,,,Registered Voters,1291,,,,,,,,,,
Camden,Cherry Hill Dist 21,President,,,Registered Voters,1428,,,,,,,,,,
Camden,Cherry Hill Dist 22,President,,,Registered Voters,1074,,,,,,,,,,
Camden,Cherry Hill Dist 23,President,,,Registered Voters,1350,,,,,,,,,,
Camden,Cherry Hill Dist 24,President,,,Registered Voters,1185,,,,,,,,,,
Camden,Cherry Hill Dist 25,President,,,Registered Voters,1037,,,,,,,,,,
Camden,Cherry Hill Dist 26,President,,,Registered Voters,1443,,,,,,,,,,
Camden,Cherry Hill Dist 27,President,,,Registered Voters,1082,,,,,,,,,,
Camden,Cherry Hill Dist 28,President,,,Registered Voters,1316,,,,,,,,,,
Camden,Cherry Hill Dist 29,President,,,Registered Voters,1391,,,,,,,,,,
Camden,Cherry Hill Dist 30,President,,,Registered Voters,720,,,,,,,,,,
Camden,Cherry Hill Dist 31,President,,,Registered Voters,1318,,,,,,,,,,
Camden,Cherry Hill Dist 32,President,,,Registered Voters,737,,,,,,,,,,
