county,municipality,office,district,party,candidate,votes
Atlantic,Absecon City,President,,Democratic,Hillary Rodham Clinton,1949
Atlantic,Absecon City,President,,Republican,Donald J. Trump,2163
Atlantic,Absecon City,President,,Libertarian Party,Gary Johnson,74
Atlantic,Absecon City,President,,Green Party,Jill Stein,40
Atlantic,Absecon City,President,,Constitution Party,Darrell Castle,7
Atlantic,Absecon City,President,,Workers Party,Alyson Kennedy Socialist,1
Atlantic,Absecon City,President,,American Delta Party,Rocky Roque De la Fuente,1
Atlantic,Absecon City,President,,Workers World Party,Monica Moorehead,2
Atlantic,Absecon City,President,,Socialism and Liberation,Gloria La Riva,3
Atlantic,Atlantic City,President,,Democratic,Hillary Rodham Clinton,9407
Atlantic,Atlantic City,President,,Republican,Donald J. Trump,2062
Atlantic,Atlantic City,President,,Libertarian Party,Gary Johnson,73
Atlantic,Atlantic City,President,,Green Party,Jill Stein,63
Atlantic,Atlantic City,President,,Constitution Party,Darrell Castle,15
Atlantic,Atlantic City,President,,Workers Party,Alyson Kennedy Socialist,5
Atlantic,Atlantic City,President,,American Delta Party,Rocky Roque De la Fuente,2
Atlantic,Atlantic City,President,,Workers World Party,Monica Moorehead,6
Atlantic,Atlantic City,President,,Socialism and Liberation,Gloria La Riva,15
Atlantic,Brigantine City,President,,Democratic,Hillary Rodham Clinton,1885
Atlantic,Brigantine City,President,,Republican,Donald J. Trump,2660
Atlantic,Brigantine City,President,,Libertarian Party,Gary Johnson,95
Atlantic,Brigantine City,President,,Green Party,Jill Stein,39
Atlantic,Brigantine City,President,,Constitution Party,Darrell Castle,4
Atlantic,Brigantine City,President,,Workers Party,Alyson Kennedy Socialist,2
Atlantic,Brigantine City,President,,American Delta Party,Rocky Roque De la Fuente,1
Atlantic,Brigantine City,President,,Workers World Party,Monica Moorehead,1
Atlantic,Brigantine City,President,,Socialism and Liberation,Gloria La Riva,7
Atlantic,Buena Boro,President,,Democratic,Hillary Rodham Clinton,758
Atlantic,Buena Boro,President,,Republican,Donald J. Trump,949
Atlantic,Buena Boro,President,,Libertarian Party,Gary Johnson,36
Atlantic,Buena Boro,President,,Green Party,Jill Stein,25
Atlantic,Buena Boro,President,,Constitution Party,Darrell Castle,5
Atlantic,Buena Boro,President,,Workers Party,Alyson Kennedy Socialist,1
Atlantic,Buena Boro,President,,American Delta Party,Rocky Roque De la Fuente,2
Atlantic,Buena Boro,President,,Workers World Party,Monica Moorehead,1
Atlantic,Buena Boro,President,,Socialism and Liberation,Gloria La Riva,5
Atlantic,Buena Vista Twp.,President,,Democratic,Hillary Rodham Clinton,1491
Atlantic,Buena Vista Twp.,President,,Republican,Donald J. Trump,1868
Atlantic,Buena Vista Twp.,President,,Libertarian Party,Gary Johnson,54
Atlantic,Buena Vista Twp.,President,,Green Party,Jill Stein,20
Atlantic,Buena Vista Twp.,President,,Constitution Party,Darrell Castle,11
Atlantic,Buena Vista Twp.,President,,Workers Party,Alyson Kennedy Socialist,1
Atlantic,Buena Vista Twp.,President,,American Delta Party,Rocky Roque De la Fuente,1
Atlantic,Buena Vista Twp.,President,,Workers World Party,Monica Moorehead,0
Atlantic,Buena Vista Twp.,President,,Socialism and Liberation,Gloria La Riva,3
